Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
AFA Plus 35L 300A (187x127x227) AF-B19R;3 700 руб.;3 200 руб.при обмене;≈мкость35ѕусковой ток300ѕол€рностьѕр€ма€“ипоразмер187x127x227√аранти€ производител€24 мес.;https://akb.ru//product/848-AFA_Plus_35L_300A_(187x127x227)_AF-B19R.html
AFA Plus 45L 330A 238x129x227 узкие кл. AF-B24R;3 900 руб.;3 400 руб.при обмене;≈мкость45ѕусковой ток330ѕол€рностьѕр€ма€“ипоразмер238x128x227√аранти€ производител€24 мес.;https://akb.ru//product/1497-AFA_Plus_45L_330A_238x129x227_uzkie_kl_AF-B24R.html
AFA Plus 52R 470A (207x175x190) AF-H4-52;4 000 руб.;3 500 руб.при обмене;≈мкость52ѕусковой ток470ѕол€рностьќбратна€“ипоразмер207x175x190√аранти€ производител€24 мес.;https://akb.ru//product/354-AFA_Plus_52R_470A_(207x175x190)_AF-H4-52.html
AFA Plus 60R 510A (232x173x225) AF-D23L;4 400 руб.;3 700 руб.при обмене;≈мкость60ѕусковой ток510ѕол€рностьќбратна€“ипоразмер232x173x225√аранти€ производител€24 мес.;https://akb.ru//product/356-AFA_Plus_60R_510A_(232x173x225)_AF-D23L.html
AFA Plus 60R 540A (242x175x190) AF-H5-60;4 400 руб.;3 700 руб.при обмене;≈мкость60ѕусковой ток540ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€24 мес.;https://akb.ru//product/383-AFA_Plus_60R_540A_(242x175x190)_AF-H5-60.html
AFA Plus 68R 550A (261x175x220) AF-D26L;4 600 руб.;3 800 руб.при обмене;≈мкость68ѕусковой ток550ѕол€рностьќбратна€“ипоразмер261x175x220√аранти€ производител€24 мес.;https://akb.ru//product/384-AFA_Plus_68R_550A_(261x175x220)_AF-D26L.html
AFA Plus 60L 540A (242x175x190) AF-H5R-60;4 650 руб.;3 950 руб.при обмене;≈мкость60ѕусковой ток540ѕол€рностьѕр€ма€“ипоразмер242x175x190√аранти€ производител€24 мес.;https://akb.ru//product/382-AFA_Plus_60L_540A_(242x175x190)_AF-H5R-60.html
AFA Plus 60R низкий 540A (242x175x175) HS-N2;4 750 руб.;4 050 руб.при обмене;≈мкость60ѕусковой ток540ѕол€рностьќбратна€“ипоразмер242x175x175√аранти€ производител€24 мес.;https://akb.ru//product/355-AFA_Plus_60R_nizkiy_540A_(242x175x175)_HS-N2.html
AFA Plus 72R низкий 680A (278x175x175) HS-N3;4 800 руб.;4 000 руб.при обмене;≈мкость72ѕусковой ток680ѕол€рностьќбратна€“ипоразмер278x175x175√аранти€ производител€24 мес.;https://akb.ru//product/385-AFA_Plus_72R_nizkiy_680A_(278x175x175)_HS-N3.html
AFA Plus 74R 680A (278x175x190) AF-H6-74;4 950 руб.;4 150 руб.при обмене;≈мкость74ѕусковой ток680ѕол€рностьќбратна€“ипоразмер278x175x190√аранти€ производител€24 мес.;https://akb.ru//product/386-AFA_Plus_74R_680A_(278x175x190)_AF-H6-74.html
AFA Plus 68L 550A (261x175x220) AF-D26R;5 350 руб.;4 550 руб.при обмене;≈мкость68ѕусковой ток550ѕол€рностьѕр€ма€“ипоразмер261x175x220√аранти€ производител€24 мес.;https://akb.ru//product/437-AFA_Plus_68L_550A_(261x175x220)_AF-D26R.html
AFA Plus 80R 740A (315x175x175) HS-N;5 800 руб.;4 900 руб.при обмене;≈мкость80ѕусковой ток740ѕол€рностьќбратна€“ипоразмер315x175x175√аранти€ производител€24 мес.;https://akb.ru//product/387-AFA_Plus_80R_740A_(315x175x175)_HS-N.html
AFA Plus 91L 740A (306x173x225) AF-D31R;6 033 руб.;5 033 руб.при обмене;≈мкость91ѕусковой ток740ѕол€рностьѕр€ма€“ипоразмер306x173x225√аранти€ производител€24 мес.;https://akb.ru//product/438-AFA_Plus_91L_740A_(306x173x225)_AF-D31R.html
AFA Plus 91R 740A (306x173x225) AF-D31L;6 050 руб.;5 050 руб.при обмене;≈мкость91ѕусковой ток740ѕол€рностьќбратна€“ипоразмер306x173x225√аранти€ производител€24 мес.;https://akb.ru//product/388-AFA_Plus_91R_740A_(306x173x225)_AF-D31L.html
AFA Plus 100R 830A (353x175x190) HS-N5-2;7 600 руб.;6 600 руб.при обмене;≈мкость100ѕусковой ток830ѕол€рностьќбратна€“ипоразмер353x175x190√аранти€ производител€24 мес.;https://akb.ru//product/541-AFA_Plus_100R_830A_(353x175x190)_HS-N5-2.html
AFA Plus 225 евро 1150A (518x276x242) Heavy Duty AT27;14 450 руб.;11 950 руб.при обмене;≈мкость225ѕусковой ток1150ѕол€рностьќбратна€“ипоразмер518x276x242√аранти€ производител€12 мес.;https://akb.ru//product/523-AFA_Plus_225_evro_1150A_(518x276x242)_Heavy_Duty_AT27.html
