Название;Цена;При обмене;Характеристика;Ссылка
Dominator 55L 510А 242x175x190;3 700 руб.;3 000 руб.при обмене;Емкость55Пусковой ток510ПолярностьПрямаяТипоразмер242x175x190Гарантия производителя24 мес.;https://akb.ru//product/1473-Dominator_55L_510A_242x175x190.html
Dominator 60L 600А 242x175x190;4 000 руб.;3 300 руб.при обмене;Емкость60Пусковой ток600ПолярностьПрямаяТипоразмер242x175x190Гарантия производителя24 мес.;https://akb.ru//product/1474-Dominator_60L_600A_242x175x190.html
Dominator 60R 600А 242x175x190;4 000 руб.;3 300 руб.при обмене;Емкость60Пусковой ток600ПолярностьОбратнаяТипоразмер242x175x190Гарантия производителя24 мес.;https://akb.ru//product/1475-Dominator_60R_600A_242x175x190.html
Dominator 62L 620А 242x175x190;4 200 руб.;3 500 руб.при обмене;Емкость62Пусковой ток620ПолярностьПрямаяТипоразмер242x175x190Гарантия производителя24 мес.;https://akb.ru//product/1476-Dominator_62L_620A_242x175x190.html
Dominator 62R 620А 242x175x190;4 200 руб.;3 500 руб.при обмене;Емкость62Пусковой ток620ПолярностьОбратнаяТипоразмер242x175x190Гарантия производителя24 мес.;https://akb.ru//product/1477-Dominator_62R_620A_242x175x190.html
Dominator 62R низкий 630А 242x175x175;4 200 руб.;3 500 руб.при обмене;Емкость62Пусковой ток630ПолярностьОбратнаяТипоразмер242x175x175Гарантия производителя24 мес.;https://akb.ru//product/1478-Dominator_62R_nizkiy_630A_242x175x175.html
Dominator 65L 630А 242x175x190;4 600 руб.;3 900 руб.при обмене;Емкость65Пусковой ток630ПолярностьПрямаяТипоразмер242x175x190Гарантия производителя24 мес.;https://akb.ru//product/1479-Dominator_65L_630A_242x175x190.html
Dominator 65R 630А 242x175x190;4 600 руб.;3 900 руб.при обмене;Емкость65Пусковой ток630ПолярностьОбратнаяТипоразмер242x175x190Гарантия производителя24 мес.;https://akb.ru//product/1480-Dominator_65R_630A_242x175x190.html
Dominator 74R низкий 740А 278x175x175;5 500 руб.;4 700 руб.при обмене;Емкость74Пусковой ток740ПолярностьОбратнаяТипоразмер278x175x175Гарантия производителя24 мес.;https://akb.ru//product/1481-Dominator_74R_nizkiy_740A_278x175x175.html
Dominator 75R 750А 278x175x190;5 500 руб.;4 700 руб.при обмене;Емкость75Пусковой ток750ПолярностьОбратнаяТипоразмер278x175x190Гарантия производителя24 мес.;https://akb.ru//product/1483-Dominator_75R_750A_278x175x190.html
Dominator 75L 750А 278x175x190;5 500 руб.;4 700 руб.при обмене;Емкость75Пусковой ток750ПолярностьПрямаяТипоразмер278x175x190Гарантия производителя24 мес.;https://akb.ru//product/1484-Dominator_75L_750A_278x175x190.html
Dominator (JIS) 90 Ач 630А обратная пол. (300x172x223);6 200 руб.;5 200 руб.при обмене;Емкость90Пусковой ток630ПолярностьОбратнаяТипоразмер300x172x223Гарантия производителя24 мес.;https://akb.ru//product/2518-Dominator_(JIS)_90_Ach_630A_obratnaya_pol_(300x172x223).html
Dominator 100R 870А 353x175x190;6 700 руб.;5 700 руб.при обмене;Емкость100Пусковой ток870ПолярностьОбратнаяТипоразмер353x175x190Гарантия производителя24 мес.;https://akb.ru//product/1485-Dominator_100R_870A_353x175x190.html
Dominator 190 рус 1300А 518x228x238;10 400 руб.;8 200 руб.при обмене;Емкость190Пусковой ток1300ПолярностьПрямаяТипоразмер518x228x238Гарантия производителя12 мес.;https://akb.ru//product/1482-Dominator_190_rus_1300A_518x228x238.html
Dominator 190 евро 1300А 518x228x238;10 400 руб.;8 200 руб.при обмене;Емкость190Пусковой ток1300ПолярностьОбратнаяТипоразмер518x228x238Гарантия производителя12 мес.;https://akb.ru//product/1486-Dominator_190_evro_1300A_518x228x238.html
Dominator 225 евро 1500А 513x278x223;13 100 руб.;10 600 руб.при обмене;Емкость225Пусковой ток1500ПолярностьОбратнаяТипоразмер517x273x240Гарантия производителя12 мес.;https://akb.ru//product/1487-Dominator_225_evro_1500A_513x278x223.html
