Название;Цена;При обмене;Характеристика;Ссылка
Ecostart 55L (450А 242x175x190);2 800 руб.;2 100 руб.при обмене;Емкость55Пусковой ток450ПолярностьПрямаяТипоразмер242x175x190Гарантия производителя24 мес.;https://akb.ru//product/1447-Ecostart_55L_(450A_242x175x190).html
Ecostart 60L (480А 242x175x190);3 050 руб.;2 350 руб.при обмене;Емкость60Пусковой ток480ПолярностьПрямаяТипоразмер242x175x190Гарантия производителя24 мес.;https://akb.ru//product/408-Ecostart_60L_(480A_242x175x190).html
Ecostart 60R (480А 242x175x190);3 050 руб.;2 350 руб.при обмене;Емкость60Пусковой ток480ПолярностьОбратнаяТипоразмер242x175x190Гарантия производителя24 мес.;https://akb.ru//product/409-Ecostart_60R_(480A_242x175x190).html
Ecostart 62R (520А 242x175x190);3 150 руб.;2 450 руб.при обмене;Емкость62Пусковой ток520ПолярностьОбратнаяТипоразмер242x175x190Гарантия производителя24 мес.;https://akb.ru//product/978-Ecostart_62R_(520A_242x175x190).html
Ecostart 62L (520А 242x175x190);3 800 руб.;3 100 руб.при обмене;Емкость62Пусковой ток520ПолярностьПрямаяТипоразмер242x175x190Гарантия производителя24 мес.;https://akb.ru//product/977-Ecostart_62L_(520A_242x175x190).html
Ecostart 77L (680А 278x175x190);4 200 руб.;3 400 руб.при обмене;Емкость77Пусковой ток680ПолярностьПрямаяТипоразмер278x175x190Гарантия производителя24 мес.;https://akb.ru//product/410-Ecostart_77L_(680A_278x175x190).html
Ecostart 77R (680А 278x175x190);4 200 руб.;3 400 руб.при обмене;Емкость77Пусковой ток680ПолярностьОбратнаяТипоразмер278x175x190Гарантия производителя24 мес.;https://akb.ru//product/411-Ecostart_77R_(680A_278x175x190).html
Ecostart 100L (800А 353x175x190);5 200 руб.;4 200 руб.при обмене;Емкость100Пусковой ток800ПолярностьПрямаяТипоразмер353x175x190Гарантия производителя24 мес.;https://akb.ru//product/412-Ecostart_100L_(800A_353x175x190).html
Ecostart 100R (800А 353x175x190);5 200 руб.;4 200 руб.при обмене;Емкость100Пусковой ток800ПолярностьОбратнаяТипоразмер353x175x190Гарантия производителя24 мес.;https://akb.ru//product/413-Ecostart_100R_(800A_353x175x190).html
Ecostart 140 euro (1100А 513x189x217);9 400 руб.;7 900 руб.при обмене;Емкость140Пусковой ток1100ПолярностьОбратнаяТипоразмер513x189x217Гарантия производителя12 мес.;https://akb.ru//product/452-Ecostart_140_euro_(1100A_513x189x217).html
Ecostart 140 рус (1100А 513x189x217);9 400 руб.;7 900 руб.при обмене;Емкость140Пусковой ток1100ПолярностьПрямаяТипоразмер513x189x217Гарантия производителя12 мес.;https://akb.ru//product/871-Ecostart_140_rus_(1100A_513x189x217).html
Ecostart 190 euro (1300А 513x223x217);11 400 руб.;9 200 руб.при обмене;Емкость190Пусковой ток1300ПолярностьОбратнаяТипоразмер513x223x217Гарантия производителя12 мес.;https://akb.ru//product/414-Ecostart_190_euro_(1300A_513x223x217).html
Ecostart 190 рус (1300А 513x223x217);11 400 руб.;9 200 руб.при обмене;Емкость190Пусковой ток1300ПолярностьПрямаяТипоразмер513x223x217Гарантия производителя12 мес.;https://akb.ru//product/415-Ecostart_190_rus_(1300A_513x223x217).html
Ecostart 190 рус (1300А 524x239x240) клеммы под болт;11 600 руб.;9 400 руб.при обмене;Емкость190Пусковой ток1300ПолярностьПрямаяТипоразмер524x239x240Гарантия производителя12 мес.;https://akb.ru//product/1193-Ecostart_190_rus_(1300A_524x239x240)_klemmy_pod_bolt.html
Ecostart 225 euro (1500А 518x273x223);15 200 руб.;12 700 руб.при обмене;Емкость225Пусковой ток1500ПолярностьОбратнаяТипоразмер518x273x223Гарантия производителя12 мес.;https://akb.ru//product/418-Ecostart_225_euro_(1500A_518x273x223).html
