Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
GS Yuasa GST 40B19R (35L 330A 187x127x227) GranCruise Standard (штатные);4 300 руб.;3 800 руб.при обмене;≈мкость35ѕусковой ток330ѕол€рностьѕр€ма€“ипоразмер187x127x227√аранти€ производител€24 мес.;https://akb.ru//product/1203-GS_Yuasa_GST_40B19R_(35L_330A_187x127x227)_GranCruise_Standard_(shtatnye).html
GS Yuasa GST 55B24L (45R 440A 238x128x227) GranCruise Standard (штатные);5 500 руб.;5 000 руб.при обмене;≈мкость45ѕусковой ток440ѕол€рностьќбратна€“ипоразмер238x128x227√аранти€ производител€24 мес.;https://akb.ru//product/1201-GS_Yuasa_GST_55B24L_(45R_440A_238x128x227)_GranCruise_Standard_(shtatnye).html
GS Yuasa GST 55B24L (45R 440A 238x128x227) GranCruise Standard (штатные) переходник;5 600 руб.;5 100 руб.при обмене;≈мкость45ѕусковой ток440ѕол€рностьќбратна€“ипоразмер238x128x227√аранти€ производител€24 мес.;https://akb.ru//product/91672-GS_Yuasa_GST_55B24L_(45R_440A_238x128x227)_GranCruise_Standard_(shtatnye)_perehodnik.html
GS Yuasa GHC-60B24L (45R 490A 238x128x227) GranCruise High Class;6 100 руб.;5 600 руб.при обмене;≈мкость45ѕусковой ток490ѕол€рностьќбратна€“ипоразмер238x128x227√аранти€ производител€24 мес.;https://akb.ru//product/2258-GS_Yuasa_GHC-60B24L_(45R_490A_238x128x227)_GranCruise_High_Class.html
GS Yuasa GHC-60B24L (45R 490A 238x128x227) GranCruise High Class переходник;6 200 руб.;5 700 руб.при обмене;≈мкость45ѕусковой ток490ѕол€рностьќбратна€“ипоразмер238x128x227√аранти€ производител€24 мес.;https://akb.ru//product/56806-GS_Yuasa_GHC-60B24L_(45R_490A_238x128x227)_GranCruise_High_Class_perehodnik.html
GS YUASA HJ-34A19L 30Ah 270A (187х127х184) обр. пол.;6 600 руб.;6 500 руб.при обмене;≈мкость30ѕусковой ток270ѕол€рностьќбратна€“ипоразмер187х127х184√аранти€ производител€30 мес.;https://akb.ru//product/91525-GS_YUASA_HJ-34A19L_30Ah_270A_(187h127h184)_obr_pol.html
GS YUASA HJ-B24L 55B24LS 45R 490A (238x128x227);6 900 руб.;6 400 руб.при обмене;≈мкость45ѕусковой ток490ѕол€рностьќбратна€“ипоразмер238x128x227√аранти€ производител€30 мес.;https://akb.ru//product/2634-GS_YUASA_HJ-B24L_55B24LS_45R_490A_(238x128x227).html
GS YUASA HJ-B24R 55B24RS 45L 490A (238x128x227);6 900 руб.;6 400 руб.при обмене;≈мкость45ѕусковой ток490ѕол€рностьѕр€ма€“ипоразмер238x128x227√аранти€ производител€30 мес.;https://akb.ru//product/2635-GS_YUASA_HJ-B24R_55B24RS_45L_490A_(238x128x227).html
GS Yuasa GST 55D23L (60R 540A 230x170x225) GranCruise Standard (штатные);6 950 руб.;6 250 руб.при обмене;≈мкость60ѕусковой ток540ѕол€рностьќбратна€“ипоразмер230x170x225√аранти€ производител€24 мес.;https://akb.ru//product/1206-GS_Yuasa_GST_55D23L_(60R_540A_230x170x225)_GranCruise_Standard_(shtatnye).html
GS Yuasa GST 55D23R (60L 550A 230x170x225) GranCruise Standard (штатные);6 950 руб.;6 250 руб.при обмене;≈мкость60ѕусковой ток550ѕол€рностьѕр€ма€“ипоразмер230x170x225√аранти€ производител€24 мес.;https://akb.ru//product/1545-GS_Yuasa_GST_55D23R_(60L_550A_230x170x225)_GranCruise_Standard_(shtatnye).html
GS Yuasa GST 75D23L (65R 530A 232x173x227) GranCruise Standard (штатные);7 400 руб.;6 700 руб.при обмене;≈мкость65ѕусковой ток530ѕол€рностьќбратна€“ипоразмер232x173x227√аранти€ производител€24 мес.;https://akb.ru//product/461-GS_Yuasa_GST_75D23L_(65R_530A_232x173x227)_GranCruise_Standard_(shtatnye).html
GS Yuasa GST 75D23R (65L 530A 232x173x227) GranCruise Standard (штатные);7 400 руб.;6 700 руб.при обмене;≈мкость65ѕусковой ток530ѕол€рностьѕр€ма€“ипоразмер232x173x227√аранти€ производител€24 мес.;https://akb.ru//product/91288-GS_Yuasa_GST_75D23R_(65L_530A_232x173x227)_GranCruise_Standard_(shtatnye).html
GS Yuasa EC 70B24L (52R 500A 238x128x227) ECO.R (EC) переходник;7 450 руб.;6 950 руб.при обмене;≈мкость50ѕусковой ток500ѕол€рностьќбратна€“ипоразмер238x128x227√аранти€ производител€24 мес.;https://akb.ru//product/91673-GS_Yuasa_EC_70B24L_(52R_500A_238x128x227)_ECOR_(EC)_perehodnik.html
GS Yuasa EU 562-048 (L2) - 62 јч 480A обратна€ пол. (242x175x190);7 700 руб.;7 000 руб.при обмене;≈мкость62ѕусковой ток480ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€24 мес.;https://akb.ru//product/66235-GS_Yuasa_EU_562-048_(L2)_-_62_Ach_480A_obratnaya_pol_(242x175x190).html
