Название;Цена;При обмене;Характеристика;Ссылка
GS CB4L-B 12V 4Ah 45A (121x71x94) обр. пол. Heavy Duty сухозаряж. (GS YUASA);1 440 руб.;1 420 руб.при обмене;Емкость4СтранаТайваньJIS-кодYB4L-BПусковой ток45ПолярностьОбратнаяТипоразмер121x71x94;https://akb.ru//product/1145-GS_CB4L-B_12V_4Ah_45A_(121x71x94)_obr_pol_Heavy_Duty_suhozaryazh_(GS_YUASA).html
GS CB7-A 12V 8Ah 105A (136x76x136) прям. пол. Heavy Duty сухозаряж. (без электролита) GS YUASA;2 790 руб.;2 740 руб.при обмене;Емкость8СтранаТайваньJIS-кодYB7-AПусковой ток105ПолярностьПрямаяТипоразмер136x76x136;https://akb.ru//product/1260-GS_CB7-A_12V_8Ah_105A_(136x76x136)_pryam_pol_Heavy_Duty_suhozaryazh_(bez_elektrolita)_GS_YUASA.html
GS CB10L-B2 12V 10Ah 120A (136x91x147) обр. пол. Heavy Duty сухозаряж. GS YUASA;3 200 руб.;3 150 руб.при обмене;Емкость10СтранаТайваньJIS-кодCB10L-B2Пусковой ток115ПолярностьОбратнаяТипоразмер136x91x147;https://akb.ru//product/91329-GS_CB10L-B2_12V_10Ah_120A_(136x91x147)_obr_pol_Heavy_Duty_suhozaryazh_GS_YUASA.html
GS CB10A-A2 12V 10Ah 120A (136x91x160) прям. пол. Heavy Duty сухозаряж. (без электролита) GS YUASA;3 750 руб.;3 700 руб.при обмене;Емкость10СтранаТайваньJIS-кодCB10A-A2Пусковой ток115ПолярностьПрямаяТипоразмер136x91x160;https://akb.ru//product/91328-GS_CB10A-A2_12V_10Ah_120A_(136x91x160)_pryam_pol_Heavy_Duty_suhozaryazh_(bez_elektrolita)_GS_YUASA.html
GS GTX7L-BS 12V 6Ah 105А (114x71x131) обр. пол. AGM сухозаряж. (GS YUASA);3 870 руб.;3 850 руб.при обмене;Емкость6СтранаТайваньJIS-кодYTX7L-BSПусковой ток105ПолярностьОбратнаяТипоразмер114x71x131;https://akb.ru//product/1140-GS_GTX7L-BS_12V_6Ah_105A_(114x71x131)_obr_pol_AGM_suhozaryazh_(GS_YUASA).html
GS GTX12-BS 12V 10Ah 180А (151x88x131) прям. пол. AGM сухозаряж. GS YUASA;4 400 руб.;4 350 руб.при обмене;Емкость10СтранаТайваньJIS-кодYTX12-BSПусковой ток180ПолярностьПрямаяТипоразмер151x88x131;https://akb.ru//product/1269-GS_GTX12-BS_12V_10Ah_180A_(151x88x131)_pryam_pol_AGM_suhozaryazh_GS_YUASA.html
GS GT7B-BS 12V 6Ah 100А (150x65x93) прям. пол. AGM сухозаряж. GS YUASA;4 600 руб.;4 580 руб.при обмене;Емкость6СтранаТайваньJIS-кодGT7B-BSПусковой ток100ПолярностьПрямаяТипоразмер150x65x93;https://akb.ru//product/15700-GS_GT7B-BS_12V_6Ah_100A_(150x65x93)_pryam_pol_AGM_suhozaryazh_GS_YUASA.html
GS CB16AL-A2 12V 16Ah 200A (207x72x164) обр. пол. Heavy Duty сухозаряж. GS YUASA;5 600 руб.;5 500 руб.при обмене;Емкость16СтранаТайваньJIS-кодYB16AL-A2Пусковой ток200ПолярностьОбратнаяТипоразмер207x72x164;https://akb.ru//product/1148-GS_CB16AL-A2_12V_16Ah_200A_(207x72x164)_obr_pol_Heavy_Duty_suhozaryazh_GS_YUASA.html
GS GTX14-BS 12V 12Ah 200А (151x88x146) прям. пол. AGM сухозаряж. GS YUASA;5 800 руб.;5 750 руб.при обмене;Емкость12СтранаТайваньJIS-кодYTX14-BSПусковой ток200ПолярностьПрямаяТипоразмер151x88x146;https://akb.ru//product/1142-GS_GTX14-BS_12V_12Ah_200A_(151x88x146)_pryam_pol_AGM_suhozaryazh_GS_YUASA.html
GS GTX14AH-BS 12V 12Ah 190А (136x91x180) прям. пол. AGM сухозаряж. GS YUASA;5 940 руб.;5 890 руб.при обмене;Емкость12СтранаТайваньJIS-кодYTX14AH-BSПусковой ток190ПолярностьПрямаяТипоразмер136x91x180;https://akb.ru//product/1143-GS_GTX14AH-BS_12V_12Ah_190A_(136x91x180)_pryam_pol_AGM_suhozaryazh_GS_YUASA.html
GS CB16L-B 12V 20Ah 240A (176x101x157) обр. пол. Heavy Duty сухозаряж. GS YUASA;5 990 руб.;5 890 руб.при обмене;Емкость20СтранаТайваньJIS-кодCB16L-BПусковой ток240ПолярностьОбратнаяТипоразмер176x101x157;https://akb.ru//product/91331-GS_CB16L-B_12V_20Ah_240A_(176x101x157)_obr_pol_Heavy_Duty_suhozaryazh_GS_YUASA.html
GS GTX18L-BS 12V 18Ah 250А (207x91x164) обр. пол. AGM сухозаряж. GS YUASA;6 200 руб.;6 100 руб.при обмене;Емкость18СтранаТайваньJIS-кодYTX18L-BSПусковой ток250ПолярностьОбратнаяТипоразмер207x91x164;https://akb.ru//product/1244-GS_GTX18L-BS_12V_18Ah_250A_(207x91x164)_obr_pol_AGM_suhozaryazh_GS_YUASA.html
GS GTX14A-BS 12V 12Ah 190А (136x91x168) прям. пол. AGM сухозаряж. GS YUASA;6 900 руб.;6 850 руб.при обмене;Емкость12СтранаТайваньJIS-кодGTX14A-BSПусковой ток200ПолярностьПрямаяТипоразмер136x91x168;https://akb.ru//product/91326-GS_GTX14A-BS_12V_12Ah_190A_(136x91x168)_pryam_pol_AGM_suhozaryazh_GS_YUASA.html
