Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
HYUNDAI 42B19L 12V 35Ah 300A (187x127x227) обр. пол.;3 500 руб.;3 000 руб.при обмене;≈мкость35ѕусковой ток300ѕол€рностьќбратна€“ипоразмер187x127x227√аранти€ производител€24 мес.;https://akb.ru//product/91581-HYUNDAI_42B19L_12V_35Ah_300A_(187x127x227)_obr_pol.html
HYUNDAI 42B19R 12V 35Ah 300A (187x127x227) пр€м. пол.;3 500 руб.;3 000 руб.при обмене;≈мкость35ѕусковой ток300ѕол€рностьѕр€ма€“ипоразмер187x127x227√аранти€ производител€24 мес.;https://akb.ru//product/91582-HYUNDAI_42B19R_12V_35Ah_300A_(187x127x227)_pryam_pol.html
HYUNDAI 60B24L 12V 45Ah 430A (238x129x227) обр. пол.;4 500 руб.;4 000 руб.при обмене;≈мкость45ѕусковой ток430ѕол€рностьќбратна€“ипоразмер238x129x227√аранти€ производител€24 мес.;https://akb.ru//product/91583-HYUNDAI_60B24L_12V_45Ah_430A_(238x129x227)_obr_pol.html
HYUNDAI 60B24R 12V 45Ah 430A (238x129x227) пр€м. пол.;4 500 руб.;4 000 руб.при обмене;≈мкость45ѕусковой ток430ѕол€рностьѕр€ма€“ипоразмер238x129x227√аранти€ производител€24 мес.;https://akb.ru//product/91584-HYUNDAI_60B24R_12V_45Ah_430A_(238x129x227)_pryam_pol.html
HYUNDAI 50D20L 12V 50Ah 450ј (208x173x207) обр. пол.;4 900 руб.;4 400 руб.при обмене;≈мкость50ѕусковой ток450ѕол€рностьќбратна€“ипоразмер208x173x207√аранти€ производител€24 мес.;https://akb.ru//product/91576-HYUNDAI_50D20L_12V_50Ah_450A_(208x173x207)_obr_pol.html
HYUNDAI 26-525 12V 60Ah 525ј (206х172х205) пр€м пол.;5 300 руб.;4 600 руб.при обмене;≈мкость60ѕусковой ток525ѕол€рностьѕр€ма€“ипоразмер206x172x205√аранти€ производител€24 мес.;https://akb.ru//product/91573-HYUNDAI_26-525_12V_60Ah_525A_(206h172h205)_pryam_pol.html
HYUNDAI 90D26L 12V 80R 680A (260x168x220) обр. пол.;5 850 руб.;4 950 руб.при обмене;≈мкость80ѕусковой ток680ѕол€рностьќбратна€“ипоразмер260x168x220√аранти€ производител€24 мес.;https://akb.ru//product/91587-HYUNDAI_90D26L_12V_80R_680A_(260x168x220)_obr_pol.html
HYUNDAI 85BR60K 12V 55Ah 550ј (230x168x205) пр€м пол.;5 900 руб.;5 200 руб.при обмене;≈мкость55ѕусковой ток550ѕол€рностьѕр€ма€“ипоразмер230x168x205√аранти€ производител€24 мес.;https://akb.ru//product/91588-HYUNDAI_85BR60K_12V_55Ah_550A_(230x168x205)_pryam_pol.html
HYUNDAI 75D23R 12V 65Ah 550A (232x173x225) пр€м. пол.;6 200 руб.;5 500 руб.при обмене;≈мкость65ѕусковой ток550ѕол€рностьѕр€ма€“ипоразмер232x173x225√аранти€ производител€24 мес.;https://akb.ru//product/91586-HYUNDAI_75D23R_12V_65Ah_550A_(232x173x225)_pryam_pol.html
HYUNDAI 105D31L 12V 90Ah 680A (301x175x225) обр. пол.;8 500 руб.;7 500 руб.при обмене;≈мкость90ѕусковой ток680ѕол€рностьќбратна€“ипоразмер301x175x225√аранти€ производител€24 мес.;https://akb.ru//product/91577-HYUNDAI_105D31L_12V_90Ah_680A_(301x175x225)_obr_pol.html
HYUNDAI 105D31R 12V 90Ah 680A (301x175x225) пр€м. пол.;8 500 руб.;7 500 руб.при обмене;≈мкость90ѕусковой ток680ѕол€рностьѕр€ма€“ипоразмер301x175x225√аранти€ производител€24 мес.;https://akb.ru//product/91578-HYUNDAI_105D31R_12V_90Ah_680A_(301x175x225)_pryam_pol.html
HYUNDAI 31-1000T 12V 100Ah 1000A (330x173x240);9 900 руб.;8 900 руб.при обмене;≈мкость100ѕусковой ток1000ѕол€рностьѕр€ма€“ипоразмер330x173x240√аранти€ производител€24 мес.;https://akb.ru//product/91575-HYUNDAI_31-1000T_12V_100Ah_1000A_(330x173x240).html
