Название;Цена;При обмене;Характеристика;Ссылка
RDrive YTR4A-BS 12V 2Ah 45А клеммы T1/T2 сухозаряж. (113x48x85) eXtremal SILVER;1 050 руб.;1 030 руб.при обмене;Емкость2СтранаКитайJIS-кодYTR4A-BSПусковой ток45ПолярностьОбратнаяТипоразмер113x48x85;https://akb.ru//product/2104-RDrive_YTR4A-BS_12V_2Ah_45A_klemmy_T1T2_suhozaryazh_(113x48x85)_eXtremal_SILVER.html
RDrive YTX4L-BS 12V 3Ah 50А обр. пол. AGM сухозаряж. (114x71x86) eXtremal SILVER;1 400 руб.;1 380 руб.при обмене;Емкость3СтранаКитайJIS-кодYTX4L-BSПусковой ток50ПолярностьОбратнаяТипоразмер114x71x86;https://akb.ru//product/1229-RDrive_YTX4L-BS_12V_3Ah_50A_obr_pol_AGM_suhozaryazh_(114x71x86)_eXtremal_SILVER.html
RDrive YTX5L-BS 12V 4Ah 70А обр. пол. AGM сухозаряж. (113x70x105) eXtremal SILVER;1 800 руб.;1 780 руб.при обмене;Емкость4СтранаКитайJIS-кодYTX5L-BSПусковой ток70ПолярностьОбратнаяТипоразмер113x70x105;https://akb.ru//product/2085-RDrive_YTX5L-BS_12V_4Ah_70A_obr_pol_AGM_suhozaryazh_(113x70x105)_eXtremal_SILVER.html
RDrive  YTX7A-BS 12V 6Ah 90А прям. пол. AGM сухозаряж. (150x87x93) eXtremal SILVER;2 000 руб.;1 980 руб.при обмене;Емкость6СтранаКитайJIS-кодYTX7A-BSПусковой ток70ПолярностьПрямаяТипоразмер150x87x93;https://akb.ru//product/2075-RDrive__YTX7A-BS_12V_6Ah_90A_pryam_pol_AGM_suhozaryazh_(150x87x93)_eXtremal_SILVER.html
RDrive YT7B-4 12V 6Ah 100А прям. пол. (150x65x93) eXtremal IRIDIUM;2 000 руб.;1 980 руб.при обмене;Емкость6СтранаКитайJIS-кодYT7B-4Пусковой ток100ПолярностьПрямаяТипоразмер150x65x93;https://akb.ru//product/2079-RDrive_YT7B-4_12V_6Ah_100A_pryam_pol_(150x65x93)_eXtremal_IRIDIUM.html
RDrive YTX7L-BS 12V 6Ah 110А обр. пол. AGM сухозаряж. (113x70x130) eXtremal SILVER;2 100 руб.;2 080 руб.при обмене;Емкость6СтранаКитайJIS-кодYTX7L-BSПусковой ток110ПолярностьОбратнаяТипоразмер113x70x130;https://akb.ru//product/2044-RDrive_YTX7L-BS_12V_6Ah_110A_obr_pol_AGM_suhozaryazh_(113x70x130)_eXtremal_SILVER.html
RDrive 12N9-4B-1 12V 9Ah 120Апрям. пол. AGM сухозаряж. (135x75x139) eXtremal SILVER;2 300 руб.;2 250 руб.при обмене;Емкость9СтранаКитайJIS-код12N9-4BПусковой ток120ПолярностьПрямаяТипоразмер135x75x139;https://akb.ru//product/2056-RDrive_12N9-4B-1_12V_9Ah_120Apryam_pol_AGM_suhozaryazh_(135x75x139)_eXtremal_SILVER.html
RDrive 12N5-3B 12V 5Ah 75А обр. пол. AGM сухозаряж. (119x59x130) eXtremal SILVER;2 600 руб.;2 580 руб.при обмене;Емкость5СтранаКитайJIS-код12N9-4BПусковой ток75ПолярностьОбратнаяТипоразмер119x59x130;https://akb.ru//product/3662-RDrive_12N5-3B_12V_5Ah_75A_obr_pol_AGM_suhozaryazh_(119x59x130)_eXtremal_SILVER.html
RDrive YTZ10S 12V 8Ah 190А прям. пол. AGM (150x87x93) eXtremal PLATINUM;2 750 руб.;2 700 руб.при обмене;Емкость8СтранаКитайJIS-кодYTZ10SПусковой ток190ПолярностьПрямаяТипоразмер150x87x93;https://akb.ru//product/2062-RDrive_YTZ10S_12V_8Ah_190A_pryam_pol_AGM_(150x87x93)_eXtremal_PLATINUM.html
RDrive YTX9-BS 12V 8Ah 125А прям. пол. AGM (150x87x105) eXtremal GOLD;2 800 руб.;2 750 руб.при обмене;Емкость8СтранаКитайJIS-кодYTX9-BSПусковой ток125ПолярностьПрямаяТипоразмер150x87x105;https://akb.ru//product/2057-RDrive_YTX9-BS_12V_8Ah_125A_pryam_pol_AGM_(150x87x105)_eXtremal_GOLD.html
RDrive YT12A-BS 12V 10Ah 145Апрям. пол. AGM сухозаряж. (150x87x105) eXtremal SILVER;3 000 руб.;2 950 руб.при обмене;Емкость10СтранаКитайJIS-кодYT12A-BSПусковой ток145ПолярностьПрямаяТипоразмер150x87x105;https://akb.ru//product/2064-RDrive_YT12A-BS_12V_10Ah_145Apryam_pol_AGM_suhozaryazh_(150x87x105)_eXtremal_SILVER.html
RDrive YT12B-4 12V 10Ah 165А прям. пол. (150x69x130) eXtremal IRIDIUM;3 100 руб.;3 050 руб.при обмене;Емкость10СтранаКитайJIS-кодYT12B-4Пусковой ток165ПолярностьПрямаяТипоразмер150x69x130;https://akb.ru//product/2072-RDrive_YT12B-4_12V_10Ah_165A_pryam_pol_(150x69x130)_eXtremal_IRIDIUM.html
RDrive YTZ12S 12V 11Ah 210А прям. пол. AGM (150x87x110) eXtremal PLATINUM;3 150 руб.;3 100 руб.при обмене;Емкость11СтранаКитайJIS-кодYTZ12SПусковой ток210ПолярностьПрямаяТипоразмер150x87x110;https://akb.ru//product/2067-RDrive_YTZ12S_12V_11Ah_210A_pryam_pol_AGM_(150x87x110)_eXtremal_PLATINUM.html
RDrive YTX12-BS 12V 10Ah 170Апрям. пол. AGM сухозаряж. (150x87x130) eXtremal SILVER;3 200 руб.;3 150 руб.при обмене;Емкость10СтранаКитайJIS-кодYTX12-BSПусковой ток170ПолярностьПрямаяТипоразмер150x87x130;https://akb.ru//product/2047-RDrive_YTX12-BS_12V_10Ah_170Apryam_pol_AGM_suhozaryazh_(150x87x130)_eXtremal_SILVER.html
