Название;Цена;При обмене;Характеристика;Ссылка
Red Energy DS 1204, 12V 4Ah 60А (114х70х86) YB4L-B, YB4L-A, YTX4L-BS;1 326 руб.;1 306 руб.при обмене;Емкость4СтранаКитайJIS-кодYB4L-BПусковой ток60ПолярностьОбратнаяТипоразмер114x70x86;https://akb.ru//product/693-Red_Energy_DS_1204_12V_4Ah_60A_(114h70h86)_YB4L-B_YB4L-A_YTX4L-BS.html
Red Energy DS 1205, 12V 5Ah 85А (114x70x106) YTX5L-BS, YTZ7S, YT5L-BS;1 527 руб.;1 507 руб.при обмене;Емкость5СтранаКитайJIS-кодYTX5L-BSПусковой ток85ПолярностьОбратнаяТипоразмер114x70x106;https://akb.ru//product/694-Red_Energy_DS_1205_12V_5Ah_85A_(114x70x106)_YTX5L-BS_YTZ7S_YT5L-BS.html
Red Energy DS 1205.1, 12V 5Ah 50А (120x61x130) 12N5-3B, YB5L-B;1 720 руб.;1 700 руб.при обмене;Емкость5СтранаКитайJIS-кодYB5L-BПусковой ток50ПолярностьОбратнаяТипоразмер120x61x130;https://akb.ru//product/91292-Red_Energy_DS_12051_12V_5Ah_50A_(120x61x130)_12N5-3B_YB5L-B.html
Red Energy DS 1207, 12V 7Ah 110А, (150x86x94) YTX7A-BS;2 125 руб.;2 075 руб.при обмене;Емкость7СтранаКитайJIS-кодYTX7A-BSПусковой ток110ПолярностьПрямаяТипоразмер150x86x94;https://akb.ru//product/695-Red_Energy_DS_1207_12V_7Ah_110A_(150x86x94)_YTX7A-BS.html
Red Energy DS 1207.1, 12V 7Ач 110А (114x71x131) YTX7L-BS;2 229 руб.;2 179 руб.при обмене;Емкость7СтранаКитайJIS-кодYTX7L-BSПусковой ток110ПолярностьОбратнаяТипоразмер114x71x131;https://akb.ru//product/696-Red_Energy_DS_12071_12V_7Ach_110A_(114x71x131)_YTX7L-BS.html
Red Energy DS 1208, 12V 8Ah 120А (150x66x95) YT7B-BS, YT7B-4, YT9B-BS;2 300 руб.;2 250 руб.при обмене;Емкость8СтранаКитайJIS-кодYT7B-BSПусковой ток120ПолярностьПрямаяТипоразмер150x66x95;https://akb.ru//product/29362-Red_Energy_DS_1208_12V_8Ah_120A_(150x66x95)_YT7B-BS_YT7B-4_YT9B-BS.html
Red Energy DS 1209, 12V 9Ah 140А (150x86x108) YTX9-BS, YTX9;2 593 руб.;2 543 руб.при обмене;Емкость9СтранаКитайJIS-кодYTX9-BSПусковой ток140ПолярностьПрямаяТипоразмер150x86x108;https://akb.ru//product/697-Red_Energy_DS_1209_12V_9Ah_140A_(150x86x108)_YTX9-BS_YTX9.html
Red Energy DS 1211, 12V 11Ah 220А (151x86x112) YTZ12S, YTZ14S;2 750 руб.;2 700 руб.при обмене;Емкость11СтранаКитайJIS-кодYTZ12SПусковой ток220ПолярностьПрямаяТипоразмер151x86x112;https://akb.ru//product/29862-Red_Energy_DS_1211_12V_11Ah_220A_(151x86x112)_YTZ12S_YTZ14S.html
Red Energy DS 1210, 12V 10Ah 110А (137x77x135) YB9A-A, YB9-B, 12N9-4B-1;2 835 руб.;2 785 руб.при обмене;Емкость10СтранаКитайJIS-кодYB9A-AПусковой ток110ПолярностьПрямаяТипоразмер137x77x135;https://akb.ru//product/698-Red_Energy_DS_1210_12V_10Ah_110A_(137x77x135)_YB9A-A_YB9-B_12N9-4B-1.html
Red Energy DS 1210.1, 12V 10Ah 200А (150x86x93) YTZ10S;3 133 руб.;3 083 руб.при обмене;Емкость10СтранаКитайJIS-кодYTZ10SПусковой ток200ПолярностьПрямаяТипоразмер150x86x93;https://akb.ru//product/699-Red_Energy_DS_12101_12V_10Ah_200A_(150x86x93)_YTZ10S.html
Red Energy DS 1212, 12V 12Ah 185А (150x86x131) YTX14-BS, YTX12-BS;3 485 руб.;3 435 руб.при обмене;Емкость12СтранаКитайJIS-кодYTX14-BSПусковой ток185ПолярностьПрямаяТипоразмер150x86x131;https://akb.ru//product/700-Red_Energy_DS_1212_12V_12Ah_185A_(150x86x131)_YTX14-BS_YTX12-BS.html
Red Energy DS 1214, 12V 14Ач 210А (151x88x147) YTX14-BS, YTX14H-BS, YTX16-BS, YB16B-A;3 850 руб.;3 800 руб.при обмене;Емкость14СтранаКитайJIS-кодYTX14-BSПусковой ток185ПолярностьПрямаяТипоразмер151x88x147;https://akb.ru//product/28862-Red_Energy_DS_1214_12V_14Ach_210A_(151x88x147)_YTX14-BS_YTX14H-BS_YTX16-BS_YB16B-A.html
Red Energy DS 12201, 12V 20Ah 285А (177x88x154) YTX20L-BS, YTX20HL-BS, YB18L-A;4 950 руб.;4 850 руб.при обмене;Емкость20СтранаКитайJIS-кодYTX20L-BSПусковой ток285ПолярностьОбратнаяТипоразмер177x88x154;https://akb.ru//product/701-Red_Energy_DS_12201_12V_20Ah_285A_(177x88x154)_YTX20L-BS_YTX20HL-BS_YB18L-A.html
Red Energy DS 1220, 12V 20Ah обратная пол., 260А (204x91x159) Y50-N18L-A3, YTX24HL-BS, YTX24HL;6 000 руб.;5 900 руб.при обмене;Емкость20СтранаКитайJIS-кодY50-N18L-A3Пусковой ток260ПолярностьОбратнаяТипоразмер204x91x159;https://akb.ru//product/2541-Red_Energy_DS_1220_12V_20Ah_obratnaya_pol_260A_(204x91x159)_Y50-N18L-A3_YTX24HL-BS_YTX24HL.html
