Название;Цена;При обмене;Характеристика;Ссылка
Salut 6СТ-55LA 12V 55Ач п/п 440A (242x175x190);3 000 руб.;2 300 руб.при обмене;Емкость55Пусковой ток440ПолярностьПрямаяТипоразмер242x175x190Гарантия производителя24 мес.;https://akb.ru//product/91655-Salut_6ST-55LA_12V_55Ach_pp_440A_(242x175x190).html
Salut 60L 480A (242x175x190);3 200 руб.;2 500 руб.при обмене;Емкость60Пусковой ток480ПолярностьПрямаяТипоразмер242x175x190Гарантия производителя24 мес.;https://akb.ru//product/91508-Salut_60L_480A_(242x175x190).html
Salut 60R 480A (242x175x190);3 200 руб.;2 500 руб.при обмене;Емкость60Пусковой ток480ПолярностьОбратнаяТипоразмер242x175x190Гарантия производителя24 мес.;https://akb.ru//product/91509-Salut_60R_480A_(242x175x190).html
Salut 6СТ-62LA 12V 62Ач п/п 490A (242x175x190);3 500 руб.;2 800 руб.при обмене;Емкость62Пусковой ток490ПолярностьПрямаяТипоразмер242x175x190Гарантия производителя24 мес.;https://akb.ru//product/91657-Salut_6ST-62LA_12V_62Ach_pp_490A_(242x175x190).html
Salut 6СТ-62LA 12V 62Ач о/п 490A (242x175x190);3 500 руб.;2 800 руб.при обмене;Емкость62Пусковой ток490ПолярностьОбратнаяТипоразмер242x175x190Гарантия производителя24 мес.;https://akb.ru//product/91658-Salut_6ST-62LA_12V_62Ach_op_490A_(242x175x190).html
Salut 75R 700A (278x175x190);4 200 руб.;3 400 руб.при обмене;Емкость75Пусковой ток700ПолярностьОбратнаяТипоразмер278x175x190Гарантия производителя24 мес.;https://akb.ru//product/91510-Salut_75R_700A_(278x175x190).html
Salut 75L 700A (278x175x190);4 200 руб.;3 400 руб.при обмене;Емкость75Пусковой ток700ПолярностьПрямаяТипоразмер278x175x190Гарантия производителя24 мес.;https://akb.ru//product/91511-Salut_75L_700A_(278x175x190).html
Salut 6СТ-90LA 670A (326x175x208) п/п;4 950 руб.;3 950 руб.при обмене;Емкость90Пусковой ток670ПолярностьПрямаяТипоразмер326x175x208Гарантия производителя24 мес.;https://akb.ru//product/91758-Salut_6ST-90LA_670A_(326x175x208)_pp.html
Salut 132 рус 850А 513х189х236;7 400 руб.;5 900 руб.при обмене;Емкость132Пусковой ток850ПолярностьПрямаяТипоразмер513х189х236Гарантия производителя12 мес.;https://akb.ru//product/91566-Salut_132_rus_850A_513h189h236.html
Salut 190 рус 1200A (524x239x240);8 800 руб.;6 600 руб.при обмене;Емкость190Пусковой ток1200ПолярностьПрямаяТипоразмер524x239x240Гарантия производителя12 мес.;https://akb.ru//product/91521-Salut_190_rus_1200A_(524x239x240).html
