Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
UNIKUM 60L 500A (242x175x190);3 200 руб.;2 500 руб.при обмене;≈мкость60ѕусковой ток500ѕол€рностьѕр€ма€“ипоразмер242x175x190√аранти€ производител€12 мес.;https://akb.ru//product/2568-UNIKUM_60L_500A_(242x175x190).html
UNIKUM 60R 500A (242x175x190);3 200 руб.;2 500 руб.при обмене;≈мкость60ѕусковой ток500ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€12 мес.;https://akb.ru//product/2569-UNIKUM_60R_500A_(242x175x190).html
UNIKUM 75R 600A (278x175x190);4 200 руб.;3 400 руб.при обмене;≈мкость75ѕусковой ток600ѕол€рностьќбратна€“ипоразмер278x175x190√аранти€ производител€12 мес.;https://akb.ru//product/2575-UNIKUM_75R_600A_(278x175x190).html
UNIKUM 75L 600A (278x175x190);4 200 руб.;3 400 руб.при обмене;≈мкость75ѕусковой ток600ѕол€рностьѕр€ма€“ипоразмер278x175x190√аранти€ производител€12 мес.;https://akb.ru//product/2576-UNIKUM_75L_600A_(278x175x190).html
UNIKUM 90R 700A (353x175x190);4 800 руб.;3 800 руб.при обмене;≈мкость90ѕусковой ток700ѕол€рностьќбратна€“ипоразмер353x175x190√аранти€ производител€12 мес.;https://akb.ru//product/2577-UNIKUM_90R_700A_(353x175x190).html
UNIKUM 90L 700A (353x175x190);4 800 руб.;3 800 руб.при обмене;≈мкость90ѕусковой ток700ѕол€рностьѕр€ма€“ипоразмер353x175x190√аранти€ производител€12 мес.;https://akb.ru//product/2578-UNIKUM_90L_700A_(353x175x190).html
UNIKUM 132 рус 820A (513x189x223);7 900 руб.;6 400 руб.при обмене;≈мкость132ѕусковой ток820ѕол€рностьѕр€ма€“ипоразмер513x189x223√аранти€ производител€12 мес.;https://akb.ru//product/2579-UNIKUM_132_rus_820A_(513x189x223).html
UNIKUM 132 евро 820A (513x189x223) о.п;7 900 руб.;6 400 руб.при обмене;≈мкость132ѕусковой ток820ѕол€рностьќбратна€“ипоразмер513x189x223√аранти€ производител€12 мес.;https://akb.ru//product/56247-UNIKUM_132_evro_820A_(513x189x223)_op.html
UNIKUM 190 рус 1200A (524x239x240);10 500 руб.;8 300 руб.при обмене;≈мкость190ѕусковой ток1200ѕол€рностьѕр€ма€“ипоразмер524x239x240√аранти€ производител€12 мес.;https://akb.ru//product/2572-UNIKUM_190_rus_1200A_(524x239x240).html
UNIKUM 190 евро 1200A (518x228x236);10 500 руб.;8 300 руб.при обмене;≈мкость190ѕусковой ток1200ѕол€рностьќбратна€“ипоразмер518x228x236√аранти€ производител€12 мес.;https://akb.ru//product/2573-UNIKUM_190_evro_1200A_(518x228x236).html
UNIKUM 190 рус болт 1200A (524x239x240);10 500 руб.;8 300 руб.при обмене;≈мкость190ѕусковой ток1200ѕол€рностьѕр€ма€“ипоразмер524x239x240√аранти€ производител€12 мес.;https://akb.ru//product/2574-UNIKUM_190_rus_bolt_1200A_(524x239x240).html
