Название;Цена;При обмене;Характеристика;Ссылка
WBR MT12-7 AGM 7 Ач 100А прямая пол.(150x87x93) YTX7A-BS;2 100 руб.;2 050 руб.при обмене;Емкость7СтранаКитайJIS-кодYTX7A-BSПусковой ток100ПолярностьПрямаяТипоразмер150x87x93;https://akb.ru//product/1888-WBR_MT12-7_AGM_7_Ach_100A_pryamaya_pol(150x87x93)_YTX7A-BS.html
WBR MT12-8 AGM 8 Ач 100А прямая пол.(150x65x93) YT7B-BS, YT9B-BS, YT7B-4;2 200 руб.;2 150 руб.при обмене;Емкость8СтранаКитайJIS-кодYT7B-BSПусковой ток100ПолярностьПрямаяТипоразмер150x65x93;https://akb.ru//product/1924-WBR_MT12-8_AGM_8_Ach_100A_pryamaya_pol(150x65x93)_YT7B-BS_YT9B-BS_YT7B-4.html
WBR MT12-7-A AGM 7 Ач 120А обратная пол.(113x70x131) YTX7L-BS;2 250 руб.;2 200 руб.при обмене;Емкость7СтранаКитайJIS-кодYTX7L-BSПусковой ток120ПолярностьОбратнаяТипоразмер113x70x131;https://akb.ru//product/1906-WBR_MT12-7-A_AGM_7_Ach_120A_obratnaya_pol(113x70x131)_YTX7L-BS.html
WBR MT12-12-A AGM 12 Ач 175А прямая пол.(150x70x130) YT12B-BS;2 800 руб.;2 750 руб.при обмене;Емкость12СтранаКитайJIS-кодYT12B-BSПусковой ток175ПолярностьПрямаяТипоразмер150x70x130;https://akb.ru//product/1887-WBR_MT12-12-A_AGM_12_Ach_175A_pryamaya_pol(150x70x130)_YT12B-BS.html
WBR MT12-9 AGM 9 Ач 120А прямая пол.(150x87x105) YTX9-BS, YTX9;2 800 руб.;2 750 руб.при обмене;Емкость9СтранаКитайJIS-кодYTX9-BSПусковой ток120ПолярностьПрямаяТипоразмер150x87x105;https://akb.ru//product/1937-WBR_MT12-9_AGM_9_Ach_120A_pryamaya_pol(150x87x105)_YTX9-BS_YTX9.html
WBR MT12-10-A AGM 10 Ач 190А прямая пол.(150x88x93) YTZ10S;2 900 руб.;2 850 руб.при обмене;Емкость10СтранаКитайJIS-кодYTZ10SПусковой ток190ПолярностьПрямаяТипоразмер150x88x93;https://akb.ru//product/1886-WBR_MT12-10-A_AGM_10_Ach_190A_pryamaya_pol(150x88x93)_YTZ10S.html
WBR MT12-11 AGM 11 Ач 230А прямая пол.(150x88x110) YTZ12S, YTZ14S;3 500 руб.;3 450 руб.при обмене;Емкость11СтранаКитайJIS-кодYTZ12SПусковой ток230ПолярностьПрямаяТипоразмер150x88x110;https://akb.ru//product/1912-WBR_MT12-11_AGM_11_Ach_230A_pryamaya_pol(150x88x110)_YTZ12S_YTZ14S.html
WBR MT12-12-B AGM 12 Ач 210А прямая пол.(150x69x145) YT14B-BS;3 900 руб.;3 850 руб.при обмене;Емкость12СтранаКитайJIS-кодYT14B-BSПусковой ток210ПолярностьПрямаяТипоразмер150x69x145;https://akb.ru//product/1908-WBR_MT12-12-B_AGM_12_Ach_210A_pryamaya_pol(150x69x145)_YT14B-BS.html
WBR MT12-14 AGM 14 Ач 210А прямая пол.(150x87x145) YTX16-BS, YB16B-A;4 000 руб.;3 950 руб.при обмене;Емкость14СтранаКитайJIS-кодYTX16-BSПусковой ток210ПолярностьПрямаяТипоразмер150x87x145;https://akb.ru//product/1931-WBR_MT12-14_AGM_14_Ach_210A_pryamaya_pol(150x87x145)_YTX16-BS_YB16B-A.html
WBR MT12-14-А AGM 14 Ач 210А прямая пол.(134x90x166) YB14-A2,YTX14AH-BS, YB12A-А;4 100 руб.;4 050 руб.при обмене;Емкость14СтранаКитайJIS-кодYB14-A2Пусковой ток210ПолярностьПрямаяТипоразмер134x90x166;https://akb.ru//product/1885-WBR_MT12-14-A_AGM_14_Ach_210A_pryamaya_pol(134x90x166)_YB14-A2YTX14AH-BS_YB12A-A.html
WBR MT12-16 AGM 16 Ач 250А обратная пол.(205x87x162) YB16AL-A2;4 200 руб.;4 100 руб.при обмене;Емкость16СтранаКитайJIS-кодYB16AL-A2Пусковой ток250ПолярностьОбратнаяТипоразмер205x87x162;https://akb.ru//product/1879-WBR_MT12-16_AGM_16_Ach_250A_obratnaya_pol(205x87x162)_YB16AL-A2.html
WBR MT12-18-A AGM 18 Ач 230А прямая пол. (150x87x161) YTX20H-BS;4 400 руб.;4 300 руб.при обмене;Емкость18СтранаКитайJIS-кодYTX20H-BSПусковой ток230ПолярностьПрямаяТипоразмер150x87x161;https://akb.ru//product/1923-WBR_MT12-18-A_AGM_18_Ach_230A_pryamaya_pol_(150x87x161)_YTX20H-BS.html
WBR MT12-18 AGM 18 Ач 270А обратная пол.(175x87x155) YTX20L-BS;5 400 руб.;5 300 руб.при обмене;Емкость18СтранаКитайJIS-кодYTX20L-BSПусковой ток250ПолярностьОбратнаяТипоразмер175x87x155;https://akb.ru//product/1907-WBR_MT12-18_AGM_18_Ach_270A_obratnaya_pol(175x87x155)_YTX20L-BS.html
WBR MT12-20 AGM 21 Ач 350А обратная пол. (205x87x162) Y50-N18L-A,Y50-N18L-A3, YTX24HL-BS;5 500 руб.;5 400 руб.при обмене;Емкость21СтранаКитайJIS-кодY50-N18L-AПусковой ток350ПолярностьОбратнаяТипоразмер205x87x162;https://akb.ru//product/1898-WBR_MT12-20_AGM_21_Ach_350A_obratnaya_pol_(205x87x162)_Y50-N18L-AY50-N18L-A3_YTX24HL-BS.html
