Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
ѕодменный L2 обр. пол.  (242x175x190) 60-62 јч;1 900 руб.;1 200 руб.при обмене;≈мкость60ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€6 мес.;https://akb.ru//product/87791-Podmennyy_L2_obr_pol__(242x175x190)_60-62_Ach.html
ѕодменный D20 обр. пол. (206x172x205) нижнее крепл. 45-50 јч;1 900 руб.;1 400 руб.при обмене;≈мкость45ѕол€рностьќбратна€“ипоразмер206x172x205√аранти€ производител€6 мес.;https://akb.ru//product/90149-Podmennyy_D20_obr_pol_(206x172x205)_nizhnee_krepl_45-50_Ach.html
ѕодменный B24R пр€м. пол. (238x129x227) узкие кл. 45-50 јч;2 000 руб.;1 500 руб.при обмене;≈мкость45ѕол€рностьѕр€ма€“ипоразмер238x129x227√аранти€ производител€6 мес.;https://akb.ru//product/87290-Podmennyy_B24R_pryam_pol_(238x129x227)_uzkie_kl_45-50_Ach.html
ѕодменный B24LS обр. пол. (238x129x227) 45-50 јч;2 300 руб.;1 800 руб.при обмене;≈мкость45ѕол€рностьќбратна€“ипоразмер238x129x227√аранти€ производител€6 мес.;https://akb.ru//product/86790-Podmennyy_B24LS_obr_pol_(238x129x227)_45-50_Ach.html
ѕодменный D23 обр. пол. (232x173x225) 60-65 јч;2 300 руб.;1 600 руб.при обмене;≈мкость60ѕол€рностьќбратна€“ипоразмер232x173x225√аранти€ производител€6 мес.;https://akb.ru//product/87787-Podmennyy_D23_obr_pol_(232x173x225)_60-65_Ach.html
ѕодменный D23 обр. пол. (232x173x225) нижнее крепл. 60-65 јч;2 300 руб.;1 600 руб.при обмене;≈мкость60ѕол€рностьќбратна€“ипоразмер232x173x225√аранти€ производител€6 мес.;https://akb.ru//product/88289-Podmennyy_D23_obr_pol_(232x173x225)_nizhnee_krepl_60-65_Ach.html
ѕодменный L2B обр. пол.  (242x175x175) низкий 52-62 јч;2 400 руб.;1 700 руб.при обмене;≈мкость60ѕол€рностьќбратна€“ипоразмер242x175x175√аранти€ производител€6 мес.;https://akb.ru//product/88287-Podmennyy_L2B_obr_pol__(242x175x175)_nizkiy_52-62_Ach.html
ѕодменный L3 обр. пол.  (278x175x190) 70-75 јч;2 500 руб.;1 700 руб.при обмене;≈мкость70ѕол€рностьќбратна€“ипоразмер278x175x190√аранти€ производител€6 мес.;https://akb.ru//product/86788-Podmennyy_L3_obr_pol__(278x175x190)_70-75_Ach.html
ѕодменный L3B обр. пол.  (278x175x175) низкий 70-75 јч;2 700 руб.;1 900 руб.при обмене;≈мкость70ѕол€рностьќбратна€“ипоразмер278x175x175√аранти€ производител€6 мес.;https://akb.ru//product/86287-Podmennyy_L3B_obr_pol__(278x175x175)_nizkiy_70-75_Ach.html
ѕодменный D26 обр. пол. (260x173x225) нижнее крепл. 68-75 јч;2 800 руб.;2 000 руб.при обмене;≈мкость70ѕол€рностьќбратна€“ипоразмер260x173x225√аранти€ производител€6 мес.;https://akb.ru//product/86789-Podmennyy_D26_obr_pol_(260x173x225)_nizhnee_krepl_68-75_Ach.html
ѕодменный D26 обр. пол. (260x173x225) 68-75 јч;2 800 руб.;2 000 руб.при обмене;≈мкость68ѕол€рностьќбратна€“ипоразмер260x173x225√аранти€ производител€6 мес.;https://akb.ru//product/88788-Podmennyy_D26_obr_pol_(260x173x225)_68-75_Ach.html
ѕодменный D26 пр€м. пол. (260x173x225) 68-75 јч;2 800 руб.;2 000 руб.при обмене;≈мкость68ѕол€рностьѕр€ма€“ипоразмер260x173x225√аранти€ производител€6 мес.;https://akb.ru//product/91714-Podmennyy_D26_pryam_pol_(260x173x225)_68-75_Ach.html
ѕодменный L4 обр. пол.  (315x175x190) 80-85 јч;3 300 руб.;2 400 руб.при обмене;≈мкость80ѕол€рностьќбратна€“ипоразмер315x175x190√аранти€ производител€6 мес.;https://akb.ru//product/87292-Podmennyy_L4_obr_pol__(315x175x190)_80-85_Ach.html
ѕодменный L4 обр. пол.  (315x175x175) низкий 80-85 јч;3 300 руб.;2 400 руб.при обмене;≈мкость80ѕол€рностьќбратна€“ипоразмер315x175x175√аранти€ производител€6 мес.;https://akb.ru//product/89147-Podmennyy_L4_obr_pol__(315x175x175)_nizkiy_80-85_Ach.html
ѕодменный L5 обр. пол.  (353x175x190) 90-100 јч;3 500 руб.;2 500 руб.при обмене;≈мкость90ѕол€рностьќбратна€“ипоразмер353x175x190√аранти€ производител€6 мес.;https://akb.ru//product/87291-Podmennyy_L5_obr_pol__(353x175x190)_90-100_Ach.html
ѕодменный D31 обр. пол. (306x173x225) нижнее крепл. 90-100 јч;3 500 руб.;2 500 руб.при обмене;≈мкость90ѕол€рностьќбратна€“ипоразмер306x173x225√аранти€ производител€6 мес.;https://akb.ru//product/87788-Podmennyy_D31_obr_pol_(306x173x225)_nizhnee_krepl_90-100_Ach.html
ѕодменный L5 пр€м. пол.  (353x175x190) 90-100 јч;3 500 руб.;2 500 руб.при обмене;≈мкость90ѕол€рностьѕр€ма€“ипоразмер353x175x190√аранти€ производител€6 мес.;https://akb.ru//product/88791-Podmennyy_L5_pryam_pol__(353x175x190)_90-100_Ach.html
ѕодменный D31 пр€м. пол. (306x173x225) нижнее крепл. 90-100 јч;3 500 руб.;2 500 руб.при обмене;≈мкость90ѕол€рностьѕр€ма€“ипоразмер306x173x225√аранти€ производител€6 мес.;https://akb.ru//product/90148-Podmennyy_D31_pryam_pol_(306x173x225)_nizhnee_krepl_90-100_Ach.html
ѕодменный L2 AGM обр. пол. (242x175x190) 60јч;4 500 руб.;3 800 руб.при обмене;≈мкость60ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€6 мес.;https://akb.ru//product/88790-Podmennyy_L2_AGM_obr_pol_(242x175x190)_60Ach.html
ѕодменный L3 AGM обр. пол. (278x175x190) 68-70 јч;5 000 руб.;4 200 руб.при обмене;≈мкость70ѕол€рностьќбратна€“ипоразмер278x175x190√аранти€ производител€6 мес.;https://akb.ru//product/88792-Podmennyy_L3_AGM_obr_pol_(278x175x190)_68-70_Ach.html
ѕодменный D23 AGM обр. пол. (232x173x225) 60-65 јч;5 700 руб.;5 000 руб.при обмене;≈мкость60ѕол€рностьќбратна€“ипоразмер232x173x225√аранти€ производител€6 мес.;https://akb.ru//product/91742-Podmennyy_D23_AGM_obr_pol_(232x173x225)_60-65_Ach.html
ѕодменный 180-190 јч обр. пол. (513x223x223) плюс слева;6 000 руб.;3 800 руб.при обмене;≈мкость190ѕол€рностьќбратна€“ипоразмер513x223x223√аранти€ производител€6 мес.;https://akb.ru//product/91161-Podmennyy_180-190_Ach_obr_pol_(513x223x223)_plyus_sleva.html
ѕодменный L5 AGM обр. пол.  (353x175x190) 92-95 јч;7 000 руб.;6 000 руб.при обмене;≈мкость95ѕол€рностьќбратна€“ипоразмер353x175x190√аранти€ производител€6 мес.;https://akb.ru//product/87793-Podmennyy_L5_AGM_obr_pol__(353x175x190)_92-95_Ach.html
ѕодменный L6 AGM обр. пол.  (393x175x190) 105 јч;7 500 руб.;6 400 руб.при обмене;≈мкость105ѕол€рностьќбратна€“ипоразмер393x175x190√аранти€ производител€6 мес.;https://akb.ru//product/88288-Podmennyy_L6_AGM_obr_pol__(393x175x190)_105_Ach.html
ѕодменный 225 јч обр. пол. (518x276x242) плюс слева;8 500 руб.;6 000 руб.при обмене;≈мкость225ѕол€рностьќбратна€“ипоразмер518x276x242√аранти€ производител€6 мес.;https://akb.ru//product/91660-Podmennyy_225_Ach_obr_pol_(518x276x242)_plyus_sleva.html
