Название;Цена;При обмене;Характеристика;Ссылка
Тюменский медведь Сa/Сa 50B19R 44 Ач прям. пол. 370A (187x127x227) Silver ASIA;3 600 руб.;3 100 руб.при обмене;Емкость44Пусковой ток370ПолярностьПрямаяТипоразмер187x127x227Гарантия производителя48 мес.;https://akb.ru//product/91512-Tyumenskiy_medved_SaSa_50B19R_44_Ach_pryam_pol_370A_(187x127x227)_Silver_ASIA.html
Тюменский медведь Сa/Сa 65B24R 55 Ач прям. пол. 420A (238x129x227) Silver ASIA;4 100 руб.;3 400 руб.при обмене;Емкость55Пусковой ток420ПолярностьПрямаяТипоразмер238x129x227Гарантия производителя48 мес.;https://akb.ru//product/91515-Tyumenskiy_medved_SaSa_65B24R_55_Ach_pryam_pol_420A_(238x129x227)_Silver_ASIA.html
Тюменский медведь Calcium Plus 60 Ач обр. пол. 590A (242x175x190) гибридный;4 200 руб.;3 500 руб.при обмене;Емкость60Пусковой ток590ПолярностьОбратнаяТипоразмер242x175x190Гарантия производителя24 мес.;https://akb.ru//product/91332-Tyumenskiy_medved_Calcium_Plus_60_Ach_obr_pol_590A_(242x175x190)_gibridnyy.html
Тюменский медведь Calcium Plus 60 Ач прям. пол. 590A (242x175x190) гибридный;4 200 руб.;3 500 руб.при обмене;Емкость60Пусковой ток590ПолярностьПрямаяТипоразмер242x175x190Гарантия производителя24 мес.;https://akb.ru//product/91357-Tyumenskiy_medved_Calcium_Plus_60_Ach_pryam_pol_590A_(242x175x190)_gibridnyy.html
Тюменский медведь Calcium Plus 60 Ач обр. пол. 530A (242x175x190) гибридный;4 200 руб.;3 500 руб.при обмене;Емкость60Пусковой ток530ПолярностьОбратнаяТипоразмер242x175x190Гарантия производителя24 мес.;https://akb.ru//product/91662-Tyumenskiy_medved_Calcium_Plus_60_Ach_obr_pol_530A_(242x175x190)_gibridnyy.html
Тюменский медведь Сa/Сa 65B24L 55 Ач обр. пол. 480A (238x129x227) Silver ASIA;4 400 руб.;3 700 руб.при обмене;Емкость55Пусковой ток480ПолярностьОбратнаяТипоразмер238x129x227Гарантия производителя48 мес.;https://akb.ru//product/91514-Tyumenskiy_medved_SaSa_65B24L_55_Ach_obr_pol_480A_(238x129x227)_Silver_ASIA.html
Тюменский медведь Calcium Plus 64 Ач обр. пол. 580A (242x175x190) гибридный;4 600 руб.;3 900 руб.при обмене;Емкость64Пусковой ток580ПолярностьОбратнаяТипоразмер242x175x190Гарантия производителя24 мес.;https://akb.ru//product/91333-Tyumenskiy_medved_Calcium_Plus_64_Ach_obr_pol_580A_(242x175x190)_gibridnyy.html
Тюменский медведь Calcium Plus 64 Ач прям. пол. 580A (242x175x190) гибридный;4 600 руб.;3 900 руб.при обмене;Емкость64Пусковой ток580ПолярностьПрямаяТипоразмер242x175x190Гарантия производителя24 мес.;https://akb.ru//product/91334-Tyumenskiy_medved_Calcium_Plus_64_Ach_pryam_pol_580A_(242x175x190)_gibridnyy.html
Тюменский медведь Сa/Сa 55 Ач обр. пол. 500A (207x175x190) Silver;4 600 руб.;3 900 руб.при обмене;Емкость55Пусковой ток500ПолярностьОбратнаяТипоразмер207x175x190Гарантия производителя48 мес.;https://akb.ru//product/91341-Tyumenskiy_medved_SaSa_55_Ach_obr_pol_500A_(207x175x190)_Silver.html
Тюменский медведь Сa/Сa 55 Ач прям. пол. 510A (242x175x190) Silver;4 600 руб.;3 900 руб.при обмене;Емкость55Пусковой ток510ПолярностьПрямаяТипоразмер242x175x190Гарантия производителя48 мес.;https://akb.ru//product/91518-Tyumenskiy_medved_SaSa_55_Ach_pryam_pol_510A_(242x175x190)_Silver.html
Тюменский медведь Calcium Plus 64 Ач обр. пол. 620A (242x175x190) гибридный;4 600 руб.;3 900 руб.при обмене;Емкость64Пусковой ток620ПолярностьОбратнаяТипоразмер242x175x190Гарантия производителя24 мес.;https://akb.ru//product/91760-Tyumenskiy_medved_Calcium_Plus_64_Ach_obr_pol_620A_(242x175x190)_gibridnyy.html
