Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
Alphaline Standard 65B24L 12V 52Ah 480A (232x127x220) 52 обр.;4 150 руб.;3 650 руб.при обмене;≈мкость52ѕусковой ток480ѕол€рностьќбратна€“ипоразмер232x127x220√аранти€ производител€36 мес.;https://akb.ru//product/91641-Alphaline_Standard_65B24L_12V_52Ah_480A_(232x127x220)_52_obr.html
Alphaline SD 46B19L 44R 400A 186x127x220;4 200 руб.;3 700 руб.при обмене;≈мкость44ѕусковой ток400ѕол€рностьќбратна€“ипоразмер186x127x220√аранти€ производител€36 мес.;https://akb.ru//product/1389-Alphaline_SD_46B19L_44R_400A_186x127x220.html
Alphaline SD 46B19R 44L 400A 186x127x220;4 200 руб.;3 700 руб.при обмене;≈мкость44ѕусковой ток400ѕол€рностьѕр€ма€“ипоразмер186x127x220√аранти€ производител€36 мес.;https://akb.ru//product/1390-Alphaline_SD_46B19R_44L_400A_186x127x220.html
Alphaline Ultra 55B19L 50R 440A 187x127x225;4 600 руб.;4 100 руб.при обмене;≈мкость50ѕусковой ток440ѕол€рностьќбратна€“ипоразмер187x127x225√аранти€ производител€36 мес.;https://akb.ru//product/1536-Alphaline_Ultra_55B19L_50R_440A_187x127x225.html
Alphaline Ultra 55B19R 50L 440A 187x127x225;4 600 руб.;4 100 руб.при обмене;≈мкость50ѕусковой ток440ѕол€рностьѕр€ма€“ипоразмер187x127x225√аранти€ производител€36 мес.;https://akb.ru//product/1537-Alphaline_Ultra_55B19R_50L_440A_187x127x225.html
Alphaline SD 65B24L 52R 480A 232x127x220;4 700 руб.;4 200 руб.при обмене;≈мкость52ѕусковой ток480ѕол€рностьќбратна€“ипоразмер232x127x220√аранти€ производител€36 мес.;https://akb.ru//product/1400-Alphaline_SD_65B24L_52R_480A_232x127x220.html
Alphaline SD 65B24R 52L 480A 232x127x220;4 700 руб.;4 200 руб.при обмене;≈мкость52ѕусковой ток480ѕол€рностьѕр€ма€“ипоразмер232x127x220√аранти€ производител€36 мес.;https://akb.ru//product/1408-Alphaline_SD_65B24R_52L_480A_232x127x220.html
Alphaline Standard 55559 12V 55Ah 450A (242x175x190) L2 55.0 обр.;4 850 руб.;4 150 руб.при обмене;≈мкость55ѕусковой ток450ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€36 мес.;https://akb.ru//product/91645-Alphaline_Standard_55559_12V_55Ah_450A_(242x175x190)_L2_550_obr.html
Alphaline SD 70B24L 55R 500A 232x127x220;4 900 руб.;4 200 руб.при обмене;≈мкость55ѕусковой ток500ѕол€рностьќбратна€“ипоразмер232x127x220√аранти€ производител€36 мес.;https://akb.ru//product/1387-Alphaline_SD_70B24L_55R_500A_232x127x220.html
Alphaline SD 70B24R 55L 500A 232x127x220;4 900 руб.;4 200 руб.при обмене;≈мкость55ѕусковой ток500ѕол€рностьѕр€ма€“ипоразмер232x127x220√аранти€ производител€36 мес.;https://akb.ru//product/1392-Alphaline_SD_70B24R_55L_500A_232x127x220.html
