Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
BANNER Power Bull (40 27) 40L 330A 187x127x227;4 650 руб.;4 150 руб.при обмене;≈мкость40ѕусковой ток330ѕол€рностьѕр€ма€“ипоразмер187x127x227√аранти€ производител€48 мес.;https://akb.ru//product/1504-BANNER_Power_Bull_(40_27)_40L_330A_187x127x227.html
BANNER Power Bull (40 26) 40R 330A 187x127x226;4 650 руб.;4 150 руб.при обмене;≈мкость40ѕусковой ток330ѕол€рностьќбратна€“ипоразмер187x127x227√аранти€ производител€48 мес.;https://akb.ru//product/2100-BANNER_Power_Bull_(40_26)_40R_330A_187x127x226.html
BANNER Power Bull (P45 24) 45L 390A 236x126x227;5 200 руб.;4 700 руб.при обмене;≈мкость45ѕусковой ток390ѕол€рностьѕр€ма€“ипоразмер236x126x227√аранти€ производител€48 мес.;https://akb.ru//product/56802-BANNER_Power_Bull_(P45_24)_45L_390A_236x126x227.html
BANNER Power Bull (50 03) 50R 450A 207x175x190;5 550 руб.;5 050 руб.при обмене;≈мкость50ѕусковой ток450ѕол€рностьќбратна€“ипоразмер207x175x190√аранти€ производител€48 мес.;https://akb.ru//product/1115-BANNER_Power_Bull_(50_03)_50R_450A_207x175x190.html
BANNER Power Bull Pro (50 42) 50R низкий 400A 207x175x175;5 600 руб.;5 100 руб.при обмене;≈мкость50ѕусковой ток400ѕол€рностьќбратна€“ипоразмер207x175x175√аранти€ производител€48 мес.;https://akb.ru//product/2201-BANNER_Power_Bull_Pro_(50_42)_50R_nizkiy_400A_207x175x175.html
BANNER Power Bull Pro (50 40) 50R 420A 207x175x190;5 700 руб.;5 200 руб.при обмене;≈мкость50ѕусковой ток420ѕол€рностьќбратна€“ипоразмер207x175x190√аранти€ производител€48 мес.;https://akb.ru//product/2172-BANNER_Power_Bull_Pro_(50_40)_50R_420A_207x175x190.html
BANNER Power Bull (50 41) 50R 420A 206x172x205;5 800 руб.;5 300 руб.при обмене;≈мкость50ѕусковой ток420ѕол€рностьќбратна€“ипоразмер206x172x205√аранти€ производител€48 мес.;https://akb.ru//product/899-BANNER_Power_Bull_(50_41)_50R_420A_206x172x205.html
Banner Starting Bull (560 09) 60R 480A 242x175x175;5 850 руб.;5 150 руб.при обмене;≈мкость60ѕусковой ток480ѕол€рностьќбратна€“ипоразмер242x175x175√аранти€ производител€48 мес.;https://akb.ru//product/1114-Banner_Starting_Bull_(560_09)_60R_480A_242x175x175.html
Banner Starting Bull (562 19) 62R 510A 242x175x190;6 100 руб.;5 400 руб.при обмене;≈мкость62ѕусковой ток510ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€48 мес.;https://akb.ru//product/790-Banner_Starting_Bull_(562_19)_62R_510A_242x175x190.html
Banner Running Bull EFB Start-Stop (538 15) 38R 400A 187x127x225;6 100 руб.;5 600 руб.при обмене;≈мкость38ѕусковой ток400ѕол€рностьќбратна€“ипоразмер187x127x225√аранти€ производител€48 мес.;https://akb.ru//product/2165-Banner_Running_Bull_EFB_Start-Stop_(538_15)_38R_400A_187x127x225.html
Banner Starting Bull (560 08) 60L 480A 242x175x175;6 300 руб.;5 600 руб.при обмене;≈мкость60ѕусковой ток480ѕол€рностьѕр€ма€“ипоразмер242x175x175√аранти€ производител€48 мес.;https://akb.ru//product/2200-Banner_Starting_Bull_(560_08)_60L_480A_242x175x175.html
BANNER Power Bull (60 69) 60L 480A 232x173x225;6 350 руб.;5 650 руб.при обмене;≈мкость60ѕусковой ток480ѕол€рностьѕр€ма€“ипоразмер232x173x225√аранти€ производител€48 мес.;https://akb.ru//product/611-BANNER_Power_Bull_(60_69)_60L_480A_232x173x225.html
BANNER Power Bull ASIA (60 62) 60R 510A 232x173x225;6 350 руб.;5 650 руб.при обмене;≈мкость60ѕусковой ток510ѕол€рностьќбратна€“ипоразмер232x173x225√аранти€ производител€48 мес.;https://akb.ru//product/970-BANNER_Power_Bull_ASIA_(60_62)_60R_510A_232x173x225.html
BANNER Power Bull (60 09) 60R 540A 242x175x175;6 800 руб.;6 100 руб.при обмене;≈мкость60ѕусковой ток540ѕол€рностьќбратна€“ипоразмер242x175x175√аранти€ производител€48 мес.;https://akb.ru//product/900-BANNER_Power_Bull_(60_09)_60R_540A_242x175x175.html
