Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
Bosch S4 018 40R 330A 187x127x227;3 700 руб.;3 200 руб.при обмене;≈мкость40ѕусковой ток330ѕол€рностьќбратна€“ипоразмер187x127x227√аранти€ производител€24 мес.;https://akb.ru//product/991-Bosch_S4_018_40R_330A_187x127x227.html
Bosch S4 019 40L 330A 187x127x227;3 700 руб.;3 200 руб.при обмене;≈мкость40ѕусковой ток330ѕол€рностьѕр€ма€“ипоразмер187x127x227√аранти€ производител€24 мес.;https://akb.ru//product/992-Bosch_S4_019_40L_330A_187x127x227.html
Bosch S5 001 52R 520A 207x175x175;4 750 руб.;4 250 руб.при обмене;≈мкость52ѕусковой ток520ѕол€рностьќбратна€“ипоразмер207x175x175√аранти€ производител€24 мес.;https://akb.ru//product/50-Bosch_S5_001_52R_520A_207x175x175.html
Bosch S4 004 60R 540A 242x175x175;5 200 руб.;4 500 руб.при обмене;≈мкость60ѕусковой ток540ѕол€рностьќбратна€“ипоразмер242x175x175√аранти€ производител€24 мес.;https://akb.ru//product/36-Bosch_S4_004_60R_540A_242x175x175.html
Bosch S4 007 72R 680A 278x175x175;5 700 руб.;4 900 руб.при обмене;≈мкость72ѕусковой ток680ѕол€рностьќбратна€“ипоразмер278x175x175√аранти€ производител€24 мес.;https://akb.ru//product/39-Bosch_S4_007_72R_680A_278x175x175.html
Bosch S4 009 74L 680A 278x175x190;5 800 руб.;5 000 руб.при обмене;≈мкость74ѕусковой ток680ѕол€рностьѕр€ма€“ипоразмер278x175x190√аранти€ производител€24 мес.;https://akb.ru//product/41-Bosch_S4_009_74L_680A_278x175x190.html
Bosch S4 008 74R 680A 278x175x190;5 900 руб.;5 100 руб.при обмене;≈мкость74ѕусковой ток680ѕол€рностьќбратна€“ипоразмер278x175x190√аранти€ производител€24 мес.;https://akb.ru//product/40-Bosch_S4_008_74R_680A_278x175x190.html
Bosch S5 006 63L 610A 242x175x190;6 300 руб.;5 600 руб.при обмене;≈мкость63ѕусковой ток610ѕол€рностьѕр€ма€“ипоразмер242x175x190√аранти€ производител€24 мес.;https://akb.ru//product/54-Bosch_S5_006_63L_610A_242x175x190.html
Bosch S5 007 74R 750A 278x175x175;7 350 руб.;6 550 руб.при обмене;≈мкость74ѕусковой ток750ѕол€рностьќбратна€“ипоразмер278x175x175√аранти€ производител€24 мес.;https://akb.ru//product/55-Bosch_S5_007_74R_750A_278x175x175.html
Bosch S4 028 95R 830A 306x173x225;8 200 руб.;7 200 руб.при обмене;≈мкость95ѕусковой ток830ѕол€рностьќбратна€“ипоразмер306x173x225√аранти€ производител€24 мес.;https://akb.ru//product/47-Bosch_S4_028_95R_830A_306x173x225.html
Bosch S4 013 95R 800A 353x175x190;8 700 руб.;7 700 руб.при обмене;≈мкость95ѕусковой ток800ѕол€рностьќбратна€“ипоразмер353x175x190√аранти€ производител€24 мес.;https://akb.ru//product/43-Bosch_S4_013_95R_800A_353x175x190.html
Bosch S5 013 100R 830A 353x175x190;9 050 руб.;8 050 руб.при обмене;≈мкость100ѕусковой ток830ѕол€рностьќбратна€“ипоразмер353x175x190√аранти€ производител€24 мес.;https://akb.ru//product/58-Bosch_S5_013_100R_830A_353x175x190.html
Bosch S5 015 110R 920A 393x175x190;10 400 руб.;9 300 руб.при обмене;≈мкость110ѕусковой ток920ѕол€рностьќбратна€“ипоразмер393x175x190√аранти€ производител€12 мес.;https://akb.ru//product/59-Bosch_S5_015_110R_920A_393x175x190.html
Bosch T5 077 180 евро 1000A 513x223x223;13 700 руб.;11 500 руб.при обмене;≈мкость180ѕусковой ток1000ѕол€рностьќбратна€“ипоразмер513x223x223√аранти€ производител€12 мес.;https://akb.ru//product/63-Bosch_T5_077_180_evro_1000A_513x223x223.html
Bosch S5 AGM Start-Stop 80R (800A 315x175x190) A11;14 400 руб.;13 500 руб.при обмене;≈мкость80ѕусковой ток800ѕол€рностьќбратна€“ипоразмер315x175x190√аранти€ производител€24 мес.;https://akb.ru//product/997-Bosch_S5_AGM_Start-Stop_80R_(800A_315x175x190)_A11.html
