Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
Cene 46B19L (44R 390A 187x127x227);4 900 руб.;4 400 руб.при обмене;≈мкость44ѕусковой ток390ѕол€рностьќбратна€“ипоразмер187x127x227√аранти€ производител€48 мес.;https://akb.ru//product/2298-Cene_46B19L_(44R_390A_187x127x227).html
Cene 46B19R (44L 390A 187x127x227);4 900 руб.;4 400 руб.при обмене;≈мкость44ѕусковой ток390ѕол€рностьѕр€ма€“ипоразмер187x127x227√аранти€ производител€48 мес.;https://akb.ru//product/2299-Cene_46B19R_(44L_390A_187x127x227).html
Cene 65B24L (55R 490A 238x128x227);5 400 руб.;4 700 руб.при обмене;≈мкость55ѕусковой ток490ѕол€рностьќбратна€“ипоразмер238x128x227√аранти€ производител€48 мес.;https://akb.ru//product/2300-Cene_65B24L_(55R_490A_238x128x227).html
Cene 65B24R (55L 490A 238x128x227);5 400 руб.;4 700 руб.при обмене;≈мкость55ѕусковой ток490ѕол€рностьѕр€ма€“ипоразмер238x128x227√аранти€ производител€48 мес.;https://akb.ru//product/2301-Cene_65B24R_(55L_490A_238x128x227).html
Cene 50D20L (60R 525ј 208x173x207);5 500 руб.;4 800 руб.при обмене;≈мкость60ѕусковой ток525ѕол€рностьќбратна€“ипоразмер208x173x207√аранти€ производител€48 мес.;https://akb.ru//product/19200-Cene_50D20L_(60R_525A_208x173x207).html
Cene 65B24LS (55R 490A 238x128x227);5 550 руб.;4 850 руб.при обмене;≈мкость55ѕусковой ток490ѕол€рностьќбратна€“ипоразмер238x128x227√аранти€ производител€48 мес.;https://akb.ru//product/2356-Cene_65B24LS_(55R_490A_238x128x227).html
Cene 56030 (60R 525A 242x175x190);5 900 руб.;5 200 руб.при обмене;≈мкость60ѕусковой ток525ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€48 мес.;https://akb.ru//product/2426-Cene_56030_(60R_525A_242x175x190).html
Cene 56031 (60L 525A 242x175x190);5 900 руб.;5 200 руб.при обмене;≈мкость60ѕусковой ток525ѕол€рностьѕр€ма€“ипоразмер242x175x190√аранти€ производител€48 мес.;https://akb.ru//product/2427-Cene_56031_(60L_525A_242x175x190).html
Cene 26-550 (58L 550A 206x172x205);5 950 руб.;5 250 руб.при обмене;≈мкость58ѕусковой ток550ѕол€рностьѕр€ма€“ипоразмер206x172x205√аранти€ производител€48 мес.;https://akb.ru//product/2303-Cene_26-550_(58L_550A_206x172x205).html
Cene 26R-550 (58R 550A 206x172x205);5 950 руб.;5 250 руб.при обмене;≈мкость58ѕусковой ток550ѕол€рностьќбратна€“ипоразмер206x172x205√аранти€ производител€48 мес.;https://akb.ru//product/2307-Cene_26R-550_(58R_550A_206x172x205).html
