Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
Delkor 46B19L (40R 370A 187x127x227);5 100 руб.;4 600 руб.при обмене;≈мкость40ѕусковой ток370ѕол€рностьќбратна€“ипоразмер187x127x227√аранти€ производител€48 мес.;https://akb.ru//product/91-Delkor_46B19L_(40R_370A_187x127x227).html
Delkor 46B19R (40L 370A 187x127x227);5 100 руб.;4 600 руб.при обмене;≈мкость40ѕусковой ток370ѕол€рностьѕр€ма€“ипоразмер187x127x227√аранти€ производител€48 мес.;https://akb.ru//product/734-Delkor_46B19R_(40L_370A_187x127x227).html
Delkor 60B24LS (45R 430A 238x129x227);5 200 руб.;4 700 руб.при обмене;≈мкость45ѕусковой ток430ѕол€рностьќбратна€“ипоразмер238x129x227√аранти€ производител€48 мес.;https://akb.ru//product/91595-Delkor_60B24LS_(45R_430A_238x129x227).html
Delkor 70B24L (55R 480A 238x129x227);5 600 руб.;4 900 руб.при обмене;≈мкость55ѕусковой ток480ѕол€рностьќбратна€“ипоразмер238x129x227√аранти€ производител€48 мес.;https://akb.ru//product/108-Delkor_70B24L_(55R_480A_238x129x227).html
Delkor 70B24LS (58R 540A 238x129x227);5 600 руб.;4 900 руб.при обмене;≈мкость58ѕусковой ток540ѕол€рностьќбратна€“ипоразмер238x129x227√аранти€ производител€48 мес.;https://akb.ru//product/109-Delkor_70B24LS_(58R_540A_238x129x227).html
Delkor 70B24R (55L 480A 238x129x227);5 600 руб.;4 900 руб.при обмене;≈мкость55ѕусковой ток480ѕол€рностьѕр€ма€“ипоразмер238x129x227√аранти€ производител€48 мес.;https://akb.ru//product/110-Delkor_70B24R_(55L_480A_238x129x227).html
Delkor 50D20L (60R 525ј 208x173x207);5 650 руб.;4 950 руб.при обмене;≈мкость60ѕусковой ток525ѕол€рностьќбратна€“ипоразмер208x173x207√аранти€ производител€48 мес.;https://akb.ru//product/92-Delkor_50D20L_(60R_525A_208x173x207).html
Delkor 50D20R (60L 525ј 208x173x207);5 650 руб.;4 950 руб.при обмене;≈мкость60ѕусковой ток525ѕол€рностьѕр€ма€“ипоразмер208x173x207√аранти€ производител€48 мес.;https://akb.ru//product/93-Delkor_50D20R_(60L_525A_208x173x207).html
Delkor 56530 (65R 550A 279x175x175);5 900 руб.;5 200 руб.при обмене;≈мкость65ѕусковой ток550ѕол€рностьќбратна€“ипоразмер279x175x175√аранти€ производител€48 мес.;https://akb.ru//product/102-Delkor_56530_(65R_550A_279x175x175).html
Delkor 56030 (60R 525A 241x174x188);6 090 руб.;5 390 руб.при обмене;≈мкость60ѕусковой ток525ѕол€рностьќбратна€“ипоразмер241x174x188√аранти€ производител€48 мес.;https://akb.ru//product/96-Delkor_56030_(60R_525A_241x174x188).html
