Название;Цена;При обмене;Характеристика;Ссылка
Delta CT 1204, 12V 4Ah, 50А (113x70x89) YB4L-B, YB4L-A, YTX4L-BS;1 105 руб.;1 085 руб.при обмене;Емкость4СтранаКитайJIS-кодYB4L-BПусковой ток50ПолярностьОбратнаяТипоразмер113x70x89;https://akb.ru//product/702-Delta_CT_1204_12V_4Ah_50A_(113x70x89)_YB4L-B_YB4L-A_YTX4L-BS.html
Delta CT 12025, 12V 2.5Ah, 40А (113x38x85) YT4B-BS;1 110 руб.;1 090 руб.при обмене;Емкость2СтранаКитайJIS-кодYT4B-BSПусковой ток40ПолярностьОбратнаяТипоразмер113x38x85;https://akb.ru//product/91271-Delta_CT_12025_12V_25Ah_40A_(113x38x85)_YT4B-BS.html
Delta CT 12026, 12V 2.5Ah, 45А (114x49x86) YTR4A-BS;1 111 руб.;1 091 руб.при обмене;Емкость3СтранаКитайJIS-кодYTR4A-BSПусковой ток45ПолярностьОбратнаяТипоразмер114x49x86;https://akb.ru//product/91272-Delta_CT_12026_12V_25Ah_45A_(114x49x86)_YTR4A-BS.html
Delta CT 1205, 12V 5Ah, 80А (114x69x109) YTX5L-BS, YTZ7S, YT5L-BS;1 200 руб.;1 180 руб.при обмене;Емкость5СтранаКитайJIS-кодYTX5L-BSПусковой ток80ПолярностьОбратнаяТипоразмер114x69x109;https://akb.ru//product/703-Delta_CT_1205_12V_5Ah_80A_(114x69x109)_YTX5L-BS_YTZ7S_YT5L-BS.html
Delta CT 1205.1, 12V 5Ah, 65А (120x61x129) YB5L-B, 12N5-3B;1 430 руб.;1 410 руб.при обмене;Емкость5СтранаКитайJIS-кодYB5L-BПусковой ток65ПолярностьОбратнаяТипоразмер120x61x130;https://akb.ru//product/91273-Delta_CT_12051_12V_5Ah_65A_(120x61x129)_YB5L-B_12N5-3B.html
Delta CT 1207, 12V 7Ah, 105А (152x87x95) YTX7A-BS;1 700 руб.;1 650 руб.при обмене;Емкость7СтранаКитайJIS-кодYTX7A-BSПусковой ток105ПолярностьПрямаяТипоразмер152x87x95;https://akb.ru//product/704-Delta_CT_1207_12V_7Ah_105A_(152x87x95)_YTX7A-BS.html
Delta CT 1207.1, 12V 7Ah, 100А (114x71x131) YTX7L-BS;1 781 руб.;1 731 руб.при обмене;Емкость7СтранаКитайJIS-кодYTX7L-BSПусковой ток100ПолярностьОбратнаяТипоразмер114x71x131;https://akb.ru//product/708-Delta_CT_12071_12V_7Ah_100A_(114x71x131)_YTX7L-BS.html
Delta CT 1207.2, 12V 7Ah, 130А (114x70x108) YTZ7S;1 872 руб.;1 822 руб.при обмене;Емкость7СтранаКитайJIS-кодYTZ7SПусковой ток130ПолярностьОбратнаяТипоразмер114x70x108;https://akb.ru//product/1268-Delta_CT_12072_12V_7Ah_130A_(114x70x108)_YTZ7S.html
Delta CT 1208, 12V 8Ah, 130А (150x66x95) YT7B-BS, YT7B-4;1 980 руб.;1 930 руб.при обмене;Емкость8СтранаКитайJIS-кодYT7B-BSПусковой ток135ПолярностьПрямаяТипоразмер150x66x95;https://akb.ru//product/91274-Delta_CT_1208_12V_8Ah_130A_(150x66x95)_YT7B-BS_YT7B-4.html
Delta CT 1209, 12V 9Ah, 135А (152x87x107) YTX9-BS, YTX9;2 171 руб.;2 121 руб.при обмене;Емкость9СтранаКитайJIS-кодYTX9-BSПусковой ток135ПолярностьПрямаяТипоразмер152x87x107;https://akb.ru//product/706-Delta_CT_1209_12V_9Ah_135A_(152x87x107)_YTX9-BS_YTX9.html
Delta CT 1210, 12V 10Ah 100А (137x77x138) YB9A-A, YB9-B, 12N9-4B-1;2 200 руб.;2 150 руб.при обмене;Емкость10СтранаКитайJIS-кодYB9A-AПусковой ток100ПолярностьПрямаяТипоразмер137x77x138;https://akb.ru//product/707-Delta_CT_1210_12V_10Ah_100A_(137x77x138)_YB9A-A_YB9-B_12N9-4B-1.html
Delta CT 1209.1, 12V 9Ah, 115А (150x70x105) YT9B-BS;2 411 руб.;2 361 руб.при обмене;Емкость9СтранаКитайJIS-кодYT9B-BSПусковой ток115ПолярностьПрямаяТипоразмер150x70x105;https://akb.ru//product/91275-Delta_CT_12091_12V_9Ah_115A_(150x70x105)_YT9B-BS.html
Delta CT 1210.1, 12V 10Ah 100А (150x87x93) YTZ10S;2 541 руб.;2 491 руб.при обмене;Емкость10СтранаКитайJIS-кодYTZ10SПусковой ток100ПолярностьПрямаяТипоразмер150x87x93;https://akb.ru//product/91276-Delta_CT_12101_12V_10Ah_100A_(150x87x93)_YTZ10S.html
Delta CT 1212, 12V 12Ah, 180А (150x87x132) YTX14-BS, YTX12-BS;2 650 руб.;2 600 руб.при обмене;Емкость12СтранаКитайJIS-кодYTX14-BSПусковой ток180ПолярностьПрямаяТипоразмер150x87x132;https://akb.ru//product/709-Delta_CT_1212_12V_12Ah_180A_(150x87x132)_YTX14-BS_YTX12-BS.html
Delta CT 1211, 12V 11Ah 210А (150x87x110) YTZ12S, YTZ14S;2 782 руб.;2 732 руб.при обмене;Емкость11СтранаКитайJIS-кодYTZ12SПусковой ток210ПолярностьПрямаяТипоразмер150x87x110;https://akb.ru//product/91277-Delta_CT_1211_12V_11Ah_210A_(150x87x110)_YTZ12S_YTZ14S.html
Delta CT 1212.1, 12V 12Ah, 155А (150x70x130) YT12B-BS;2 873 руб.;2 823 руб.при обмене;Емкость12СтранаКитайJIS-кодYT12B-BSПусковой ток155ПолярностьПрямаяТипоразмер150x70x130;https://akb.ru//product/91278-Delta_CT_12121_12V_12Ah_155A_(150x70x130)_YT12B-BS.html
Delta CT 1212.2, 12V 14Ah, 155А (152x70x150) YT14B-BS;3 100 руб.;3 050 руб.при обмене;Емкость14СтранаКитайJIS-кодYT14B-BSПусковой ток155ПолярностьПрямаяТипоразмер152x70x150;https://akb.ru//product/91279-Delta_CT_12122_12V_14Ah_155A_(152x70x150)_YT14B-BS.html
Delta CT 1214, 12V 14Ah, 200А (151x88x147) YTX14-BS, YTX14H-BS;3 300 руб.;3 250 руб.при обмене;Емкость14СтранаКитайJIS-кодYTX14-BSПусковой ток200ПолярностьПрямаяТипоразмер151x88x147;https://akb.ru//product/1207-Delta_CT_1214_12V_14Ah_200A_(151x88x147)_YTX14-BS_YTX14H-BS.html
Delta CT 1218, 12V 18Ah, 270А (177x88x154) YTX20-BS, YB16-B, YB18-A;4 100 руб.;4 000 руб.при обмене;Емкость18СтранаКитайJIS-кодYTX20-BSПусковой ток270ПолярностьПрямаяТипоразмер177x88x154;https://akb.ru//product/710-Delta_CT_1218_12V_18Ah_270A_(177x88x154)_YTX20-BS_YB16-B_YB18-A.html
Delta CT 1214.1, 12V 14Ah, 165А (134x89x164) YB14-BS, YTX14AH, YTX14AH-BS;4 179 руб.;4 129 руб.при обмене;Емкость14СтранаКитайJIS-кодYTX14AH-BSПусковой ток165ПолярностьПрямаяТипоразмер134x89x164;https://akb.ru//product/91280-Delta_CT_12141_12V_14Ah_165A_(134x89x164)_YB14-BS_YTX14AH_YTX14AH-BS.html
Delta EPS 1214, 12V 12Ah, 220А (149x87x144) YTX14-BS, YTX14H-BS прямая пол.;4 329 руб.;4 279 руб.при обмене;Емкость12СтранаКитайJIS-кодYTX14-BSПусковой ток220ПолярностьПрямаяТипоразмер149x87x144;https://akb.ru//product/2022-Delta_EPS_1214_12V_12Ah_220A_(149x87x144)_YTX14-BS_YTX14H-BS_pryamaya_pol.html
Delta CT 1220.1, 12V 20Ah, 260А (181x77x167);4 400 руб.;4 300 руб.при обмене;Емкость20СтранаКитайJIS-кодYT19BL-BSПусковой ток260ПолярностьОбратнаяТипоразмер181x77x167;https://akb.ru//product/29363-Delta_CT_12201_12V_20Ah_260A_(181x77x167).html
Delta CT 1216.1, 12V 16Ah, 230А (150x87x161) YTX16-BS, YB16B-A;4 420 руб.;4 320 руб.при обмене;Емкость16СтранаКитайJIS-кодYTX16-BSПусковой ток230ПолярностьПрямаяТипоразмер150x87x161;https://akb.ru//product/91282-Delta_CT_12161_12V_16Ah_230A_(150x87x161)_YTX16-BS_YB16B-A.html
Delta CT 12201, 12V 20Ah, 270А (180x87x153) YTX20L-BS, YB16L-B, YB18L-A;4 600 руб.;4 500 руб.при обмене;Емкость20СтранаКитайJIS-кодYTX20L-BSПусковой ток270ПолярностьОбратнаяТипоразмер180x87x153;https://akb.ru//product/705-Delta_CT_12201_12V_20Ah_270A_(180x87x153)_YTX20L-BS_YB16L-B_YB18L-A.html
Delta CT 1216, 12V 16Ah, 200А (207x72x164) YB16AL-A2;4 790 руб.;4 690 руб.при обмене;Емкость16СтранаКитайJIS-кодYB16AL-A2Пусковой ток200ПолярностьОбратнаяТипоразмер207x72x164;https://akb.ru//product/91281-Delta_CT_1216_12V_16Ah_200A_(207x72x164)_YB16AL-A2.html
Delta CT 1220, 12V 20Ah, 250А (204x91x159) Y50-N18L-A3, YTX24HL-BS, YTX24HL обратная пол.;4 950 руб.;4 850 руб.при обмене;Емкость20СтранаКитайJIS-кодY50-N18L-A3Пусковой ток250ПолярностьОбратнаяТипоразмер204x91x159;https://akb.ru//product/2411-Delta_CT_1220_12V_20Ah_250A_(204x91x159)_Y50-N18L-A3_YTX24HL-BS_YTX24HL_obratnaya_pol.html
Delta EPS 1218.1, 12V 18Ah, 250А (151x87x161) YTX20СH-BS прямая пол.;5 544 руб.;5 444 руб.при обмене;Емкость18СтранаКитайJIS-кодYTX20СH-BSПусковой ток250ПолярностьПрямаяТипоразмер151x87x161;https://akb.ru//product/1963-Delta_EPS_12181_12V_18Ah_250A_(151x87x161)_YTX20SH-BS_pryamaya_pol.html
Delta EPS 1218, 12V 18Ah, 270А (176x87x154) YTX20-BS, YTX20H-BS прямая пол.;5 800 руб.;5 700 руб.при обмене;Емкость18СтранаКитайJIS-кодYTX20-BSПусковой ток270ПолярностьПрямаяТипоразмер176x87x154;https://akb.ru//product/1965-Delta_EPS_1218_12V_18Ah_270A_(176x87x154)_YTX20-BS_YTX20H-BS_pryamaya_pol.html
Delta EPS 1220, 12V 20Ah, 350А (205x87x162) YTX24HL-BS, YTX24HL обратная пол.;6 300 руб.;6 200 руб.при обмене;Емкость20СтранаКитайJIS-кодYTX24HL-BSПусковой ток350ПолярностьОбратнаяТипоразмер205x87x162;https://akb.ru//product/1996-Delta_EPS_1220_12V_20Ah_350A_(205x87x162)_YTX24HL-BS_YTX24HL_obratnaya_pol.html
Delta CT 1230, 12V 30Ah, 300А (168x126x175) YTX30L-BS, YB30L-B, YTX30L обратная пол.;6 350 руб.;6 250 руб.при обмене;Емкость30СтранаКитайJIS-кодYTX30L-BSПусковой ток300ПолярностьОбратнаяТипоразмер168x126x175;https://akb.ru//product/2410-Delta_CT_1230_12V_30Ah_300A_(168x126x175)_YTX30L-BS_YB30L-B_YTX30L_obratnaya_pol.html
Delta EPS 1230, 12V 30Ah, 400А (166x130x175) YTX30HL-BS, YTX30L-B, YTX30L обратная пол.;7 700 руб.;7 600 руб.при обмене;Емкость30СтранаКитайJIS-кодYTX30HL-BSПусковой ток400ПолярностьОбратнаяТипоразмер166x130x175;https://akb.ru//product/2014-Delta_EPS_1230_12V_30Ah_400A_(166x130x175)_YTX30HL-BS_YTX30L-B_YTX30L_obratnaya_pol.html
