Название;Цена;При обмене;Характеристика;Ссылка
Exide AGM сухозаряж. ETX14L-BS 12V 12Ah 200A (150x88x146) прям. пол.;3 600 руб.;3 550 руб.при обмене;Емкость12Пусковой ток200ПолярностьПрямаяТипоразмер150x88x146Гарантия производителя12 мес.;https://akb.ru//product/2194-Exide_AGM_suhozaryazh_ETX14L-BS_12V_12Ah_200A_(150x88x146)_pryam_pol.html
Exide Premium 53R 540A (207x175x190) EA530;4 700 руб.;4 200 руб.при обмене;Емкость53Пусковой ток540ПолярностьОбратнаяТипоразмер207x175x190Гарантия производителя24 мес.;https://akb.ru//product/91406-Exide_Premium_53R_540A_(207x175x190)_EA530.html
Exide AGM сухозаряж. ETX14AH-BS 12V 12Ah 210A (134x89x164) прям. пол.;4 800 руб.;4 750 руб.при обмене;Емкость12Пусковой ток210ПолярностьПрямаяТипоразмер134x89x164Гарантия производителя12 мес.;https://akb.ru//product/91408-Exide_AGM_suhozaryazh_ETX14AH-BS_12V_12Ah_210A_(134x89x164)_pryam_pol.html
Exide Premium 64R (640А 242х175х190) EA640;5 400 руб.;4 700 руб.при обмене;Емкость64Пусковой ток640ПолярностьОбратнаяТипоразмер242x175x190Гарантия производителя24 мес.;https://akb.ru//product/842-Exide_Premium_64R_(640A_242h175h190)_EA640.html
Exide Premium 61R (600А 242х175х175) EA612;5 700 руб.;5 000 руб.при обмене;Емкость61Пусковой ток600ПолярностьОбратнаяТипоразмер242x175x175Гарантия производителя24 мес.;https://akb.ru//product/622-Exide_Premium_61R_(600A_242h175h175)_EA612.html
Exide Premium 72R (720А 278х175х175) EA722;5 800 руб.;5 000 руб.при обмене;Емкость72Пусковой ток720ПолярностьОбратнаяТипоразмер278x175x175Гарантия производителя24 мес.;https://akb.ru//product/592-Exide_Premium_72R_(720A_278h175h175)_EA722.html
Exide Premium 60L (600А 242х175х190) EA601;5 900 руб.;5 200 руб.при обмене;Емкость60Пусковой ток600ПолярностьПрямаяТипоразмер242x175x190Гарантия производителя24 мес.;https://akb.ru//product/91369-Exide_Premium_60L_(600A_242h175h190)_EA601.html
Exide Premium 75R (630А 261x173x225) EA754;6 300 руб.;5 500 руб.при обмене;Емкость75Пусковой ток630ПолярностьОбратнаяТипоразмер261x173x225Гарантия производителя24 мес.;https://akb.ru//product/940-Exide_Premium_75R_(630A_261x173x225)_EA754.html
Exide Premium 65R (580А 230x173x222) EA654;6 300 руб.;5 600 руб.при обмене;Емкость65Пусковой ток580ПолярностьОбратнаяТипоразмер230x173x222Гарантия производителя24 мес.;https://akb.ru//product/941-Exide_Premium_65R_(580A_230x173x222)_EA654.html
Exide Premium 75L (630А 261x173x225) EA755;6 300 руб.;5 500 руб.при обмене;Емкость75Пусковой ток630ПолярностьПрямаяТипоразмер261x173x225Гарантия производителя24 мес.;https://akb.ru//product/942-Exide_Premium_75L_(630A_261x173x225)_EA755.html
Exide Premium 77R (760А 278х175х190) EA770;6 900 руб.;6 100 руб.при обмене;Емкость77Пусковой ток760ПолярностьОбратнаяТипоразмер278x175x190Гарантия производителя24 мес.;https://akb.ru//product/594-Exide_Premium_77R_(760A_278h175h190)_EA770.html
Exide Premium 85R (800А 315х175х175) EA852;7 000 руб.;6 100 руб.при обмене;Емкость85Пусковой ток800ПолярностьОбратнаяТипоразмер315x175x175Гарантия производителя24 мес.;https://akb.ru//product/593-Exide_Premium_85R_(800A_315h175h175)_EA852.html
Exide Premium 95R (800А 306х173х225) EA954;7 850 руб.;6 850 руб.при обмене;Емкость95Пусковой ток800ПолярностьОбратнаяТипоразмер306x173x225Гарантия производителя24 мес.;https://akb.ru//product/943-Exide_Premium_95R_(800A_306h173h225)_EA954.html
Exide Premium 100R (900А 353х175х190) EA1000;8 100 руб.;7 100 руб.при обмене;Емкость100Пусковой ток900ПолярностьОбратнаяТипоразмер353x175x190Гарантия производителя24 мес.;https://akb.ru//product/557-Exide_Premium_100R_(900A_353h175h190)_EA1000.html
Exide Start-Stop AGM 60R (680А 242x175x190) EK600;8 600 руб.;7 900 руб.при обмене;Емкость60Пусковой ток680ПолярностьОбратнаяТипоразмер242x175x190Гарантия производителя24 мес.;https://akb.ru//product/2390-Exide_Start-Stop_AGM_60R_(680A_242x175x190)_EK600.html
Exide Premium EA681 12v 68Ah 650A (306x192x192) для Ford Explorer;9 300 руб.;8 500 руб.при обмене;Емкость68Пусковой ток650ПолярностьПрямаяТипоразмер306x192x192Гарантия производителя24 мес.;https://akb.ru//product/91763-Exide_Premium_EA681_12v_68Ah_650A_(306x192x192)_dlya_Ford_Explorer.html
Exide Start-Stop AGM 70R (760А 278x175x190) EK700;10 300 руб.;9 500 руб.при обмене;Емкость70Пусковой ток760ПолярностьОбратнаяТипоразмер278x175x190Гарантия производителя24 мес.;https://akb.ru//product/560-Exide_Start-Stop_AGM_70R_(760A_278x175x190)_EK700.html
Exide Heavy Professional 140 А·ч евро 800А (513x189x223) EG1403;11 200 руб.;9 700 руб.при обмене;Емкость140Пусковой ток800ПолярностьОбратнаяТипоразмер513x189x223Гарантия производителя12 мес.;https://akb.ru//product/1731-Exide_Heavy_Professional_140_Ach_evro_800A_(513x189x223)_EG1403.html
Exide Start-Stop AGM 80R (800А 315x175x190) EK800;11 400 руб.;10 500 руб.при обмене;Емкость80Пусковой ток800ПолярностьОбратнаяТипоразмер315x175x190Гарантия производителя24 мес.;https://akb.ru//product/561-Exide_Start-Stop_AGM_80R_(800A_315x175x190)_EK800.html
Exide Start-Stop AGM 95R (850А 353x175x190) EK950;12 400 руб.;11 400 руб.при обмене;Емкость95Пусковой ток850ПолярностьОбратнаяТипоразмер353x175x190Гарантия производителя24 мес.;https://akb.ru//product/559-Exide_Start-Stop_AGM_95R_(850A_353x175x190)_EK950.html
Exide Excell EB758 12v 75Ah 770A (268x178x184) бок.кл.;12 800 руб.;12 000 руб.при обмене;Емкость75Пусковой ток770ПолярностьПрямаяТипоразмер268x178x184Гарантия производителя24 мес.;https://akb.ru//product/91762-Exide_Excell_EB758_12v_75Ah_770A_(268x178x184)_bokkl.html
Exide Excell EB788 12v 78Ah 850A (306x192x192) для Ford Explorer;12 900 руб.;12 100 руб.при обмене;Емкость78Пусковой ток850ПолярностьПрямаяТипоразмер306x192x192Гарантия производителя24 мес.;https://akb.ru//product/91761-Exide_Excell_EB788_12v_78Ah_850A_(306x192x192)_dlya_Ford_Explorer.html
Exide Heavy Professional 185 А·ч евро 1150А (513x223x223) EF1853;14 900 руб.;12 700 руб.при обмене;Емкость185Пусковой ток1150ПолярностьОбратнаяТипоразмер513x223x223Гарантия производителя12 мес.;https://akb.ru//product/2252-Exide_Heavy_Professional_185_Ach_evro_1150A_(513x223x223)_EF1853.html
Exide Heavy Professional 235 А·ч евро 1300А (518x276x242) EF2353;19 700 руб.;17 200 руб.при обмене;Емкость235Пусковой ток1300ПолярностьОбратнаяТипоразмер518x276x242Гарантия производителя12 мес.;https://akb.ru//product/1732-Exide_Heavy_Professional_235_Ach_evro_1300A_(518x276x242)_EF2353.html
