Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
Exide AGM сухозар€ж. ETR4A-BS 12V 2.3Ah 35A (113x48x85) обр. пол.;1 500 руб.;1 480 руб.при обмене;≈мкость2—трана итайJIS-кодYTR4A-BSѕусковой ток35ѕол€рностьќбратна€“ипоразмер113x48x85;https://akb.ru//product/1125-Exide_AGM_suhozaryazh_ETR4A-BS_12V_23Ah_35A_(113x48x85)_obr_pol.html
Exide Conventional EB5L-B 12V 5Ah 65A (121x61x131) обр. пол. (сухоз.);1 600 руб.;1 580 руб.при обмене;≈мкость5—трана итайJIS-кодYB5L-Bѕусковой ток65ѕол€рностьќбратна€“ипоразмер121x61x131;https://akb.ru//product/2187-Exide_Conventional_EB5L-B_12V_5Ah_65A_(121x61x131)_obr_pol_(suhoz).html
Exide AGM сухозар€ж. ETX4L-BS 12V 3Ah 50A (113x70x85) обр. пол.;1 800 руб.;1 780 руб.при обмене;≈мкость3—трана итайJIS-кодYTX4L-BSѕусковой ток50ѕол€рностьќбратна€“ипоразмер113x70x85;https://akb.ru//product/1129-Exide_AGM_suhozaryazh_ETX4L-BS_12V_3Ah_50A_(113x70x85)_obr_pol.html
Exide AGM сухозар€ж. ETX5L-BS 12V 4Ah 70A (113x70x105) обр. пол.;1 900 руб.;1 880 руб.при обмене;≈мкость4—трана итайJIS-кодYTX5L-BSѕусковой ток70ѕол€рностьќбратна€“ипоразмер113x70x105;https://akb.ru//product/1251-Exide_AGM_suhozaryazh_ETX5L-BS_12V_4Ah_70A_(113x70x105)_obr_pol.html
Exide Conventional 12N9-4B-1 12V 9Ah 85A (135x75x139), обр. пол. (сухоз.);2 400 руб.;2 350 руб.при обмене;≈мкость9—трана итайJIS-код12N9-4B-1ѕусковой ток85ѕол€рностьќбратна€“ипоразмер135x75x139;https://akb.ru//product/91167-Exide_Conventional_12N9-4B-1_12V_9Ah_85A_(135x75x139)_obr_pol_(suhoz).html
Exide AGM сухозар€ж. ETZ7-BS 12V 6Ah 100A (113x70x105) обр. пол.;2 500 руб.;2 480 руб.при обмене;≈мкость6—трана итайJIS-кодYTZ7-BSѕусковой ток100ѕол€рностьќбратна€“ипоразмер113x70x105;https://akb.ru//product/1132-Exide_AGM_suhozaryazh_ETZ7-BS_12V_6Ah_100A_(113x70x105)_obr_pol.html
Exide AGM сухозар€ж. ETX7L-BS 12V 6Ah 100A (113x70x130) обр. пол.;2 500 руб.;2 480 руб.при обмене;≈мкость6—трана итайJIS-кодYTX7L-BSѕусковой ток100ѕол€рностьќбратна€“ипоразмер113x70x130;https://akb.ru//product/1250-Exide_AGM_suhozaryazh_ETX7L-BS_12V_6Ah_100A_(113x70x130)_obr_pol.html
Exide Conventional 12N9-3B 12V 9Ah 85A (135x75x139) обр. пол. (сухоз.);2 600 руб.;2 550 руб.при обмене;≈мкость9—трана итайJIS-код12N9-3Bѕусковой ток85ѕол€рностьќбратна€“ипоразмер135x75x139;https://akb.ru//product/2209-Exide_Conventional_12N9-3B_12V_9Ah_85A_(135x75x139)_obr_pol_(suhoz).html
Exide AGM сухозар€ж.ET7B-BS 12V 7Ah 85A (150x65x93) пр€ма€. пол.;2 600 руб.;2 550 руб.при обмене;≈мкость7—трана итайJIS-кодYT7B-BSѕусковой ток85ѕол€рностьѕр€ма€“ипоразмер150x87x93;https://akb.ru//product/91169-Exide_AGM_suhozaryazhET7B-BS_12V_7Ah_85A_(150x65x93)_pryamaya_pol.html
Exide AGM сухозар€ж. ETX7A-BS 12V 6Ah  90A (150x87x93) пр€м. пол.;2 650 руб.;2 630 руб.при обмене;≈мкость6—трана итайJIS-кодYTX7A-BSѕусковой ток90ѕол€рностьѕр€ма€“ипоразмер150x87x93;https://akb.ru//product/1130-Exide_AGM_suhozaryazh_ETX7A-BS_12V_6Ah__90A_(150x87x93)_pryam_pol.html
Exide AGM сухозар€ж. ETX9-BS 12V 8Ah 120A (150x87x105) пр€м. пол.;2 800 руб.;2 750 руб.при обмене;≈мкость8—трана итайJIS-кодYTX9-BSѕусковой ток120ѕол€рностьѕр€ма€“ипоразмер150x87x105;https://akb.ru//product/1131-Exide_AGM_suhozaryazh_ETX9-BS_12V_8Ah_120A_(150x87x105)_pryam_pol.html
Exide AGM сухозар€ж. ETX12-BS 12V 10Ah 150A (150х87х130) пр€м. пол.;2 950 руб.;2 900 руб.при обмене;≈мкость10—трана итайJIS-кодYTX12-BSѕусковой ток150ѕол€рностьѕр€ма€“ипоразмер150x87x130;https://akb.ru//product/1194-Exide_AGM_suhozaryazh_ETX12-BS_12V_10Ah_150A_(150h87h130)_pryam_pol.html
Exide AGM сухозар€ж. ETZ10-BS 12V 8.6Ah 145A (150x87x93) пр€м. пол.;3 000 руб.;2 950 руб.при обмене;≈мкость8—трана итайJIS-кодYTZ10-BSѕусковой ток145ѕол€рностьѕр€ма€“ипоразмер150x87x93;https://akb.ru//product/1133-Exide_AGM_suhozaryazh_ETZ10-BS_12V_86Ah_145A_(150x87x93)_pryam_pol.html
Exide AGM сухозар€ж. ET9B-BS 12V 8Ah 110A (150x70x105) пр€м. пол.;3 100 руб.;3 050 руб.при обмене;≈мкость8—трана итайJIS-кодYT9B-BSѕусковой ток110ѕол€рностьѕр€ма€“ипоразмер150x70x105;https://akb.ru//product/2213-Exide_AGM_suhozaryazh_ET9B-BS_12V_8Ah_110A_(150x70x105)_pryam_pol.html
Exide AGM сухозар€ж. ET12B-BS 12V 10Ah 160A (150x70x130) пр€м. пол.;3 200 руб.;3 150 руб.при обмене;≈мкость10—трана итайJIS-кодYT12B-BSѕусковой ток160ѕол€рностьѕр€ма€“ипоразмер150x70x130;https://akb.ru//product/1123-Exide_AGM_suhozaryazh_ET12B-BS_12V_10Ah_160A_(150x70x130)_pryam_pol.html
Exide AGM сухозар€ж. ET12A-BS 12V 9.5Ah 130A (150x87x105) пр€м. пол.;3 350 руб.;3 300 руб.при обмене;≈мкость9—трана итайJIS-кодYT12A-BSѕусковой ток130ѕол€рностьѕр€ма€“ипоразмер150x87x105;https://akb.ru//product/1122-Exide_AGM_suhozaryazh_ET12A-BS_12V_95Ah_130A_(150x87x105)_pryam_pol.html
Exide Conventional EB16AL-A2 12V 16Ah 175A (205x70x162) обр. пол. (сухоз.);3 500 руб.;3 400 руб.при обмене;≈мкость16—трана итайJIS-кодYB16AL-A2ѕусковой ток175ѕол€рностьќбратна€“ипоразмер205x70x162;https://akb.ru//product/1121-Exide_Conventional_EB16AL-A2_12V_16Ah_175A_(205x70x162)_obr_pol_(suhoz).html
Exide AGM сухозар€ж. ETX14L-BS 12V 12Ah 200A (150x88x146) пр€м. пол.;3 600 руб.;3 550 руб.при обмене;≈мкость12—трана итайJIS-кодYTX14L-BSѕусковой ток200ѕол€рностьѕр€ма€“ипоразмер150x88x146;https://akb.ru//product/2194-Exide_AGM_suhozaryazh_ETX14L-BS_12V_12Ah_200A_(150x88x146)_pryam_pol.html
Exide AGM сухозар€ж. ET14B-BS 12V 12Ah 190A (150x70x145) пр€м. пол.;3 800 руб.;3 750 руб.при обмене;≈мкость12—трана итайJIS-кодYT14B-BSѕусковой ток190ѕол€рностьѕр€ма€“ипоразмер150x70x145;https://akb.ru//product/2152-Exide_AGM_suhozaryazh_ET14B-BS_12V_12Ah_190A_(150x70x145)_pryam_pol.html
Exide AGM сухозар€ж. ETX16-BS 12V 14Ah 215A (150x87x161) пр€м. пол.;4 300 руб.;4 250 руб.при обмене;≈мкость14—трана итайJIS-кодYTX16-BSѕусковой ток215ѕол€рностьѕр€ма€“ипоразмер150x87x161;https://akb.ru//product/2182-Exide_AGM_suhozaryazh_ETX16-BS_12V_14Ah_215A_(150x87x161)_pryam_pol.html
Exide Conventional EB16CL-B 12V 19Ah 190A (176x101x176) обр. пол. (сухоз.);4 500 руб.;4 400 руб.при обмене;≈мкость19—трана итайJIS-кодYB16CL-Bѕусковой ток190ѕол€рностьќбратна€“ипоразмер176x101x176;https://akb.ru//product/91407-Exide_Conventional_EB16CL-B_12V_19Ah_190A_(176x101x176)_obr_pol_(suhoz).html
Exide AGM сухозар€ж. ETX14AHL-BS 12V 12Ah 210A (134x91x164) обр. пол.;4 700 руб.;4 650 руб.при обмене;≈мкость12—трана итайJIS-кодYTX14AHL-BSѕусковой ток210ѕол€рностьќбратна€“ипоразмер134x91x164;https://akb.ru//product/1126-Exide_AGM_suhozaryazh_ETX14AHL-BS_12V_12Ah_210A_(134x91x164)_obr_pol.html
Exide AGM сухозар€ж. ETX14AH-BS 12V 12Ah 210A (134x89x164) пр€м. пол.;4 800 руб.;4 750 руб.при обмене;≈мкость12—трана итайJIS-кодYTX14AH-BSѕусковой ток210ѕол€рностьѕр€ма€“ипоразмер134x89x164;https://akb.ru//product/91408-Exide_AGM_suhozaryazh_ETX14AH-BS_12V_12Ah_210A_(134x89x164)_pryam_pol.html
Exide AGM сухозар€ж. ETX20CH-BS 12V 18Ah 230A (150x87x161) пр€м. пол.;5 100 руб.;5 000 руб.при обмене;≈мкость18—трана итайJIS-кодYTX20CH-BSѕусковой ток230ѕол€рностьѕр€ма€“ипоразмер150x87x161;https://akb.ru//product/1128-Exide_AGM_suhozaryazh_ETX20CH-BS_12V_18Ah_230A_(150x87x161)_pryam_pol.html
Exide AGM сухозар€ж. ETX24HL-BS 12V 21Ah 350A (206x92x163) обр. пол.;5 700 руб.;5 600 руб.при обмене;≈мкость21—трана итайJIS-кодYTX24HL-BSѕусковой ток350ѕол€рностьќбратна€“ипоразмер206x92x163;https://akb.ru//product/91171-Exide_AGM_suhozaryazh_ETX24HL-BS_12V_21Ah_350A_(206x92x163)_obr_pol.html
