Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
Fiamm Titanium Pro 60R 540A (241x175x190) L2 60P;5 900 руб.;5 200 руб.при обмене;≈мкость60ѕусковой ток540ѕол€рностьќбратна€“ипоразмер241x175x190√аранти€ производител€36 мес.;https://akb.ru//product/1345-Fiamm_Titanium_Pro_60R_540A_(241x175x190)_L2_60P.html
Fiamm Titanium Pro 54R 520A (207x175x190) L1 54P;6 150 руб.;5 650 руб.при обмене;≈мкость54ѕусковой ток520ѕол€рностьќбратна€“ипоразмер207x175x190√аранти€ производител€36 мес.;https://akb.ru//product/949-Fiamm_Titanium_Pro_54R_520A_(207x175x190)_L1_54P.html
Fiamm Titanium Pro 50R 460A (207x175x190) L1 50P;6 300 руб.;5 800 руб.при обмене;≈мкость50ѕусковой ток460ѕол€рностьќбратна€“ипоразмер207x175x190√аранти€ производител€36 мес.;https://akb.ru//product/1357-Fiamm_Titanium_Pro_50R_460A_(207x175x190)_L1_50P.html
Fiamm Titanium Pro 50R низкий 520A (207x175x175) L1B 50P;6 500 руб.;6 000 руб.при обмене;≈мкость50ѕусковой ток520ѕол€рностьќбратна€“ипоразмер207x175x175√аранти€ производител€36 мес.;https://akb.ru//product/948-Fiamm_Titanium_Pro_50R_nizkiy_520A_(207x175x175)_L1B_50P.html
Fiamm Titanium Pro 54R низкий 540A (241x175x175) L2B 54P;6 500 руб.;6 000 руб.при обмене;≈мкость54ѕусковой ток540ѕол€рностьќбратна€“ипоразмер242x175x175√аранти€ производител€36 мес.;https://akb.ru//product/1338-Fiamm_Titanium_Pro_54R_nizkiy_540A_(241x175x175)_L2B_54P.html
Fiamm Black Titanium 60R 510A 242x175x190 L2 60;6 500 руб.;5 800 руб.при обмене;≈мкость60ѕусковой ток510ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€24 мес.;https://akb.ru//product/1448-Fiamm_Black_Titanium_60R_510A_242x175x190_L2_60.html
Fiamm Titanium Pro 60R низкий 600A (241x175x175) L2B 60P;6 800 руб.;6 100 руб.при обмене;≈мкость60ѕусковой ток600ѕол€рностьќбратна€“ипоразмер242x175x175√аранти€ производител€36 мес.;https://akb.ru//product/875-Fiamm_Titanium_Pro_60R_nizkiy_600A_(241x175x175)_L2B_60P.html
Fiamm Titanium Pro 60L 540A (241x175x190) L2X 60P;6 800 руб.;6 100 руб.при обмене;≈мкость60ѕусковой ток540ѕол€рностьѕр€ма€“ипоразмер241x175x190√аранти€ производител€36 мес.;https://akb.ru//product/878-Fiamm_Titanium_Pro_60L_540A_(241x175x190)_L2X_60P.html
Fiamm Titanium Pro 60R 600A (242x175x190) L2 62P;6 800 руб.;6 100 руб.при обмене;≈мкость60ѕусковой ток600ѕол€рностьќбратна€“ипоразмер241x175x190√аранти€ производител€36 мес.;https://akb.ru//product/91364-Fiamm_Titanium_Pro_60R_600A_(242x175x190)_L2_62P.html
Fiamm Titanium Pro 62L 600A (242x175x190) L2X 62P;6 800 руб.;6 100 руб.при обмене;≈мкость60ѕусковой ток600ѕол€рностьѕр€ма€“ипоразмер241x175x190√аранти€ производител€36 мес.;https://akb.ru//product/91365-Fiamm_Titanium_Pro_62L_600A_(242x175x190)_L2X_62P.html
Fiamm Titanium Pro 64R 610A (241x175x190) L2 64P;6 950 руб.;6 250 руб.при обмене;≈мкость64ѕусковой ток610ѕол€рностьќбратна€“ипоразмер241x175x190√аранти€ производител€36 мес.;https://akb.ru//product/876-Fiamm_Titanium_Pro_64R_610A_(241x175x190)_L2_64P.html
Fiamm Titanium Pro 64L 610A (241x175x190) L2X 64P;6 950 руб.;6 250 руб.при обмене;≈мкость64ѕусковой ток610ѕол€рностьѕр€ма€“ипоразмер241x175x190√аранти€ производител€36 мес.;https://akb.ru//product/1778-Fiamm_Titanium_Pro_64L_610A_(241x175x190)_L2X_64P.html
Fiamm Titanium Pro 70R 640A (278x175x190) L3 70P;7 800 руб.;7 000 руб.при обмене;≈мкость70ѕусковой ток640ѕол€рностьќбратна€“ипоразмер278x175x190√аранти€ производител€36 мес.;https://akb.ru//product/1340-Fiamm_Titanium_Pro_70R_640A_(278x175x190)_L3_70P.html
Fiamm Titanium Pro 74R 680A (278x175x190) L3 74P;7 950 руб.;7 150 руб.при обмене;≈мкость74ѕусковой ток680ѕол€рностьќбратна€“ипоразмер278x175x190√аранти€ производител€36 мес.;https://akb.ru//product/1346-Fiamm_Titanium_Pro_74R_680A_(278x175x190)_L3_74P.html
Fiamm Titanium Pro 74L 680A (278x175x190) L3X 74P;7 950 руб.;7 150 руб.при обмене;≈мкость74ѕусковой ток680ѕол€рностьѕр€ма€“ипоразмер278x175x190√аранти€ производител€36 мес.;https://akb.ru//product/1347-Fiamm_Titanium_Pro_74L_680A_(278x175x190)_L3X_74P.html
Fiamm Titanium Pro 75R низкий 730A (278x175x175) L3B 75P;8 150 руб.;7 350 руб.при обмене;≈мкость75ѕусковой ток730ѕол€рностьќбратна€“ипоразмер278x175x175√аранти€ производител€36 мес.;https://akb.ru//product/882-Fiamm_Titanium_Pro_75R_nizkiy_730A_(278x175x175)_L3B_75P.html
Fiamm Titanium Pro 80R 730A (278x175x190) L3 80P;8 500 руб.;7 600 руб.при обмене;≈мкость80ѕусковой ток730ѕол€рностьќбратна€“ипоразмер278x175x190√аранти€ производител€36 мес.;https://akb.ru//product/879-Fiamm_Titanium_Pro_80R_730A_(278x175x190)_L3_80P.html
Fiamm Titanium Pro 85R низкий 760A (315x175x175) L4B 85P;9 150 руб.;8 250 руб.при обмене;≈мкость85ѕусковой ток760ѕол€рностьќбратна€“ипоразмер315x175x175√аранти€ производител€36 мес.;https://akb.ru//product/880-Fiamm_Titanium_Pro_85R_nizkiy_760A_(315x175x175)_L4B_85P.html
Fiamm Black Titanium 95R 850A 315x175x190 L4 95;9 700 руб.;8 700 руб.при обмене;≈мкость95ѕусковой ток850ѕол€рностьќбратна€“ипоразмер315x175x190√аранти€ производител€24 мес.;https://akb.ru//product/1370-Fiamm_Black_Titanium_95R_850A_315x175x190_L4_95.html
Fiamm Ecoforce AFB 75R низкий 730A (315x175x175) EFB Start-Stop TR730;9 900 руб.;9 100 руб.при обмене;≈мкость75ѕусковой ток730ѕол€рностьќбратна€“ипоразмер315x175x175√аранти€ производител€36 мес.;https://akb.ru//product/2263-Fiamm_Ecoforce_AFB_75R_nizkiy_730A_(315x175x175)_EFB_Start-Stop_TR730.html
Fiamm Titanium Pro 100R 870A (353x175x190) L5 100P;10 900 руб.;9 900 руб.при обмене;≈мкость100ѕусковой ток870ѕол€рностьќбратна€“ипоразмер353x175x190√аранти€ производител€36 мес.;https://akb.ru//product/881-Fiamm_Titanium_Pro_100R_870A_(353x175x190)_L5_100P.html
Fiamm Power Cube 185 рус 1200A (524x239x240) Heavy Duty M154185EHD;14 200 руб.;12 000 руб.при обмене;≈мкость185ѕусковой ток1200ѕол€рностьѕр€ма€“ипоразмер524x239x240√аранти€ производител€12 мес.;https://akb.ru//product/1300-Fiamm_Power_Cube_185_rus_1200A_(524x239x240)_Heavy_Duty_M154185EHD.html
Fiamm Ecoforce AGM 105R 950A 393x175x190 (L6) Start-Stop VR950;18 500 руб.;17 400 руб.при обмене;≈мкость105ѕусковой ток950ѕол€рностьќбратна€“ипоразмер393x175x190√аранти€ производител€24 мес.;https://akb.ru//product/2398-Fiamm_Ecoforce_AGM_105R_950A_393x175x190_(L6)_Start-Stop_VR950.html
