Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
FB Super Nova 40B19L (38R 330A 187x127x227);4 400 руб.;3 900 руб.при обмене;≈мкость38ѕусковой ток330ѕол€рностьќбратна€“ипоразмер187x127x227√аранти€ производител€24 мес.;https://akb.ru//product/1612-FB_Super_Nova_40B19L_(38R_330A_187x127x227).html
FB Super Nova 40B19R (38L 330A 187x127x227);4 400 руб.;3 900 руб.при обмене;≈мкость38ѕусковой ток330ѕол€рностьѕр€ма€“ипоразмер187x127x227√аранти€ производител€24 мес.;https://akb.ru//product/1641-FB_Super_Nova_40B19R_(38L_330A_187x127x227).html
FB Super Nova 55B24R (45L 440A 238x129x225);5 300 руб.;4 800 руб.при обмене;≈мкость45ѕусковой ток440ѕол€рностьѕр€ма€“ипоразмер238x129x225√аранти€ производител€24 мес.;https://akb.ru//product/522-FB_Super_Nova_55B24R_(45L_440A_238x129x225).html
FB Super Nova 55B24L (45R 440A 238x129x225);5 300 руб.;4 800 руб.при обмене;≈мкость45ѕусковой ток440ѕол€рностьќбратна€“ипоразмер238x129x225√аранти€ производител€24 мес.;https://akb.ru//product/546-FB_Super_Nova_55B24L_(45R_440A_238x129x225).html
FB Super Nova 55B24L (45R 440A 238x129x225) переходник;5 400 руб.;4 900 руб.при обмене;≈мкость45ѕусковой ток440ѕол€рностьќбратна€“ипоразмер238x129x225√аранти€ производител€24 мес.;https://akb.ru//product/91670-FB_Super_Nova_55B24L_(45R_440A_238x129x225)_perehodnik.html
FB9000 46B19L (43R 370A 189x129x225);6 300 руб.;5 800 руб.при обмене;≈мкость43ѕусковой ток370ѕол€рностьќбратна€“ипоразмер189x129x225√аранти€ производител€24 мес.;https://akb.ru//product/483-FB9000_46B19L_(43R_370A_189x129x225).html
FB9000 46B19R (43L 370A 189x129x225);6 300 руб.;5 800 руб.при обмене;≈мкость43ѕусковой ток370ѕол€рностьѕр€ма€“ипоразмер189x129x225√аранти€ производител€24 мес.;https://akb.ru//product/485-FB9000_46B19R_(43L_370A_189x129x225).html
FB7000 60B24L (48R 470A 236x126x227);6 400 руб.;5 900 руб.при обмене;≈мкость48ѕусковой ток470ѕол€рностьќбратна€“ипоразмер236x126x227√аранти€ производител€24 мес.;https://akb.ru//product/131-FB7000_60B24L_(48R_470A_236x126x227).html
FB7000 60B24R (48L 470A 236x126x227);6 400 руб.;5 900 руб.при обмене;≈мкость48ѕусковой ток470ѕол€рностьѕр€ма€“ипоразмер236x126x227√аранти€ производител€24 мес.;https://akb.ru//product/480-FB7000_60B24R_(48L_470A_236x126x227).html
FB Super Nova 55D23L (60R 550A 230x169x225);6 600 руб.;5 900 руб.при обмене;≈мкость60ѕусковой ток550ѕол€рностьќбратна€“ипоразмер230x169x225√аранти€ производител€24 мес.;https://akb.ru//product/442-FB_Super_Nova_55D23L_(60R_550A_230x169x225).html
FB Super Nova 55D23R (60L 550A 230x169x225);6 600 руб.;5 900 руб.при обмене;≈мкость60ѕусковой ток550ѕол€рностьѕр€ма€“ипоразмер230x169x225√аранти€ производител€24 мес.;https://akb.ru//product/1070-FB_Super_Nova_55D23R_(60L_550A_230x169x225).html
FB Super Nova 75D23L (65R 620A 230x169x225);7 500 руб.;6 800 руб.при обмене;≈мкость65ѕусковой ток620ѕол€рностьќбратна€“ипоразмер230x169x225√аранти€ производител€24 мес.;https://akb.ru//product/128-FB_Super_Nova_75D23L_(65R_620A_230x169x225).html
