Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
Medalist 46B19R (44L 380A 185x127x225);3 600 руб.;3 100 руб.при обмене;≈мкость44ѕусковой ток380ѕол€рностьѕр€ма€“ипоразмер185x127x225√аранти€ производител€36 мес.;https://akb.ru//product/2626-Medalist_46B19R_(44L_380A_185x127x225).html
Medalist 46B19L (44R 380A 185x127x225);3 600 руб.;3 100 руб.при обмене;≈мкость44ѕусковой ток380ѕол€рностьќбратна€“ипоразмер185x127x225√аранти€ производител€36 мес.;https://akb.ru//product/56233-Medalist_46B19L_(44R_380A_185x127x225).html
Medalist 70B24L уз. кл.(60R 510A 238x129x227);5 100 руб.;4 400 руб.при обмене;≈мкость60ѕусковой ток510ѕол€рностьќбратна€“ипоразмер238x129x227√аранти€ производител€36 мес.;https://akb.ru//product/1594-Medalist_70B24L_uz_kl(60R_510A_238x129x227).html
Medalist 70B24R уз. кл.(60L 510A 238x129x227);5 100 руб.;4 400 руб.при обмене;≈мкость60ѕусковой ток510ѕол€рностьѕр€ма€“ипоразмер238x129x227√аранти€ производител€36 мес.;https://akb.ru//product/91594-Medalist_70B24R_uz_kl(60L_510A_238x129x227).html
Medalist 70B24LS (60R 510A 238x129x227);5 300 руб.;4 600 руб.при обмене;≈мкость60ѕусковой ток510ѕол€рностьќбратна€“ипоразмер238x129x227√аранти€ производител€36 мес.;https://akb.ru//product/1932-Medalist_70B24LS_(60R_510A_238x129x227).html
Medalist 56030 (60R 540A 244x175x190);5 950 руб.;5 250 руб.при обмене;≈мкость60ѕусковой ток540ѕол€рностьќбратна€“ипоразмер244x175x190√аранти€ производител€36 мес.;https://akb.ru//product/156-Medalist_56030_(60R_540A_244x175x190).html
Medalist 56031 (60L 540A 244x175x190);5 950 руб.;5 250 руб.при обмене;≈мкость60ѕусковой ток540ѕол€рностьѕр€ма€“ипоразмер244x175x190√аранти€ производител€36 мес.;https://akb.ru//product/157-Medalist_56031_(60L_540A_244x175x190).html
Medalist 56077 (60R 600A 242x175x175);5 950 руб.;5 250 руб.при обмене;≈мкость60ѕусковой ток600ѕол€рностьќбратна€“ипоразмер242x175x175√аранти€ производител€36 мес.;https://akb.ru//product/158-Medalist_56077_(60R_600A_242x175x175).html
Medalist 75D23L (65R 580A 227x173x225);6 150 руб.;5 450 руб.при обмене;≈мкость65ѕусковой ток580ѕол€рностьќбратна€“ипоразмер227x173x225√аранти€ производител€36 мес.;https://akb.ru//product/167-Medalist_75D23L_(65R_580A_227x173x225).html
Medalist 75D23R (65L 580A 227x173x225);6 150 руб.;5 450 руб.при обмене;≈мкость65ѕусковой ток580ѕол€рностьѕр€ма€“ипоразмер227x173x225√аранти€ производител€36 мес.;https://akb.ru//product/1572-Medalist_75D23R_(65L_580A_227x173x225).html
Medalist 85D23L (70R 650A 230x173x225);6 500 руб.;5 700 руб.при обмене;≈мкость70ѕусковой ток650ѕол€рностьќбратна€“ипоразмер230x173x225√аранти€ производител€36 мес.;https://akb.ru//product/1940-Medalist_85D23L_(70R_650A_230x173x225).html
Medalist 57412 (74R 700A 279x175x190);6 700 руб.;5 900 руб.при обмене;≈мкость74ѕусковой ток700ѕол€рностьќбратна€“ипоразмер279x175x190√аранти€ производител€36 мес.;https://akb.ru//product/161-Medalist_57412_(74R_700A_279x175x190).html
Medalist 80D26L (70R 680A 260x173x225);6 700 руб.;5 900 руб.при обмене;≈мкость70ѕусковой ток680ѕол€рностьќбратна€“ипоразмер260x173x225√аранти€ производител€36 мес.;https://akb.ru//product/169-Medalist_80D26L_(70R_680A_260x173x225).html
Medalist 80D26R (70L 680A 260x173x225);6 700 руб.;5 900 руб.при обмене;≈мкость70ѕусковой ток680ѕол€рностьѕр€ма€“ипоразмер260x173x225√аранти€ производител€36 мес.;https://akb.ru//product/170-Medalist_80D26R_(70L_680A_260x173x225).html
Medalist 57539 (75R 650A 279x175x175);6 900 руб.;6 100 руб.при обмене;≈мкость75ѕусковой ток650ѕол€рностьќбратна€“ипоразмер279x175x175√аранти€ производител€36 мес.;https://akb.ru//product/162-Medalist_57539_(75R_650A_279x175x175).html
Medalist 95D26L (85R 730A 260x173x225);6 900 руб.;6 000 руб.при обмене;≈мкость85ѕусковой ток730ѕол€рностьќбратна€“ипоразмер260x173x225√аранти€ производител€36 мес.;https://akb.ru//product/1626-Medalist_95D26L_(85R_730A_260x173x225).html
Medalist 105D31L (90R 780A 306x173x225);7 650 руб.;6 650 руб.при обмене;≈мкость90ѕусковой ток780ѕол€рностьќбратна€“ипоразмер306x173x225√аранти€ производител€36 мес.;https://akb.ru//product/147-Medalist_105D31L_(90R_780A_306x173x225).html
Medalist 105D31R (90L 780A 306x173x225);7 650 руб.;6 650 руб.при обмене;≈мкость90ѕусковой ток780ѕол€рностьѕр€ма€“ипоразмер306x173x225√аранти€ производител€36 мес.;https://akb.ru//product/148-Medalist_105D31R_(90L_780A_306x173x225).html
Medalist EFB 56219 (62 јч обр. пол. 650ј 242x175x190);7 850 руб.;7 150 руб.при обмене;≈мкость62ѕусковой ток650ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€36 мес.;https://akb.ru//product/2632-Medalist_EFB_56219_(62_Ach_obr_pol_650A_242x175x190).html
Medalist EFB 80D23L (70 јч обр. пол. 600ј 230x173x225);7 850 руб.;7 050 руб.при обмене;≈мкость70ѕусковой ток600ѕол€рностьќбратна€“ипоразмер230x173x225√аранти€ производител€36 мес.;https://akb.ru//product/2633-Medalist_EFB_80D23L_(70_Ach_obr_pol_600A_230x173x225).html
Medalist 60038 (100R 850A 354x175x190);7 950 руб.;6 950 руб.при обмене;≈мкость100ѕусковой ток850ѕол€рностьќбратна€“ипоразмер354x175x190√аранти€ производител€36 мес.;https://akb.ru//product/163-Medalist_60038_(100R_850A_354x175x190).html
Medalist 115D31L (100R 850A 306x173x225);8 850 руб.;7 850 руб.при обмене;≈мкость100ѕусковой ток850ѕол€рностьќбратна€“ипоразмер306x173x225√аранти€ производител€36 мес.;https://akb.ru//product/149-Medalist_115D31L_(100R_850A_306x173x225).html
Medalist 115D31R (100L 850A 306x173x225);8 850 руб.;7 850 руб.при обмене;≈мкость100ѕусковой ток850ѕол€рностьѕр€ма€“ипоразмер306x173x225√аранти€ производител€36 мес.;https://akb.ru//product/150-Medalist_115D31R_(100L_850A_306x173x225).html
Medalist EFB 57412 (74 јч обр. пол. 720ј 278x175x190);8 950 руб.;8 150 руб.при обмене;≈мкость74ѕусковой ток720ѕол€рностьќбратна€“ипоразмер278x175x190√аранти€ производител€36 мес.;https://akb.ru//product/2630-Medalist_EFB_57412_(74_Ach_obr_pol_720A_278x175x190).html
Medalist EFB 92730 (85 јч обр. пол. 820ј 315x175x190);10 500 руб.;9 600 руб.при обмене;≈мкость85ѕусковой ток820ѕол€рностьќбратна€“ипоразмер315x175x190√аранти€ производител€36 мес.;https://akb.ru//product/2631-Medalist_EFB_92730_(85_Ach_obr_pol_820A_315x175x190).html
Medalist 69033 (190 јч пр€м. пол. 1200ј 513x189x223);14 600 руб.;12 400 руб.при обмене;≈мкость190ѕусковой ток1200ѕол€рностьѕр€ма€“ипоразмер513x189x223√аранти€ производител€12 мес.;https://akb.ru//product/2627-Medalist_69033_(190_Ach_pryam_pol_1200A_513x189x223).html
Medalist 69032 (190 јч обр. пол. 1200ј 507x224x194);14 600 руб.;12 400 руб.при обмене;≈мкость190ѕусковой ток1200ѕол€рностьќбратна€“ипоразмер507x224x194√аранти€ производител€12 мес.;https://akb.ru//product/2628-Medalist_69032_(190_Ach_obr_pol_1200A_507x224x194).html
Medalist 72518 (225 јч обр. пол. 1300ј 518x276x242);17 250 руб.;14 750 руб.при обмене;≈мкость225ѕусковой ток1300ѕол€рностьќбратна€“ипоразмер518x276x242√аранти€ производител€12 мес.;https://akb.ru//product/2629-Medalist_72518_(225_Ach_obr_pol_1300A_518x276x242).html
