Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
Tab Polar S 45L (400ј 187x127x227) 246545 54522;4 900 руб.;4 400 руб.при обмене;≈мкость45ѕусковой ток400ѕол€рностьѕр€ма€“ипоразмер187x127x227√аранти€ производител€48 мес.;https://akb.ru//product/981-Tab_Polar_S_45L_(400A_187x127x227)_246545_54522.html
Tab Magic 54R (510A 207x175x175) 189054 55401;5 100 руб.;4 600 руб.при обмене;≈мкость54ѕусковой ток510ѕол€рностьќбратна€“ипоразмер207x175x175√аранти€ производител€48 мес.;https://akb.ru//product/979-Tab_Magic_54R_(510A_207x175x175)_189054_55401.html
Tab Polar S 45L (400ј 238x129x227) 246945 54524/51;5 150 руб.;4 650 руб.при обмене;≈мкость45ѕусковой ток400ѕол€рностьѕр€ма€“ипоразмер238x129x227√аранти€ производител€48 мес.;https://akb.ru//product/91269-Tab_Polar_S_45L_(400A_238x129x227)_246945_5452451.html
Tab Magic 55R (560A 207x175x190) 189058 55510;5 300 руб.;4 600 руб.при обмене;≈мкость55ѕусковой ток560ѕол€рностьќбратна€“ипоразмер207x175x190√аранти€ производител€48 мес.;https://akb.ru//product/1076-Tab_Magic_55R_(560A_207x175x190)_189058_55510.html
Tab Polar 60R кубик (560A 207x175x190) 121260 56001;5 600 руб.;4 900 руб.при обмене;≈мкость60ѕусковой ток560ѕол€рностьќбратна€“ипоразмер207x175x190√аранти€ производител€48 мес.;https://akb.ru//product/515-Tab_Polar_60R_kubik_(560A_207x175x190)_121260_56001.html
Tab Polar S60H 12V 60Ah обр.пол. (600A 242x175x190) 56008 SMF;5 700 руб.;5 000 руб.при обмене;≈мкость60ѕусковой ток600ѕол€рностьќбратна€“ипоразмер242x174x189√аранти€ производител€48 мес.;https://akb.ru//product/91268-Tab_Polar_S60H_12V_60Ah_obrpol_(600A_242x175x190)_56008_SMF.html
Tab Polar 60R (600A 242x175x190) 121060 56008;5 800 руб.;5 100 руб.при обмене;≈мкость60ѕусковой ток600ѕол€рностьќбратна€“ипоразмер242x174x189√аранти€ производител€48 мес.;https://akb.ru//product/518-Tab_Polar_60R_(600A_242x175x190)_121060_56008.html
Tab Polar 60L (600A 242x175x190) 121160 56013;5 800 руб.;5 100 руб.при обмене;≈мкость60ѕусковой ток600ѕол€рностьѕр€ма€“ипоразмер242x175x190√аранти€ производител€48 мес.;https://akb.ru//product/521-Tab_Polar_60L_(600A_242x175x190)_121160_56013.html
Tab Polar S 60R низкий (550A 242x175x175) 246060 56009;5 800 руб.;5 100 руб.при обмене;≈мкость60ѕусковой ток550ѕол€рностьќбратна€“ипоразмер242x175x175√аранти€ производител€48 мес.;https://akb.ru//product/601-Tab_Polar_S_60R_nizkiy_(550A_242x175x175)_246060_56009.html
Tab Polar S 60R (600ј 232x173x225) D23 обр. 246861 56068;5 950 руб.;5 250 руб.при обмене;≈мкость60ѕусковой ток600ѕол€рностьќбратна€“ипоразмер232x173x225√аранти€ производител€48 мес.;https://akb.ru//product/1036-Tab_Polar_S_60R_(600A_232x173x225)_D23_obr_246861_56068.html
Tab Magic 66R (640A 242x175x190) 189065 56649;6 100 руб.;5 300 руб.при обмене;≈мкость66ѕусковой ток640ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€48 мес.;https://akb.ru//product/1052-Tab_Magic_66R_(640A_242x175x190)_189065_56649.html
Tab Polar 66R (620A 242x175x190) 121066 56649;6 150 руб.;5 350 руб.при обмене;≈мкость66ѕусковой ток620ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€48 мес.;https://akb.ru//product/598-Tab_Polar_66R_(620A_242x175x190)_121066_56649.html
Tab Polar S 55R (540ј 238x129x227) 246855 55523/84;6 200 руб.;5 500 руб.при обмене;≈мкость55ѕусковой ток540ѕол€рностьќбратна€“ипоразмер238x129x227√аранти€ производител€48 мес.;https://akb.ru//product/1077-Tab_Polar_S_55R_(540A_238x129x227)_246855_5552384.html
