Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
Topla Top JIS 45L B19 (400ј 187x127x225) 118145 54522;4 900 руб.;4 400 руб.при обмене;≈мкость45ѕусковой ток400ѕол€рностьѕр€ма€“ипоразмер187x127x225√аранти€ производител€48 мес.;https://akb.ru//product/91361-Topla_Top_JIS_45L_B19_(400A_187x127x225)_118145_54522.html
Topla Top 54R (510A 207x175x175) 118654 55401;5 150 руб.;4 650 руб.при обмене;≈мкость54ѕусковой ток510ѕол€рностьќбратна€“ипоразмер207x175x175√аранти€ производител€48 мес.;https://akb.ru//product/36862-Topla_Top_54R_(510A_207x175x175)_118654_55401.html
Topla Top 55R (560A 207x175x190) 118655 55510;5 450 руб.;4 750 руб.при обмене;≈мкость55ѕусковой ток560ѕол€рностьќбратна€“ипоразмер207x175x190√аранти€ производител€48 мес.;https://akb.ru//product/2366-Topla_Top_55R_(560A_207x175x190)_118655_55510.html
Topla Energy 60L (600A 242x175x190) 108160 56265;5 750 руб.;5 050 руб.при обмене;≈мкость60ѕусковой ток600ѕол€рностьѕр€ма€“ипоразмер242x175x190√аранти€ производител€48 мес.;https://akb.ru//product/654-Topla_Energy_60L_(600A_242x175x190)_108160_56265.html
Topla Energy 60R (600A 242x175x190) 108060 56008;5 750 руб.;5 050 руб.при обмене;≈мкость60ѕусковой ток600ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€48 мес.;https://akb.ru//product/655-Topla_Energy_60R_(600A_242x175x190)_108060_56008.html
Topla Top JIS 60R 600ј 230x173x220 118861 56068;5 950 руб.;5 250 руб.при обмене;≈мкость60ѕусковой ток600ѕол€рностьќбратна€“ипоразмер230x173x220√аранти€ производител€48 мес.;https://akb.ru//product/1415-Topla_Top_JIS_60R_600A_230x173x220_118861_56068.html
Topla Top 62R (600A 242x175x175) 118662 56249;6 000 руб.;5 300 руб.при обмене;≈мкость62ѕусковой ток600ѕол€рностьќбратна€“ипоразмер242x175x175√аранти€ производител€48 мес.;https://akb.ru//product/1452-Topla_Top_62R_(600A_242x175x175)_118662_56249.html
Topla Energy 66R (620A 242x175x190) 108066 56649;6 150 руб.;5 350 руб.при обмене;≈мкость66ѕусковой ток620ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€48 мес.;https://akb.ru//product/1273-Topla_Energy_66R_(620A_242x175x190)_108066_56649.html
Topla Top 66R (640A 242x175x190) 118666 56649;6 150 руб.;5 350 руб.при обмене;≈мкость66ѕусковой ток640ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€48 мес.;https://akb.ru//product/1446-Topla_Top_66R_(640A_242x175x190)_118666_56649.html
Topla Top JIS 55R 540ј 236x126x227 (118255 55523/84 унив. клеммы);6 200 руб.;5 500 руб.при обмене;≈мкость55ѕусковой ток540ѕол€рностьќбратна€“ипоразмер236x126x227√аранти€ производител€48 мес.;https://akb.ru//product/660-Topla_Top_JIS_55R_540A_236x126x227_(118255_5552384_univ_klemmy).html
Topla Top JIS 55L 540ј 236x126x227 (118355 55524/51 унив. клеммы);6 200 руб.;5 500 руб.при обмене;≈мкость55ѕусковой ток540ѕол€рностьѕр€ма€“ипоразмер236x126x227√аранти€ производител€48 мес.;https://akb.ru//product/2432-Topla_Top_JIS_55L_540A_236x126x227_(118355_5552451_univ_klemmy).html
Topla Top JIS 65R 650ј 230x173x220 (118665 56568);6 350 руб.;5 650 руб.при обмене;≈мкость65ѕусковой ток650ѕол€рностьќбратна€“ипоразмер230x173x220√аранти€ производител€48 мес.;https://akb.ru//product/661-Topla_Top_JIS_65R_650A_230x173x220_(118665_56568).html
Topla Top JIS 65L 650ј 230x173x220 (118765 56569);6 350 руб.;5 650 руб.при обмене;≈мкость65ѕусковой ток650ѕол€рностьѕр€ма€“ипоразмер230x173x220√аранти€ производител€48 мес.;https://akb.ru//product/1755-Topla_Top_JIS_65L_650A_230x173x220_(118765_56569).html
Topla Top JIS 70R 700ј 261x175x220 (118870 57029);7 000 руб.;6 200 руб.при обмене;≈мкость70ѕусковой ток700ѕол€рностьќбратна€“ипоразмер261x175x220√аранти€ производител€48 мес.;https://akb.ru//product/662-Topla_Top_JIS_70R_700A_261x175x220_(118870_57029).html
Topla Top JIS 70L 700ј 261x175x220 (118970 57024);7 000 руб.;6 200 руб.при обмене;≈мкость70ѕусковой ток700ѕол€рностьѕр€ма€“ипоразмер261x175x220√аранти€ производител€48 мес.;https://akb.ru//product/1756-Topla_Top_JIS_70L_700A_261x175x220_(118970_57024).html
Topla Energy 75L (750A 278x175x190) 108375 57413;7 250 руб.;6 450 руб.при обмене;≈мкость75ѕусковой ток750ѕол€рностьѕр€ма€“ипоразмер278x175x190√аранти€ производител€48 мес.;https://akb.ru//product/657-Topla_Energy_75L_(750A_278x175x190)_108375_57413.html
Topla Energy 75R (750A 278x175x190) 108275 57412;7 450 руб.;6 650 руб.при обмене;≈мкость75ѕусковой ток750ѕол€рностьќбратна€“ипоразмер278x175x190√аранти€ производител€48 мес.;https://akb.ru//product/1175-Topla_Energy_75R_(750A_278x175x190)_108275_57412.html
Topla Top JIS 75R 740ј 261x175x220 (118875 57529);7 500 руб.;6 700 руб.при обмене;≈мкость75ѕусковой ток740ѕол€рностьќбратна€“ипоразмер261x175x220√аранти€ производител€48 мес.;https://akb.ru//product/907-Topla_Top_JIS_75R_740A_261x175x220_(118875_57529).html
Topla Top 75R низкий (720A 278x175x175) 118072 57510;7 500 руб.;6 700 руб.при обмене;≈мкость75ѕусковой ток720ѕол€рностьќбратна€“ипоразмер278x175x175√аранти€ производител€48 мес.;https://akb.ru//product/1451-Topla_Top_75R_nizkiy_(720A_278x175x175)_118072_57510.html
Topla EFB Stop-n-Go 60R (580A 242x175x190) 112060 56088;7 600 руб.;6 900 руб.при обмене;≈мкость60ѕусковой ток580ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€48 мес.;https://akb.ru//product/2436-Topla_EFB_Stop-n-Go_60R_(580A_242x175x190)_112060_56088.html
Topla Top 78R (750A 278x175x190) 118678 57549;7 650 руб.;6 850 руб.при обмене;≈мкость78ѕусковой ток750ѕол€рностьќбратна€“ипоразмер278x175x190√аранти€ производител€48 мес.;https://akb.ru//product/2326-Topla_Top_78R_(750A_278x175x190)_118678_57549.html
Topla EFB Stop-n-Go 60R (600A 232x173x227) 112260 56068;7 950 руб.;7 250 руб.при обмене;≈мкость60ѕусковой ток600ѕол€рностьќбратна€“ипоразмер232x173x227√аранти€ производител€48 мес.;https://akb.ru//product/2659-Topla_EFB_Stop-n-Go_60R_(600A_232x173x227)_112260_56068.html
Topla EFB Stop-n-Go 65R (650A 278x175x175) 112065 56588;8 200 руб.;7 500 руб.при обмене;≈мкость65ѕусковой ток650ѕол€рностьќбратна€“ипоразмер278x175x175√аранти€ производител€48 мес.;https://akb.ru//product/1329-Topla_EFB_Stop-n-Go_65R_(650A_278x175x175)_112065_56588.html
Topla Energy 100R (800A 315x175x190) 108000 59249;8 450 руб.;7 450 руб.при обмене;≈мкость100ѕусковой ток800ѕол€рностьќбратна€“ипоразмер315x175x190√аранти€ производител€48 мес.;https://akb.ru//product/1254-Topla_Energy_100R_(800A_315x175x190)_108000_59249.html
Topla Top 85R (800A 315x175x175) 118685 58514;8 550 руб.;7 650 руб.при обмене;≈мкость85ѕусковой ток800ѕол€рностьќбратна€“ипоразмер315x175x175√аранти€ производител€48 мес.;https://akb.ru//product/1858-Topla_Top_85R_(800A_315x175x175)_118685_58514.html
