Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
Tyumen Battery Asia 40 јч пр€м. пол. 370A (187x127x227);2 750 руб.;2 250 руб.при обмене;≈мкость40ѕусковой ток370ѕол€рностьѕр€ма€“ипоразмер187x127x227√аранти€ производител€24 мес.;https://akb.ru//product/827-Tyumen_Battery_Asia_40_Ach_pryam_pol_370A_(187x127x227).html
Tyumen Battery Asia 40 јч обр. пол. 360A (187x127x227);2 800 руб.;2 300 руб.при обмене;≈мкость40ѕусковой ток360ѕол€рностьќбратна€“ипоразмер187x127x227√аранти€ производител€24 мес.;https://akb.ru//product/2528-Tyumen_Battery_Asia_40_Ach_obr_pol_360A_(187x127x227).html
Tyumen Battery Premium 50 јч обр. пол. 440A (207x175x190);2 900 руб.;2 400 руб.при обмене;≈мкость50ѕусковой ток440ѕол€рностьќбратна€“ипоразмер207x175x190√аранти€ производител€24 мес.;https://akb.ru//product/837-Tyumen_Battery_Premium_50_Ach_obr_pol_440A_(207x175x190).html
Tyumen Battery Premium 50 јч пр€м. пол. 440A (207x175x190);2 900 руб.;2 400 руб.при обмене;≈мкость50ѕусковой ток440ѕол€рностьѕр€ма€“ипоразмер207x175x190√аранти€ производител€24 мес.;https://akb.ru//product/91528-Tyumen_Battery_Premium_50_Ach_pryam_pol_440A_(207x175x190).html
Tyumen Battery Standard 55 јч пр€м. пол. 525A (242x175x190);2 950 руб.;2 250 руб.при обмене;≈мкость55ѕусковой ток525ѕол€рностьѕр€ма€“ипоразмер242x175x190√аранти€ производител€24 мес.;https://akb.ru//product/826-Tyumen_Battery_Standard_55_Ach_pryam_pol_525A_(242x175x190).html
Tyumen Battery Standard 55 јч обр. пол. 500A (242x175x190);2 950 руб.;2 250 руб.при обмене;≈мкость55ѕусковой ток500ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€24 мес.;https://akb.ru//product/1179-Tyumen_Battery_Standard_55_Ach_obr_pol_500A_(242x175x190).html
Tyumen Battery Standard 60 јч обр. пол. 550A (242x175x190);3 100 руб.;2 400 руб.при обмене;≈мкость60ѕусковой ток550ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€24 мес.;https://akb.ru//product/320-Tyumen_Battery_Standard_60_Ach_obr_pol_550A_(242x175x190).html
Tyumen Battery Asia 50 јч обр. пол. 440A (238x129x227);3 100 руб.;2 600 руб.при обмене;≈мкость50ѕусковой ток440ѕол€рностьќбратна€“ипоразмер238x129x227√аранти€ производител€24 мес.;https://akb.ru//product/853-Tyumen_Battery_Asia_50_Ach_obr_pol_440A_(238x129x227).html
Tyumen Battery Asia 50 јч пр€м. пол. 410A (238x129x227);3 100 руб.;2 600 руб.при обмене;≈мкость50ѕусковой ток410ѕол€рностьѕр€ма€“ипоразмер238x129x227√аранти€ производител€24 мес.;https://akb.ru//product/1318-Tyumen_Battery_Asia_50_Ach_pryam_pol_410A_(238x129x227).html
Tyumen Battery Standard 60 јч пр€м. пол. 550A (242x175x190);3 200 руб.;2 500 руб.при обмене;≈мкость60ѕусковой ток550ѕол€рностьѕр€ма€“ипоразмер242x175x190√аранти€ производител€24 мес.;https://akb.ru//product/319-Tyumen_Battery_Standard_60_Ach_pryam_pol_550A_(242x175x190).html
Tyumen Battery Standard 62 јч обр. пол. 550A (242x175x190);3 400 руб.;2 700 руб.при обмене;≈мкость62ѕусковой ток550ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€24 мес.;https://akb.ru//product/867-Tyumen_Battery_Standard_62_Ach_obr_pol_550A_(242x175x190).html
Tyumen Battery Standard 62 јч пр€м. пол. 580A (242x175x190);3 400 руб.;2 700 руб.при обмене;≈мкость62ѕусковой ток580ѕол€рностьѕр€ма€“ипоразмер242x175x190√аранти€ производител€24 мес.;https://akb.ru//product/868-Tyumen_Battery_Standard_62_Ach_pryam_pol_580A_(242x175x190).html
Tyumen Battery Premium 60 јч обр.пол. низкий 540A (242x175x175);3 450 руб.;2 750 руб.при обмене;≈мкость60ѕусковой ток540ѕол€рностьќбратна€“ипоразмер242x175x175√аранти€ производител€24 мес.;https://akb.ru//product/828-Tyumen_Battery_Premium_60_Ach_obrpol_nizkiy_540A_(242x175x175).html
Tyumen Battery Premium 60 јч пр€м. пол. низкий 540A (242x175x175);3 500 руб.;2 800 руб.при обмене;≈мкость60ѕусковой ток540ѕол€рностьѕр€ма€“ипоразмер242x175x175√аранти€ производител€24 мес.;https://akb.ru//product/829-Tyumen_Battery_Premium_60_Ach_pryam_pol_nizkiy_540A_(242x175x175).html
Tyumen Battery Asia 60 јч обр. пол. 550A (232x173x225);3 650 руб.;2 950 руб.при обмене;≈мкость60ѕусковой ток550ѕол€рностьќбратна€“ипоразмер232x173x225√аранти€ производител€24 мес.;https://akb.ru//product/514-Tyumen_Battery_Asia_60_Ach_obr_pol_550A_(232x173x225).html
Tyumen Battery Premium 64 јч обр. пол. 620A (242x175x190);3 700 руб.;3 000 руб.при обмене;≈мкость64ѕусковой ток620ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€24 мес.;https://akb.ru//product/830-Tyumen_Battery_Premium_64_Ach_obr_pol_620A_(242x175x190).html
Tyumen Battery Premium 64 јч пр€м. пол. 620A (242x175x190);3 700 руб.;3 000 руб.при обмене;≈мкость64ѕусковой ток620ѕол€рностьѕр€ма€“ипоразмер242x175x190√аранти€ производител€24 мес.;https://akb.ru//product/869-Tyumen_Battery_Premium_64_Ach_pryam_pol_620A_(242x175x190).html
Tyumen Battery Standard 66 јч пр€м. пол. 580A (278x175x175);3 800 руб.;3 000 руб.при обмене;≈мкость66ѕусковой ток580ѕол€рностьѕр€ма€“ипоразмер278x175x175√аранти€ производител€24 мес.;https://akb.ru//product/1441-Tyumen_Battery_Standard_66_Ach_pryam_pol_580A_(278x175x175).html
Tyumen Battery Asia 75 јч пр€м. пол. 630A (266x173x225);3 900 руб.;3 100 руб.при обмене;≈мкость75ѕусковой ток630ѕол€рностьѕр€ма€“ипоразмер266x173x225√аранти€ производител€24 мес.;https://akb.ru//product/805-Tyumen_Battery_Asia_75_Ach_pryam_pol_630A_(266x173x225).html
