Название;Цена;При обмене;Характеристика;Ссылка
Uplus LT4-3 12V 3Ah 50А обр. пол. (113x70x85) Super Start AGM;1 100 руб.;1 080 руб.при обмене;Емкость3СтранаКитайJIS-кодYTX4LПусковой ток50ПолярностьОбратнаяТипоразмер113x70x85;https://akb.ru//product/2484-Uplus_LT4-3_12V_3Ah_50A_obr_pol_(113x70x85)_Super_Start_AGM.html
Uplus HPG4-3 12V 3Ah 60А обр. пол. (113x70x85) Nano GEL;1 150 руб.;1 130 руб.при обмене;Емкость3СтранаКитайJIS-кодYTX4LПусковой ток60ПолярностьОбратнаяТипоразмер113x70x85;https://akb.ru//product/2466-Uplus_HPG4-3_12V_3Ah_60A_obr_pol_(113x70x85)_Nano_GEL.html
Uplus LT5-3 12V 4Ah 70 А обр. пол. (113x70x105) Super Start AGM;1 250 руб.;1 230 руб.при обмене;Емкость4СтранаКитайJIS-кодYTX5LПусковой ток70ПолярностьОбратнаяТипоразмер113x70x105;https://akb.ru//product/2474-Uplus_LT5-3_12V_4Ah_70_A_obr_pol_(113x70x105)_Super_Start_AGM.html
Uplus HPG5-3 12V 4Ah 70А обр. пол. (113x70x105) Nano GEL;1 350 руб.;1 330 руб.при обмене;Емкость4СтранаКитайJIS-кодYTX5LПусковой ток70ПолярностьОбратнаяТипоразмер113x70x105;https://akb.ru//product/2489-Uplus_HPG5-3_12V_4Ah_70A_obr_pol_(113x70x105)_Nano_GEL.html
Uplus EBZ7-3-1 12V 6Ah 130А обр.пол. (113x70x105) Super Start High Performance AGM;1 550 руб.;1 530 руб.при обмене;Емкость6СтранаКитайJIS-кодYTZ7SПусковой ток130ПолярностьОбратнаяТипоразмер113x70x105;https://akb.ru//product/2465-Uplus_EBZ7-3-1_12V_6Ah_130A_obrpol_(113x70x105)_Super_Start_High_Performance_AGM.html
Uplus LT7A-4 12V 6Ah 90А прям. пол. (150x87x93) Super Start AGM;1 650 руб.;1 630 руб.при обмене;Емкость6СтранаКитайJIS-кодYTX7AПусковой ток90ПолярностьПрямаяТипоразмер150x87x93;https://akb.ru//product/2475-Uplus_LT7A-4_12V_6Ah_90A_pryam_pol_(150x87x93)_Super_Start_AGM.html
Uplus LT7-3 12V 6Ah  85А обр. пол. (113x70x130) Super Start AGM;1 800 руб.;1 780 руб.при обмене;Емкость6СтранаКитайJIS-кодYTX7LПусковой ток85ПолярностьОбратнаяТипоразмер113x70x130;https://akb.ru//product/2476-Uplus_LT7-3_12V_6Ah__85A_obr_pol_(113x70x130)_Super_Start_AGM.html
Uplus LT9A-4 12V 9Ah 120А прям. пол. (135x75x139) Super Start AGM;2 050 руб.;2 000 руб.при обмене;Емкость9СтранаКитайJIS-кодYB7-AПусковой ток120ПолярностьПрямаяТипоразмер135x75x139;https://akb.ru//product/2477-Uplus_LT9A-4_12V_9Ah_120A_pryam_pol_(135x75x139)_Super_Start_AGM.html
Uplus LT9-4 12V 8Ah 120А прям. пол. (150x87x105) Super Start AGM;2 050 руб.;2 000 руб.при обмене;Емкость8СтранаКитайJIS-кодYTX9Пусковой ток120ПолярностьПрямаяТипоразмер150x87x105;https://akb.ru//product/2478-Uplus_LT9-4_12V_8Ah_120A_pryam_pol_(150x87x105)_Super_Start_AGM.html
Uplus HPG7-3 12V 6Ah 85А обр. пол. (114x71x131) Nano GEL;2 090 руб.;2 070 руб.при обмене;Емкость6СтранаКитайJIS-кодYTX7LПусковой ток85ПолярностьОбратнаяТипоразмер114x71x131;https://akb.ru//product/91315-Uplus_HPG7-3_12V_6Ah_85A_obr_pol_(114x71x131)_Nano_GEL.html
