Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
Varta Blue Dynamic A14 40R 330A 187x127x227;3 250 руб.;2 750 руб.при обмене;≈мкость40ѕусковой ток330ѕол€рностьќбратна€“ипоразмер187x127x227√аранти€ производител€24 мес.;https://akb.ru//product/999-Varta_Blue_Dynamic_A14_40R_330A_187x127x227.html
Varta Blue Dynamic A15 40L 330A 187x127x227(540127033);3 400 руб.;2 900 руб.при обмене;≈мкость40ѕусковой ток330ѕол€рностьѕр€ма€“ипоразмер187x127x227√аранти€ производител€24 мес.;https://akb.ru//product/1000-Varta_Blue_Dynamic_A15_40L_330A_187x127x227(540127033).html
Varta Black Dynamic C15 56L 480A 242x175x190;4 100 руб.;3 400 руб.при обмене;≈мкость56ѕусковой ток480ѕол€рностьѕр€ма€“ипоразмер242x175x190√аранти€ производител€24 мес.;https://akb.ru//product/1159-Varta_Black_Dynamic_C15_56L_480A_242x175x190.html
Varta Blue Dynamic D43 60L 540A 242x175x190 (560127054);4 400 руб.;3 700 руб.при обмене;≈мкость60ѕусковой ток540ѕол€рностьѕр€ма€“ипоразмер242x175x190√аранти€ производител€24 мес.;https://akb.ru//product/279-Varta_Blue_Dynamic_D43_60L_540A_242x175x190_(560127054).html
Varta Blue Dynamic D47 60R 540A 232x173x225 (560410054);4 900 руб.;4 200 руб.при обмене;≈мкость60ѕусковой ток540ѕол€рностьќбратна€“ипоразмер232x173x225√аранти€ производител€24 мес.;https://akb.ru//product/280-Varta_Blue_Dynamic_D47_60R_540A_232x173x225_(560410054).html
Varta Silver Dynamic C6 52R 520A 207x175x175;4 950 руб.;4 450 руб.при обмене;≈мкость52ѕусковой ток520ѕол€рностьќбратна€“ипоразмер207x175x175√аранти€ производител€24 мес.;https://akb.ru//product/294-Varta_Silver_Dynamic_C6_52R_520A_207x175x175.html
Varta Blue Dynamic C22 52R 470A 207x175x190;5 100 руб.;4 600 руб.при обмене;≈мкость52ѕусковой ток470ѕол€рностьќбратна€“ипоразмер207x175x190√аранти€ производител€24 мес.;https://akb.ru//product/277-Varta_Blue_Dynamic_C22_52R_470A_207x175x190.html
Varta Blue Dynamic E24 70L 630A 261x175x220;5 700 руб.;4 900 руб.при обмене;≈мкость70ѕусковой ток630ѕол€рностьѕр€ма€“ипоразмер261x175x220√аранти€ производител€24 мес.;https://akb.ru//product/285-Varta_Blue_Dynamic_E24_70L_630A_261x175x220.html
Varta Blue Dynamic E11 74R 680A 278x175x190;5 800 руб.;5 000 руб.при обмене;≈мкость74ѕусковой ток680ѕол€рностьќбратна€“ипоразмер278x175x190√аранти€ производител€24 мес.;https://akb.ru//product/282-Varta_Blue_Dynamic_E11_74R_680A_278x175x190.html
Varta Blue Dynamic E43 72R 680A 278x175x175;6 100 руб.;5 300 руб.при обмене;≈мкость72ѕусковой ток680ѕол€рностьќбратна€“ипоразмер278x175x175√аранти€ производител€24 мес.;https://akb.ru//product/286-Varta_Blue_Dynamic_E43_72R_680A_278x175x175.html
Varta Black Dynamic E13 70R 640A 278x175x190;6 300 руб.;5 500 руб.при обмене;≈мкость70ѕусковой ток640ѕол€рностьќбратна€“ипоразмер278x175x190√аранти€ производител€24 мес.;https://akb.ru//product/275-Varta_Black_Dynamic_E13_70R_640A_278x175x190.html
Varta Black Dynamic E9 70R 640A 278x175x175;6 400 руб.;5 600 руб.при обмене;≈мкость70ѕусковой ток640ѕол€рностьќбратна€“ипоразмер278x175x175√аранти€ производител€24 мес.;https://akb.ru//product/276-Varta_Black_Dynamic_E9_70R_640A_278x175x175.html
Varta Blue Dynamic E12 74L 680A 278x175x190;6 400 руб.;5 600 руб.при обмене;≈мкость74ѕусковой ток680ѕол€рностьѕр€ма€“ипоразмер278x175x190√аранти€ производител€24 мес.;https://akb.ru//product/283-Varta_Blue_Dynamic_E12_74L_680A_278x175x190.html
Varta Silver Dynamic D15 63R 610A 242x175x190 (563400061);6 600 руб.;5 900 руб.при обмене;≈мкость63ѕусковой ток610ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€24 мес.;https://akb.ru//product/295-Varta_Silver_Dynamic_D15_63R_610A_242x175x190_(563400061).html
Varta Black Dynamic F6 90R 720A 353x175x190;7 300 руб.;6 300 руб.при обмене;≈мкость90ѕусковой ток720ѕол€рностьќбратна€“ипоразмер353x175x190√аранти€ производител€24 мес.;https://akb.ru//product/1160-Varta_Black_Dynamic_F6_90R_720A_353x175x190.html
Varta Blue Dynamic F17 80R 740A 315x175x175;7 700 руб.;6 800 руб.при обмене;≈мкость80ѕусковой ток740ѕол€рностьќбратна€“ипоразмер315x175x175√аранти€ производител€24 мес.;https://akb.ru//product/287-Varta_Blue_Dynamic_F17_80R_740A_315x175x175.html
Varta Blue Dynamic G8 95L 830A 306x173x225;7 900 руб.;6 900 руб.при обмене;≈мкость95ѕусковой ток830ѕол€рностьѕр€ма€“ипоразмер306x173x225√аранти€ производител€24 мес.;https://akb.ru//product/290-Varta_Blue_Dynamic_G8_95L_830A_306x173x225.html
Varta Blue Dynamic G3 95R 800A 353x175x190;8 600 руб.;7 600 руб.при обмене;≈мкость95ѕусковой ток800ѕол€рностьќбратна€“ипоразмер353x175x190√аранти€ производител€24 мес.;https://akb.ru//product/288-Varta_Blue_Dynamic_G3_95R_800A_353x175x190.html
Varta Silver Dynamic H3 100R 830A 353x175x190;9 900 руб.;8 900 руб.при обмене;≈мкость100ѕусковой ток830ѕол€рностьќбратна€“ипоразмер353x175x190√аранти€ производител€24 мес.;https://akb.ru//product/301-Varta_Silver_Dynamic_H3_100R_830A_353x175x190.html
Varta Silver Dynamic AGM D52 60R (Start-Stop) 680A 242x175x190;10 900 руб.;10 200 руб.при обмене;≈мкость60ѕусковой ток680ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€24 мес.;https://akb.ru//product/548-Varta_Silver_Dynamic_AGM_D52_60R_(Start-Stop)_680A_242x175x190.html
Varta Promotive Black M10 190 рус 1200A 524x239x240;12 600 руб.;10 400 руб.при обмене;≈мкость190ѕусковой ток1200ѕол€рностьѕр€ма€“ипоразмер524x239x240√аранти€ производител€12 мес.;https://akb.ru//product/1004-Varta_Promotive_Black_M10_190_rus_1200A_524x239x240.html
Varta Silver Dynamic AGM F21 80R (Start-Stop) 800A 315x175x190;14 400 руб.;13 500 руб.при обмене;≈мкость80ѕусковой ток800ѕол€рностьќбратна€“ипоразмер315x175x190√аранти€ производител€24 мес.;https://akb.ru//product/273-Varta_Silver_Dynamic_AGM_F21_80R_(Start-Stop)_800A_315x175x190.html
Varta Silver Dynamic AGM H15 105R (Start-Stop) 950A 393x175x190;16 500 руб.;15 400 руб.при обмене;≈мкость105ѕусковой ток950ѕол€рностьќбратна€“ипоразмер393x175x190√аранти€ производител€24 мес.;https://akb.ru//product/274-Varta_Silver_Dynamic_AGM_H15_105R_(Start-Stop)_950A_393x175x190.html
