Название;Цена;При обмене;Характеристика;Ссылка
VARTA Powersports Freshpack YB3L-B 3 Ач 30А (100x58x112) обр. пол. 503 013 001, сухозар.;1 600 руб.;1 580 руб.при обмене;Емкость3СтранаКитайJIS-кодYB3L-BПусковой ток30ПолярностьОбратнаяТипоразмер100x58x112;https://akb.ru//product/2529-VARTA_Powersports_Freshpack_YB3L-B_3_Ach_30A_(100x58x112)_obr_pol_503_013_001_suhozar.html
VARTA Powersports Freshpack YB4L-B 12V 4Ah 50А (121x71x93) обр. пол. 504 011 002, сухозар.;1 700 руб.;1 680 руб.при обмене;Емкость4СтранаКитайJIS-кодYB4L-BПусковой ток50ПолярностьОбратнаяТипоразмер121x71x93;https://akb.ru//product/91612-VARTA_Powersports_Freshpack_YB4L-B_12V_4Ah_50A_(121x71x93)_obr_pol_504_011_002_suhozar.html
VARTA Powersports AGM YTX5L-4/YTX5L-BS 12V 4Ah 80А (113x70x105) обр. пол. 504 012 003, сухозар.;2 180 руб.;2 160 руб.при обмене;Емкость4СтранаВьетнамJIS-кодYTX5L-BSПусковой ток80ПолярностьОбратнаяТипоразмер113x70x105;https://akb.ru//product/91601-VARTA_Powersports_AGM_YTX5L-4YTX5L-BS_12V_4Ah_80A_(113x70x105)_obr_pol_504_012_003_suhozar.html
VARTA Powersports Freshpack YB5L-B 12V 5Ah 60А (121x61x131) обр. пол. 505 012 003, сухозар.;2 265 руб.;2 245 руб.при обмене;Емкость4СтранаКитайJIS-кодYB5L-BПусковой ток50ПолярностьОбратнаяТипоразмер121x71x93;https://akb.ru//product/91610-VARTA_Powersports_Freshpack_YB5L-B_12V_5Ah_60A_(121x61x131)_obr_pol_505_012_003_suhozar.html
VARTA Powersports Freshpack 12N9-4B-1 12V 9Ah 85А (136x76x134) прям. пол. 509 014 008, сухозар.;2 333 руб.;2 283 руб.при обмене;Емкость7СтранаКитайJIS-код12N9-4B-1Пусковой ток74ПолярностьПрямаяТипоразмер136x76x134;https://akb.ru//product/91609-VARTA_Powersports_Freshpack_12N9-4B-1_12V_9Ah_85A_(136x76x134)_pryam_pol_509_014_008_suhozar.html
VARTA Powersports AGM YTX7L-BS 12V 6Ah 100А (114x71x131) обр. пол. 506 014 005, сухозар.;2 400 руб.;2 380 руб.при обмене;Емкость4СтранаВьетнамJIS-кодYTX7L-BSПусковой ток80ПолярностьОбратнаяТипоразмер114x71x131;https://akb.ru//product/91602-VARTA_Powersports_AGM_YTX7L-BS_12V_6Ah_100A_(114x71x131)_obr_pol_506_014_005_suhozar.html
VARTA Powersports Freshpack 12N9-3B 12V 9Ah 85А (136x76x140) обр. пол. 509 015 008, сухозар.;2 400 руб.;2 350 руб.при обмене;Емкость9СтранаКитайJIS-код12N9-3BПусковой ток85ПолярностьОбратнаяТипоразмер136x76x140;https://akb.ru//product/91613-VARTA_Powersports_Freshpack_12N9-3B_12V_9Ah_85A_(136x76x140)_obr_pol_509_015_008_suhozar.html
VARTA Powersports Freshpack 12N7-3B/YB7L-B 7 Ач 74А (136x76x134) обр. пол. 507 012 004, сухозар.;2 600 руб.;2 550 руб.при обмене;Емкость7СтранаКитайJIS-код12N7-3BПусковой ток74ПолярностьОбратнаяТипоразмер136x76x134;https://akb.ru//product/2041-VARTA_Powersports_Freshpack_12N7-3BYB7L-B_7_Ach_74A_(136x76x134)_obr_pol_507_012_004_suhozar.html
VARTA Powersports AGM YTX9-4/YTX9-BS 12V 8Ah 135А (152x88x106) прямая пол. 508 012 008, сухозар.;2 600 руб.;2 550 руб.при обмене;Емкость8СтранаВьетнамJIS-кодYTX9-BSПусковой ток200ПолярностьПрямаяТипоразмер152x88x106;https://akb.ru//product/91604-VARTA_Powersports_AGM_YTX9-4YTX9-BS_12V_8Ah_135A_(152x88x106)_pryamaya_pol_508_012_008_suhozar.html
VARTA Powersports AGM YTX7A-4/YTX7A-BS-1 12V 6Ah 105А (151x88x94) прямая пол. 506 015 005, сухозар.;2 600 руб.;2 580 руб.при обмене;Емкость6СтранаВьетнамJIS-кодYTX16-BS-1Пусковой ток105ПолярностьПрямаяТипоразмер151x88x94;https://akb.ru//product/91633-VARTA_Powersports_AGM_YTX7A-4YTX7A-BS-1_12V_6Ah_105A_(151x88x94)_pryamaya_pol_506_015_005_suhozar.html
VARTA Funstart Freshpack YB7C-A 12V 7Ah 80А (130x90x114) обр. пол. 507 101 008, сухозар.;2 800 руб.;2 750 руб.при обмене;Емкость7СтранаКитайJIS-кодYB7C-AПусковой ток80ПолярностьОбратнаяТипоразмер130x90x114;https://akb.ru//product/2045-VARTA_Funstart_Freshpack_YB7C-A_12V_7Ah_80A_(130x90x114)_obr_pol_507_101_008_suhozar.html
VARTA Powersports AGM TTZ7S-4/TTZ7S-BS 12V 5Ah 120А (113x70x105) обр. пол. 507 902 011, сухозар.;2 900 руб.;2 880 руб.при обмене;Емкость5СтранаВьетнамJIS-кодYTZ7S-4Пусковой ток120ПолярностьОбратнаяТипоразмер113x70x105;https://akb.ru//product/1284-VARTA_Powersports_AGM_TTZ7S-4TTZ7S-BS_12V_5Ah_120A_(113x70x105)_obr_pol_507_902_011_suhozar.html
VARTA Powersports AGM YT7B-4/YT7B-BS 12V 7Ah 120А (150x66x94) прямая пол. 507 901 012,  сухозар.;2 950 руб.;2 900 руб.при обмене;Емкость7СтранаВьетнамJIS-кодYT7B-BSПусковой ток120ПолярностьПрямаяТипоразмер150x66x94;https://akb.ru//product/1281-VARTA_Powersports_AGM_YT7B-4YT7B-BS_12V_7Ah_120A_(150x66x94)_pryamaya_pol_507_901_012__suhozar.html
VARTA Powersports Freshpack 12N12A-4A-1 12V 12Ah 160А (136x82x161) п/п 512 011 012, сух.;3 100 руб.;3 050 руб.при обмене;Емкость12СтранаКитайJIS-кодYB12A-AПусковой ток160ПолярностьОбратнаяТипоразмер136x82x161;https://akb.ru//product/91616-VARTA_Powersports_Freshpack_12N12A-4A-1_12V_12Ah_160A_(136x82x161)_pp_512_011_012_suh.html
VARTA Powersports Freshpack 12N14-3A 12V 14Ah 190А (135x90x167) о/п 514 011 014, сух.;3 100 руб.;3 050 руб.при обмене;Емкость12СтранаКитайJIS-кодYB14L-A2Пусковой ток160ПолярностьПрямаяТипоразмер136x91x146;https://akb.ru//product/91617-VARTA_Powersports_Freshpack_12N14-3A_12V_14Ah_190A_(135x90x167)_op_514_011_014_suh.html
VARTA Powersports AGM YTX12-4/YTX12-BS  12V 10Ah 150А (152x88x131) прямая пол. 510 012 009, сухозар.;3 181 руб.;3 131 руб.при обмене;Емкость10СтранаВьетнамJIS-кодYTX12-4Пусковой ток150ПолярностьПрямаяТипоразмер152x88x131;https://akb.ru//product/1287-VARTA_Powersports_AGM_YTX12-4YTX12-BS__12V_10Ah_150A_(152x88x131)_pryamaya_pol_510_012_009_suhozar.html
Varta Powersports AGM YT9B-4/YT9B-BS 12V 8Ah 115А (149x70x105) прямая пол. 509 902 008, сухозар.;3 200 руб.;3 150 руб.при обмене;Емкость8СтранаВьетнамJIS-кодYT9B-BSПусковой ток115ПолярностьПрямаяТипоразмер149x70x105;https://akb.ru//product/2098-Varta_Powersports_AGM_YT9B-4YT9B-BS_12V_8Ah_115A_(149x70x105)_pryamaya_pol_509_902_008_suhozar.html
VARTA Powersports Freshpack YB12AL-A 12V 12Ah 160А (136x82x161) о/п 512 013 012, сух.;3 260 руб.;3 210 руб.при обмене;Емкость12СтранаКитайJIS-кодYB10L-A2Пусковой ток160ПолярностьОбратнаяТипоразмер136x82x161;https://akb.ru//product/91615-VARTA_Powersports_Freshpack_YB12AL-A_12V_12Ah_160A_(136x82x161)_op_512_013_012_suh.html
VARTA Powersports Freshpack YB14-A2 12V 14Ah 190А (136x91x168) прям. пол. 514 012 014, сухозар.;3 400 руб.;3 350 руб.при обмене;Емкость14СтранаКитайJIS-кодYB14-A2Пусковой ток190ПолярностьПрямаяТипоразмер136x91x168;https://akb.ru//product/91614-VARTA_Powersports_Freshpack_YB14-A2_12V_14Ah_190A_(136x91x168)_pryam_pol_514_012_014_suhozar.html
VARTA Powersports Freshpack YB14L-B2 12V 14Ah 190А (136x91x168) обр. пол. 514 013 014, сухозар.;3 450 руб.;3 400 руб.при обмене;Емкость12СтранаКитайJIS-кодYB14L-B2Пусковой ток160ПолярностьПрямаяТипоразмер136x91x146;https://akb.ru//product/91619-VARTA_Powersports_Freshpack_YB14L-B2_12V_14Ah_190A_(136x91x168)_obr_pol_514_013_014_suhozar.html
