Название;Цена;При обмене;Характеристика;Ссылка
Yuasa YTX4L-BS - 3 Ач 50А (114x71x86,5) обр. пол. AGM сухозаряж.;2 500 руб.;2 480 руб.при обмене;Емкость3СтранаИндонезияJIS-кодYTX4L-BSПусковой ток50ПолярностьОбратнаяТипоразмер114x71x86;https://akb.ru//product/56226-Yuasa_YTX4L-BS_-_3_Ach_50A_(114x71x865)_obr_pol_AGM_suhozaryazh.html
Yuasa YTX7L-BS - 6 Ач 105А (114x71x131) обр. пол. AGM сухозаряж.;3 700 руб.;3 680 руб.при обмене;Емкость6СтранаИндонезияJIS-кодYTX7L-BSПусковой ток105ПолярностьОбратнаяТипоразмер114x71x131;https://akb.ru//product/71735-Yuasa_YTX7L-BS_-_6_Ach_105A_(114x71x131)_obr_pol_AGM_suhozaryazh.html
Yuasa YTX5L-BS - 4 Ач 80А (114x71x106) обр. пол. AGM сухозаряж.;3 870 руб.;3 850 руб.при обмене;Емкость4СтранаИндонезияJIS-кодYTX5L-BSПусковой ток80ПолярностьОбратнаяТипоразмер114x71x106;https://akb.ru//product/56227-Yuasa_YTX5L-BS_-_4_Ach_80A_(114x71x106)_obr_pol_AGM_suhozaryazh.html
Yuasa YTX7A-BS - 6 Ач 105А (151x88x94) прям. пол. AGM сухозаряж.;3 950 руб.;3 930 руб.при обмене;Емкость6СтранаИндонезияJIS-кодYTX7A-BSПусковой ток105ПолярностьПрямаяТипоразмер151x88x94;https://akb.ru//product/72235-Yuasa_YTX7A-BS_-_6_Ach_105A_(151x88x94)_pryam_pol_AGM_suhozaryazh.html
Yuasa YTX9-BS - 8 Ач 135А (151x88x106) прям. пол. AGM сухозаряж.;3 960 руб.;3 910 руб.при обмене;Емкость8СтранаСШАJIS-кодYTX9-BSПусковой ток135ПолярностьПрямаяТипоразмер151x88x106;https://akb.ru//product/72735-Yuasa_YTX9-BS_-_8_Ach_135A_(151x88x106)_pryam_pol_AGM_suhozaryazh.html
Yuasa YB14A-A1 - 14 Ач 175A (134x87x176) прям. пол. Heavy Duty сухозаряж. (без электр.);4 050 руб.;4 000 руб.при обмене;Емкость14СтранаСШАJIS-кодYB14A-A1Пусковой ток175ПолярностьПрямаяТипоразмер134x87x176;https://akb.ru//product/77034-Yuasa_YB14A-A1_-_14_Ach_175A_(134x87x176)_pryam_pol_Heavy_Duty_suhozaryazh_(bez_elektr).html
Yuasa YB12B-B2 12V 12Ah 140A (160x90x130) прям. пол. Heavy Duty сухозаряж.;4 220 руб.;4 170 руб.при обмене;Емкость12СтранаТайваньJIS-кодYB12B-B2Пусковой ток150ПолярностьПрямаяТипоразмер160x90x130;https://akb.ru//product/91325-Yuasa_YB12B-B2_12V_12Ah_140A_(160x90x130)_pryam_pol_Heavy_Duty_suhozaryazh.html
Yuasa YTX12-BS - 10 Ач 180А (151x88x131) прям. пол. AGM сухозаряж.;4 750 руб.;4 700 руб.при обмене;Емкость10СтранаТайваньJIS-кодYTX12-BSПусковой ток180ПолярностьПрямаяТипоразмер151x88x131;https://akb.ru//product/70735-Yuasa_YTX12-BS_-_10_Ach_180A_(151x88x131)_pryam_pol_AGM_suhozaryazh.html
Yuasa YB12A-A 12V 12Ah 150A (134x80x160) прям. пол. Heavy Duty сухозаряж.;4 800 руб.;4 750 руб.при обмене;Емкость12СтранаТайваньJIS-кодYB12A-AПусковой ток150ПолярностьПрямаяТипоразмер134x80x160;https://akb.ru//product/91324-Yuasa_YB12A-A_12V_12Ah_150A_(134x80x160)_pryam_pol_Heavy_Duty_suhozaryazh.html
Yuasa YB14L-A2 - 14 Ач 175A (134x89x166) обр. пол. Heavy Duty сухозаряж.;5 360 руб.;5 310 руб.при обмене;Емкость14СтранаТайваньJIS-кодYB14L-A2Пусковой ток175ПолярностьОбратнаяТипоразмер134x89x166;https://akb.ru//product/77534-Yuasa_YB14L-A2_-_14_Ach_175A_(134x89x166)_obr_pol_Heavy_Duty_suhozaryazh.html
