Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
јком 55L 460A (242x175x190);3 900 руб.;3 200 руб.при обмене;≈мкость55ѕусковой ток460ѕол€рностьѕр€ма€“ипоразмер242x175x190√аранти€ производител€36 мес.;https://akb.ru//product/1218-Akom_55L_460A_(242x175x190).html
јком 60R 520A (242x175x190);4 300 руб.;3 600 руб.при обмене;≈мкость60ѕусковой ток520ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€36 мес.;https://akb.ru//product/730-Akom_60R_520A_(242x175x190).html
јком 60L 520A (242x175x190);4 300 руб.;3 600 руб.при обмене;≈мкость60ѕусковой ток520ѕол€рностьѕр€ма€“ипоразмер242x175x190√аранти€ производител€36 мес.;https://akb.ru//product/1325-Akom_60L_520A_(242x175x190).html
јком 62R 540A (242x175x190);4 400 руб.;3 700 руб.при обмене;≈мкость62ѕусковой ток540ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€36 мес.;https://akb.ru//product/2081-Akom_62R_540A_(242x175x190).html
јком 62L 540A (242x175x190);4 400 руб.;3 700 руб.при обмене;≈мкость62ѕусковой ток540ѕол€рностьѕр€ма€“ипоразмер242x175x190√аранти€ производител€36 мес.;https://akb.ru//product/2141-Akom_62L_540A_(242x175x190).html
јком+EFB 60R 580A (242x175x190) Start- Stop;4 550 руб.;3 850 руб.при обмене;≈мкость60ѕусковой ток580ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€48 мес.;https://akb.ru//product/1088-AkomEFB_60R_580A_(242x175x190)_Start-_Stop.html
јком 65L 580A (242x175x190);4 550 руб.;3 850 руб.при обмене;≈мкость65ѕусковой ток580ѕол€рностьѕр€ма€“ипоразмер242x175x190√аранти€ производител€36 мес.;https://akb.ru//product/2065-Akom_65L_580A_(242x175x190).html
јком+EFB 60L 580A (242x175x190) Start- Stop;4 550 руб.;3 850 руб.при обмене;≈мкость60ѕусковой ток580ѕол€рностьѕр€ма€“ипоразмер242x175x190√аранти€ производител€48 мес.;https://akb.ru//product/2142-AkomEFB_60L_580A_(242x175x190)_Start-_Stop.html
јком 65R 580A (242x175x190);4 550 руб.;3 850 руб.при обмене;≈мкость65ѕусковой ток580ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€36 мес.;https://akb.ru//product/2144-Akom_65R_580A_(242x175x190).html
јком 60R низкий 590A (242x175x175);4 800 руб.;4 100 руб.при обмене;≈мкость60ѕусковой ток590ѕол€рностьќбратна€“ипоразмер242x175x175√аранти€ производител€36 мес.;https://akb.ru//product/725-Akom_60R_nizkiy_590A_(242x175x175).html
јком+EFB 62R 580A (242x175x190) Start- Stop;4 850 руб.;4 150 руб.при обмене;≈мкость62ѕусковой ток580ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€48 мес.;https://akb.ru//product/2106-AkomEFB_62R_580A_(242x175x190)_Start-_Stop.html
јком+EFB 62L 580A (242x175x190) Start- Stop;4 850 руб.;4 150 руб.при обмене;≈мкость62ѕусковой ток580ѕол€рностьѕр€ма€“ипоразмер242x175x190√аранти€ производител€48 мес.;https://akb.ru//product/2136-AkomEFB_62L_580A_(242x175x190)_Start-_Stop.html
јком Asia 65R 570A (232x173x225) 65D23L;4 900 руб.;4 200 руб.при обмене;≈мкость65ѕусковой ток570ѕол€рностьќбратна€“ипоразмер232x173x225√аранти€ производител€36 мес.;https://akb.ru//product/2143-Akom_Asia_65R_570A_(232x173x225)_65D23L.html
јком+EFB 65R 670A (242x175x190) Start- Stop;5 100 руб.;4 400 руб.при обмене;≈мкость65ѕусковой ток670ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€48 мес.;https://akb.ru//product/1089-AkomEFB_65R_670A_(242x175x190)_Start-_Stop.html
јком Asia 75R 630A (260x173x225) 85D26L;5 300 руб.;4 500 руб.при обмене;≈мкость75ѕусковой ток630ѕол€рностьќбратна€“ипоразмер260x173x225√аранти€ производител€36 мес.;https://akb.ru//product/2146-Akom_Asia_75R_630A_(260x173x225)_85D26L.html
јком 75R 700A (277x175x190);5 500 руб.;4 700 руб.при обмене;≈мкость75ѕусковой ток700ѕол€рностьќбратна€“ипоразмер277x175x190√аранти€ производител€36 мес.;https://akb.ru//product/733-Akom_75R_700A_(277x175x190).html
јком 75L 700A (277x175x190);5 500 руб.;4 700 руб.при обмене;≈мкость75ѕусковой ток700ѕол€рностьѕр€ма€“ипоразмер277x175x190√аранти€ производител€36 мес.;https://akb.ru//product/1219-Akom_75L_700A_(277x175x190).html
јком Asia+EFB 65R 670A (232x173x225);5 600 руб.;4 900 руб.при обмене;≈мкость65ѕусковой ток670ѕол€рностьќбратна€“ипоразмер232x173x225√аранти€ производител€48 мес.;https://akb.ru//product/91156-Akom_AsiaEFB_65R_670A_(232x173x225).html
јком 74R низкий 700A (278x175x175);5 700 руб.;4 900 руб.при обмене;≈мкость74ѕусковой ток700ѕол€рностьќбратна€“ипоразмер278x175x175√аранти€ производител€36 мес.;https://akb.ru//product/732-Akom_74R_nizkiy_700A_(278x175x175).html
јком+EFB 75R 720A (277x175x190) Start- Stop;5 899 руб.;5 099 руб.при обмене;≈мкость75ѕусковой ток720ѕол€рностьќбратна€“ипоразмер277x175x190√аранти€ производител€48 мес.;https://akb.ru//product/1090-AkomEFB_75R_720A_(277x175x190)_Start-_Stop.html
јком+EFB 75L 720A (278x175x190) Start- Stop;5 900 руб.;5 100 руб.при обмене;≈мкость75ѕусковой ток720ѕол€рностьѕр€ма€“ипоразмер278x175x190√аранти€ производител€48 мес.;https://akb.ru//product/2140-AkomEFB_75L_720A_(278x175x190)_Start-_Stop.html
јком 100R 850A (352x175x190);7 050 руб.;6 050 руб.при обмене;≈мкость100ѕусковой ток850ѕол€рностьќбратна€“ипоразмер352x175x190√аранти€ производител€36 мес.;https://akb.ru//product/731-Akom_100R_850A_(352x175x190).html
јком+EFB 100R 950A (352x175x190) Start- Stop;7 850 руб.;6 850 руб.при обмене;≈мкость100ѕусковой ток950ѕол€рностьќбратна€“ипоразмер352x175x190√аранти€ производител€48 мес.;https://akb.ru//product/1639-AkomEFB_100R_950A_(352x175x190)_Start-_Stop.html
јком+EFB 100L 950A (353x175x190) Start- Stop;7 900 руб.;6 900 руб.при обмене;≈мкость100ѕусковой ток950ѕол€рностьѕр€ма€“ипоразмер353x175x190√аранти€ производител€48 мес.;https://akb.ru//product/91314-AkomEFB_100L_950A_(353x175x190)_Start-_Stop.html
јком BRAVO 190 евро 1100ј 513x215x223;10 800 руб.;8 600 руб.при обмене;≈мкость190ѕусковой ток1100ѕол€рностьќбратна€“ипоразмер513x215x223√аранти€ производител€12 мес.;https://akb.ru//product/2139-Akom_BRAVO_190_evro_1100A_513x215x223.html
јком BRAVO 190 рус 1100ј 513x215x223;10 800 руб.;8 600 руб.при обмене;≈мкость190ѕусковой ток1100ѕол€рностьѕр€ма€“ипоразмер513x215x223√аранти€ производител€12 мес.;https://akb.ru//product/2145-Akom_BRAVO_190_rus_1100A_513x215x223.html
