Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
Bars Asia 42L 350A (187x127x227);3 000 руб.;2 500 руб.при обмене;≈мкость42ѕусковой ток350ѕол€рностьѕр€ма€“ипоразмер187x127x227√аранти€ производител€24 мес.;https://akb.ru//product/2563-Bars_Asia_42L_350A_(187x127x227).html
Bars Asia 42R 350A (187x127x227);3 000 руб.;2 500 руб.при обмене;≈мкость42ѕусковой ток350ѕол€рностьќбратна€“ипоразмер187x127x227√аранти€ производител€24 мес.;https://akb.ru//product/2621-Bars_Asia_42R_350A_(187x127x227).html
Bars Asia 50R уз. клеммы 450A (238x129x227);3 400 руб.;2 900 руб.при обмене;≈мкость50ѕусковой ток450ѕол€рностьќбратна€“ипоразмер238x129x227√аранти€ производител€24 мес.;https://akb.ru//product/2564-Bars_Asia_50R_uz_klemmy_450A_(238x129x227).html
Bars Asia 50L уз. клеммы 450A (238x129x227);3 400 руб.;2 900 руб.при обмене;≈мкость50ѕусковой ток450ѕол€рностьѕр€ма€“ипоразмер238x129x227√аранти€ производител€24 мес.;https://akb.ru//product/91679-Bars_Asia_50L_uz_klemmy_450A_(238x129x227).html
Bars 55L 500A 242x175x190;3 500 руб.;2 800 руб.при обмене;≈мкость55ѕусковой ток500ѕол€рностьѕр€ма€“ипоразмер242x175x190√аранти€ производител€24 мес.;https://akb.ru//product/2618-Bars_55L_500A_242x175x190.html
Bars Asia 50R 450A (238x129x227) конус переходник;3 500 руб.;3 000 руб.при обмене;≈мкость50ѕусковой ток450ѕол€рностьќбратна€“ипоразмер238x129x227√аранти€ производител€24 мес.;https://akb.ru//product/56894-Bars_Asia_50R_450A_(238x129x227)_konus_perehodnik.html
Bars 60R 530A 242x175x190;3 600 руб.;2 900 руб.при обмене;≈мкость60ѕусковой ток530ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€24 мес.;https://akb.ru//product/27-Bars_60R_530A_242x175x190.html
Bars 60L 530A 242x175x190;3 700 руб.;3 000 руб.при обмене;≈мкость60ѕусковой ток530ѕол€рностьѕр€ма€“ипоразмер242x175x190√аранти€ производител€24 мес.;https://akb.ru//product/26-Bars_60L_530A_242x175x190.html
Bars 60R низкий 530A 242x175x175;3 700 руб.;3 000 руб.при обмене;≈мкость60ѕусковой ток530ѕол€рностьќбратна€“ипоразмер242x175x175√аранти€ производител€24 мес.;https://akb.ru//product/2558-Bars_60R_nizkiy_530A_242x175x175.html
Bars 62L 550A 242x175x190;3 800 руб.;3 100 руб.при обмене;≈мкость62ѕусковой ток550ѕол€рностьѕр€ма€“ипоразмер242x175x190√аранти€ производител€24 мес.;https://akb.ru//product/2561-Bars_62L_550A_242x175x190.html
Bars 62R 550A 242x175x190;3 800 руб.;3 100 руб.при обмене;≈мкость62ѕусковой ток550ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€24 мес.;https://akb.ru//product/2562-Bars_62R_550A_242x175x190.html
Bars 75L 650A 278x175x190;4 100 руб.;3 300 руб.при обмене;≈мкость75ѕусковой ток650ѕол€рностьѕр€ма€“ипоразмер278x175x190√аранти€ производител€24 мес.;https://akb.ru//product/28-Bars_75L_650A_278x175x190.html
Bars Asia 65R 600A (232x173x225);4 200 руб.;3 500 руб.при обмене;≈мкость65ѕусковой ток600ѕол€рностьќбратна€“ипоразмер232x173x225√аранти€ производител€24 мес.;https://akb.ru//product/2566-Bars_Asia_65R_600A_(232x173x225).html
Bars Asia 75L 640A (261x173x225);4 500 руб.;3 700 руб.при обмене;≈мкость75ѕусковой ток640ѕол€рностьѕр€ма€“ипоразмер261x173x225√аранти€ производител€24 мес.;https://akb.ru//product/2567-Bars_Asia_75L_640A_(261x173x225).html
Bars Asia 75R 640A (261x173x225);4 500 руб.;3 700 руб.при обмене;≈мкость75ѕусковой ток640ѕол€рностьќбратна€“ипоразмер261x173x225√аранти€ производител€24 мес.;https://akb.ru//product/2570-Bars_Asia_75R_640A_(261x173x225).html
Bars 75R 650A 278x175x190;4 600 руб.;3 800 руб.при обмене;≈мкость75ѕусковой ток650ѕол€рностьќбратна€“ипоразмер278x175x190√аранти€ производител€24 мес.;https://akb.ru//product/29-Bars_75R_650A_278x175x190.html
Bars 77L 670A 276x175x190;4 700 руб.;3 900 руб.при обмене;≈мкость77ѕусковой ток670ѕол€рностьѕр€ма€“ипоразмер276x175x190√аранти€ производител€24 мес.;https://akb.ru//product/17-Bars_77L_670A_276x175x190.html
Bars 75R низкий 650A 278x175x175;4 700 руб.;3 900 руб.при обмене;≈мкость75ѕусковой ток650ѕол€рностьќбратна€“ипоразмер278x175x175√аранти€ производител€24 мес.;https://akb.ru//product/2559-Bars_75R_nizkiy_650A_278x175x175.html
Bars 77R 670A 278x175x190;4 700 руб.;3 900 руб.при обмене;≈мкость77ѕусковой ток670ѕол€рностьќбратна€“ипоразмер278x175x190√аранти€ производител€24 мес.;https://akb.ru//product/2560-Bars_77R_670A_278x175x190.html
Bars Asia 65L 560A (232x173x225);5 100 руб.;4 400 руб.при обмене;≈мкость65ѕусковой ток560ѕол€рностьѕр€ма€“ипоразмер232x173x225√аранти€ производител€24 мес.;https://akb.ru//product/91256-Bars_Asia_65L_560A_(232x173x225).html
Bars 6—“-90 јѕ« п.п. 770A 353x175x190;5 600 руб.;4 600 руб.при обмене;≈мкость90ѕусковой ток770ѕол€рностьѕр€ма€“ипоразмер353x175x190√аранти€ производител€24 мес.;https://akb.ru//product/91677-Bars_6ST-90_APZ_pp_770A_353x175x190.html
Bars 6—“-90 јѕ« о.п. 770A 353x175x190;5 600 руб.;4 600 руб.при обмене;≈мкость90ѕусковой ток770ѕол€рностьќбратна€“ипоразмер353x175x190√аранти€ производител€24 мес.;https://akb.ru//product/91678-Bars_6ST-90_APZ_op_770A_353x175x190.html
Bars 100L 800A 353x175x190;5 800 руб.;4 800 руб.при обмене;≈мкость100ѕусковой ток800ѕол€рностьѕр€ма€“ипоразмер353x175x190√аранти€ производител€24 мес.;https://akb.ru//product/15-Bars_100L_800A_353x175x190.html
Bars 100R 800A 353x175x190;5 800 руб.;4 800 руб.при обмене;≈мкость100ѕусковой ток800ѕол€рностьќбратна€“ипоразмер353x175x190√аранти€ производител€24 мес.;https://akb.ru//product/16-Bars_100R_800A_353x175x190.html
Bars Asia 100L 800A (306x173x225);5 900 руб.;4 900 руб.при обмене;≈мкость100ѕусковой ток800ѕол€рностьѕр€ма€“ипоразмер306x173x225√аранти€ производител€24 мес.;https://akb.ru//product/2565-Bars_Asia_100L_800A_(306x173x225).html
Bars Asia 100R 800A (306x173x225);5 900 руб.;4 900 руб.при обмене;≈мкость100ѕусковой ток800ѕол€рностьќбратна€“ипоразмер306x173x225√аранти€ производител€24 мес.;https://akb.ru//product/2571-Bars_Asia_100R_800A_(306x173x225).html
Bars 215 јч 6¬ 1100A 425x170x240;6 250 руб.;5 150 руб.при обмене;≈мкость215ѕусковой ток1100ѕол€рность”ниверсальна€“ипоразмер425x170x240√аранти€ производител€24 мес.;https://akb.ru//product/34865-Bars_215_Ach_6V_1100A_425x170x240.html
Bars 132 рус 890A 513x182x240;8 200 руб.;6 700 руб.при обмене;≈мкость132ѕусковой ток890ѕол€рностьѕр€ма€“ипоразмер513x182x240√аранти€ производител€12 мес.;https://akb.ru//product/19-Bars_132_rus_890A_513x182x240.html
Bars 132 евро 890A 513x182x240;8 200 руб.;6 700 руб.при обмене;≈мкость132ѕусковой ток890ѕол€рностьќбратна€“ипоразмер513x182x240√аранти€ производител€12 мес.;https://akb.ru//product/2616-Bars_132_evro_890A_513x182x240.html
Bars 140 евро 920A 513x189x217;8 350 руб.;6 850 руб.при обмене;≈мкость140ѕусковой ток920ѕол€рностьќбратна€“ипоразмер513x182x240√аранти€ производител€12 мес.;https://akb.ru//product/1022-Bars_140_evro_920A_513x189x217.html
Bars 140 рус 920A 513x189x217;8 350 руб.;6 850 руб.при обмене;≈мкость140ѕусковой ток920ѕол€рностьѕр€ма€“ипоразмер513x182x240√аранти€ производител€12 мес.;https://akb.ru//product/2617-Bars_140_rus_920A_513x189x217.html
Bars 190 рус 1250A 524x239x240;11 100 руб.;8 900 руб.при обмене;≈мкость190ѕусковой ток1250ѕол€рностьѕр€ма€“ипоразмер524x239x240√аранти€ производител€12 мес.;https://akb.ru//product/20-Bars_190_rus_1250A_524x239x240.html
Bars 190 евро 1250A 524x239x240;11 100 руб.;8 900 руб.при обмене;≈мкость190ѕусковой ток1250ѕол€рностьќбратна€“ипоразмер524x239x240√аранти€ производител€12 мес.;https://akb.ru//product/21-Bars_190_evro_1250A_524x239x240.html
Bars 190 болт 1250A 524x239x240;11 100 руб.;8 900 руб.при обмене;≈мкость190ѕусковой ток1250ѕол€рностьѕр€ма€“ипоразмер524x239x240√аранти€ производител€12 мес.;https://akb.ru//product/22-Bars_190_bolt_1250A_524x239x240.html
Bars 210 рус 1300A 524x239x240;11 700 руб.;9 500 руб.при обмене;≈мкость210ѕусковой ток1300ѕол€рностьѕр€ма€“ипоразмер524x239x240√аранти€ производител€12 мес.;https://akb.ru//product/91254-Bars_210_rus_1300A_524x239x240.html
Bars 230 евро 1350A 518x274x238;13 800 руб.;11 300 руб.при обмене;≈мкость230ѕусковой ток1350ѕол€рностьќбратна€“ипоразмер518x274x238√аранти€ производител€12 мес.;https://akb.ru//product/25-Bars_230_evro_1350A_518x274x238.html
