Название;Цена;При обмене;Характеристика;Ссылка
Deka Marine Master 24M5 70 Ач 550A п.п. (260x173x225) cтартерный;9 000 руб.;8 200 руб.при обмене;Емкость70Пусковой ток550ПолярностьПрямаяТипоразмер260x173x225Гарантия производителя24 мес.;https://akb.ru//product/91153-Deka_Marine_Master_24M5_70_Ach_550A_pp_(260x173x225)_ctarternyy.html
Deka 675MF 12V 60Ah (650A 230x176x184) боковые клеммы;9 600 руб.;8 900 руб.при обмене;Емкость60Пусковой ток650ПолярностьПрямаяТипоразмер230x176x184Гарантия производителя24 мес.;https://akb.ru//product/472-Deka_675MF_12V_60Ah_(650A_230x176x184)_bokovye_klemmy.html
Deka 734RMF 12V 85Ah (800A 260x171x200) обратная пол.;9 900 руб.;9 000 руб.при обмене;Емкость85Пусковой ток800ПолярностьОбратнаяТипоразмер260x171x200Гарантия производителя24 мес.;https://akb.ru//product/77-Deka_734RMF_12V_85Ah_(800A_260x171x200)_obratnaya_pol.html
Deka 775MF 12V 75Ah (690A 230x175x186) боковые клеммы;10 300 руб.;9 500 руб.при обмене;Емкость75Пусковой ток690ПолярностьПрямаяТипоразмер230x175x186Гарантия производителя24 мес.;https://akb.ru//product/495-Deka_775MF_12V_75Ah_(690A_230x175x186)_bokovye_klemmy.html
Deka 659MF 12V 63 Ah (590A 255x190x192) BXT 59 прямая пол.;10 400 руб.;9 700 руб.при обмене;Емкость63Пусковой ток590ПолярностьПрямаяТипоразмер255x190x192Гарантия производителя24 мес.;https://akb.ru//product/91388-Deka_659MF_12V_63_Ah_(590A_255x190x192)_BXT_59_pryamaya_pol.html
Deka 565MF 12V 91Ah (675A 306x192x192) BXT 65-675 прямая пол.;10 800 руб.;9 800 руб.при обмене;Емкость91Пусковой ток675ПолярностьПрямаяТипоразмер306x192x192Гарантия производителя24 мес.;https://akb.ru//product/626-Deka_565MF_12V_91Ah_(675A_306x192x192)_BXT_65-675_pryamaya_pol.html
Deka Marine Master 24M6 80 Ач 675A п.п. (260x173x225) cтартерный;10 800 руб.;9 900 руб.при обмене;Емкость80Пусковой ток675ПолярностьПрямаяТипоразмер260x173x225Гарантия производителя24 мес.;https://akb.ru//product/91152-Deka_Marine_Master_24M6_80_Ach_675A_pp_(260x173x225)_ctarternyy.html
Deka 734MF 12V 85Ah (734MF 800A 260x171x200) прямая пол.;11 000 руб.;10 100 руб.при обмене;Емкость85Пусковой ток800ПолярностьПрямаяТипоразмер260x171x200Гарантия производителя24 мес.;https://akb.ru//product/625-Deka_734MF_12V_85Ah_(734MF_800A_260x171x200)_pryamaya_pol.html
Deka 95L (778DT 800A 261x175x200) 4 клеммы;11 900 руб.;10 900 руб.при обмене;Емкость95Пусковой ток800ПолярностьПрямаяТипоразмер261x175x200Гарантия производителя24 мес.;https://akb.ru//product/66-Deka_95L_(778DT_800A_261x175x200)_4_klemmy.html
Deka 665MF 12V 100Ah (875A 306x192x192) BXT 65-850 прямая пол.;11 900 руб.;10 900 руб.при обмене;Емкость100Пусковой ток850ПолярностьПрямаяТипоразмер306x192x192Гарантия производителя24 мес.;https://akb.ru//product/473-Deka_665MF_12V_100Ah_(875A_306x192x192)_BXT_65-850_pryamaya_pol.html
Deka Intimidator AGM 68R (9A35/85 680A 232x173x225);15 700 руб.;14 900 руб.при обмене;Емкость68Пусковой ток680ПолярностьОбратнаяТипоразмер232x173x225Гарантия производителя24 мес.;https://akb.ru//product/624-Deka_Intimidator_AGM_68R_(9A3585_680A_232x173x225).html
Deka Intimidator AGM 75R (261x175x200) 9A34R;16 500 руб.;15 700 руб.при обмене;Емкость75Пусковой ток775ПолярностьОбратнаяТипоразмер261x175x200Гарантия производителя24 мес.;https://akb.ru//product/80-Deka_Intimidator_AGM_75R_(261x175x200)_9A34R.html
Deka Intimidator AGM 68L 4 клеммы (9А75DT 680A 230x171x200);16 500 руб.;15 700 руб.при обмене;Емкость68Пусковой ток680ПолярностьПрямаяТипоразмер232x173x200Гарантия производителя24 мес.;https://akb.ru//product/824-Deka_Intimidator_AGM_68L_4_klemmy_(9A75DT_680A_230x171x200).html
Deka Intimidator AGM 70L (9A34M 775A 261x175x200) Marine;16 800 руб.;16 000 руб.при обмене;Емкость70Пусковой ток775ПолярностьПрямаяТипоразмер261x175x200Гарантия производителя24 мес.;https://akb.ru//product/627-Deka_Intimidator_AGM_70L_(9A34M_775A_261x175x200)_Marine.html
Deka Intimidator AGM 75L 775А (261x175x200) 9A78DT 4 клеммы;16 900 руб.;16 100 руб.при обмене;Емкость75Пусковой ток775ПолярностьПрямаяТипоразмер261x175x200Гарантия производителя24 мес.;https://akb.ru//product/1371-Deka_Intimidator_AGM_75L_775A_(261x175x200)_9A78DT_4_klemmy.html
Deka Intimidator AGM 75R 710A (260x173x227) 9A24F;17 500 руб.;16 700 руб.при обмене;Емкость75Пусковой ток710ПолярностьОбратнаяТипоразмер260x173x227Гарантия производителя24 мес.;https://akb.ru//product/81468-Deka_Intimidator_AGM_75R_710A_(260x173x227)_9A24F.html
