Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
Forse JIS 40B19R 35 јч 300ј пр€ма€ пол. (187x127x227);3 800 руб.;3 300 руб.при обмене;≈мкость35ѕусковой ток300ѕол€рностьѕр€ма€“ипоразмер187x127x227√аранти€ производител€36 мес.;https://akb.ru//product/2521-Forse_JIS_40B19R_35_Ach_300A_pryamaya_pol_(187x127x227).html
Forse 50R низкий 480A (207x175x175);4 050 руб.;3 550 руб.при обмене;≈мкость50ѕусковой ток480ѕол€рностьќбратна€“ипоразмер207x175x175√аранти€ производител€36 мес.;https://akb.ru//product/1730-Forse_50R_nizkiy_480A_(207x175x175).html
Forse 55L 550A (242x175x190);4 400 руб.;3 700 руб.при обмене;≈мкость55ѕусковой ток550ѕол€рностьѕр€ма€“ипоразмер242x175x190√аранти€ производител€36 мес.;https://akb.ru//product/2159-Forse_55L_550A_(242x175x190).html
Forse 60R низкий 640A (242x175x175);4 750 руб.;4 050 руб.при обмене;≈мкость60ѕусковой ток640ѕол€рностьќбратна€“ипоразмер242x175x175√аранти€ производител€36 мес.;https://akb.ru//product/1097-Forse_60R_nizkiy_640A_(242x175x175).html
Forse 60L 640A (242x175x175);4 750 руб.;4 050 руб.при обмене;≈мкость60ѕусковой ток640ѕол€рностьѕр€ма€“ипоразмер242x175x175√аранти€ производител€36 мес.;https://akb.ru//product/91289-Forse_60L_640A_(242x175x175).html
Forse 65R 660A (242x175x190);4 950 руб.;4 250 руб.при обмене;≈мкость65ѕусковой ток660ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€36 мес.;https://akb.ru//product/1092-Forse_65R_660A_(242x175x190).html
Forse EFB 60R низкий 620A (242x175x175) Start-Stop;4 950 руб.;4 250 руб.при обмене;≈мкость60ѕусковой ток620ѕол€рностьќбратна€“ипоразмер242x175x175√аранти€ производител€36 мес.;https://akb.ru//product/2156-Forse_EFB_60R_nizkiy_620A_(242x175x175)_Start-Stop.html
Forse 70R 680A (278x175x190);5 150 руб.;4 350 руб.при обмене;≈мкость70ѕусковой ток680ѕол€рностьќбратна€“ипоразмер278x175x190√аранти€ производител€36 мес.;https://akb.ru//product/1093-Forse_70R_680A_(278x175x190).html
Forse 74R 760A (278x175x190);5 700 руб.;4 900 руб.при обмене;≈мкость74ѕусковой ток760ѕол€рностьќбратна€“ипоразмер278x175x190√аранти€ производител€36 мес.;https://akb.ru//product/1094-Forse_74R_760A_(278x175x190).html
Forse 74L 760A (278x175x190);5 700 руб.;4 900 руб.при обмене;≈мкость74ѕусковой ток760ѕол€рностьѕр€ма€“ипоразмер278x175x190√аранти€ производител€36 мес.;https://akb.ru//product/1096-Forse_74L_760A_(278x175x190).html
Forse 74R низкий 760A (278x175x175);5 700 руб.;4 900 руб.при обмене;≈мкость74ѕусковой ток760ѕол€рностьќбратна€“ипоразмер278x175x175√аранти€ производител€36 мес.;https://akb.ru//product/1098-Forse_74R_nizkiy_760A_(278x175x175).html
Forse JIS 85D26R 70 јч 600ј пр€ма€ пол. (260x173x225);6 400 руб.;5 600 руб.при обмене;≈мкость70ѕусковой ток600ѕол€рностьѕр€ма€“ипоразмер260x173x225√аранти€ производител€36 мес.;https://akb.ru//product/2526-Forse_JIS_85D26R_70_Ach_600A_pryamaya_pol_(260x173x225).html
Forse 6—“-92 VLR (0) 12V 92Ah 820A (353x175x190);6 850 руб.;5 850 руб.при обмене;≈мкость92ѕусковой ток820ѕол€рностьќбратна€“ипоразмер353x175x190√аранти€ производител€36 мес.;https://akb.ru//product/91701-Forse_6ST-92_VLR_(0)_12V_92Ah_820A_(353x175x190).html
Forse 100R 910A (353x175x190);7 200 руб.;6 200 руб.при обмене;≈мкость100ѕусковой ток910ѕол€рностьќбратна€“ипоразмер353x175x190√аранти€ производител€36 мес.;https://akb.ru//product/1095-Forse_100R_910A_(353x175x190).html
Forse 100L 910A (353x175x190);7 200 руб.;6 200 руб.при обмене;≈мкость100ѕусковой ток910ѕол€рностьѕр€ма€“ипоразмер353x175x190√аранти€ производител€36 мес.;https://akb.ru//product/56249-Forse_100L_910A_(353x175x190).html
Forse EFB 110R 880A (353x175x190) Start-Stop;7 950 руб.;6 850 руб.при обмене;≈мкость110ѕусковой ток880ѕол€рностьќбратна€“ипоразмер353x175x190√аранти€ производител€36 мес.;https://akb.ru//product/2191-Forse_EFB_110R_880A_(353x175x190)_Start-Stop.html
Forse Marine 6—“-80 VL (1) (258x172x221) MDC24-750;8 500 руб.;7 600 руб.при обмене;≈мкость80ѕусковой ток750ѕол€рностьѕр€ма€“ипоразмер260x173x225√аранти€ производител€36 мес.;https://akb.ru//product/91699-Forse_Marine_6ST-80_VL_(1)_(258x172x221)_MDC24-750.html
Forse Marine 6—“-105VL (1) (303x172x221) MDC27-800;10 500 руб.;9 400 руб.при обмене;≈мкость105ѕусковой ток800ѕол€рностьѕр€ма€“ипоразмер303x172x221√аранти€ производител€36 мес.;https://akb.ru//product/91698-Forse_Marine_6ST-105VL_(1)_(303x172x221)_MDC27-800.html
Forse Marine 6—“-110VL (1) (330x172x238) MDC31-950;12 000 руб.;10 900 руб.при обмене;≈мкость110ѕусковой ток950ѕол€рностьѕр€ма€“ипоразмер330x172x238√аранти€ производител€36 мес.;https://akb.ru//product/91697-Forse_Marine_6ST-110VL_(1)_(330x172x238)_MDC31-950.html
