Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
Moll MG Standard 50R 430A 207x175x175;5 000 руб.;4 500 руб.при обмене;≈мкость50ѕусковой ток430ѕол€рностьќбратна€“ипоразмер207x175x175√аранти€ производител€40 мес.;https://akb.ru//product/343-Moll_MG_Standard_50R_430A_207x175x175.html
Moll MG Standard 60R 540A 242x175x190;5 900 руб.;5 200 руб.при обмене;≈мкость60ѕусковой ток540ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€40 мес.;https://akb.ru//product/196-Moll_MG_Standard_60R_540A_242x175x190.html
Moll MG Standard Asia 65B24LS (55R 485A 229x120x220);5 900 руб.;5 200 руб.при обмене;≈мкость55ѕусковой ток485ѕол€рностьќбратна€“ипоразмер229x120x220√аранти€ производител€40 мес.;https://akb.ru//product/213-Moll_MG_Standard_Asia_65B24LS_(55R_485A_229x120x220).html
Moll MG Standard 60L 540A 242x175x190;5 900 руб.;5 200 руб.при обмене;≈мкость60ѕусковой ток540ѕол€рностьѕр€ма€“ипоразмер242x175x190√аранти€ производител€40 мес.;https://akb.ru//product/339-Moll_MG_Standard_60L_540A_242x175x190.html
Moll MG Standard 62L 600A 242x175x190;6 200 руб.;5 500 руб.при обмене;≈мкость62ѕусковой ток600ѕол€рностьѕр€ма€“ипоразмер242x175x190√аранти€ производител€40 мес.;https://akb.ru//product/197-Moll_MG_Standard_62L_600A_242x175x190.html
Moll MG Standard 62R 600A 242x175x190;6 200 руб.;5 500 руб.при обмене;≈мкость62ѕусковой ток600ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€40 мес.;https://akb.ru//product/198-Moll_MG_Standard_62R_600A_242x175x190.html
Moll MG Standard 62 SR 600A 242x175x175;6 200 руб.;5 500 руб.при обмене;≈мкость62ѕусковой ток600ѕол€рностьќбратна€“ипоразмер242x175x175√аранти€ производител€40 мес.;https://akb.ru//product/199-Moll_MG_Standard_62_SR_600A_242x175x175.html
Moll Kamina Start 62SR низкий 510A (242x175x175);6 200 руб.;5 500 руб.при обмене;≈мкость62ѕусковой ток510ѕол€рностьќбратна€“ипоразмер242x175x175√аранти€ производител€36 мес.;https://akb.ru//product/1211-Moll_Kamina_Start_62SR_nizkiy_510A_(242x175x175).html
Moll Kamina Start 62R 520A (242x175x190);6 200 руб.;5 500 руб.при обмене;≈мкость62ѕусковой ток510ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€36 мес.;https://akb.ru//product/1212-Moll_Kamina_Start_62R_520A_(242x175x190).html
Moll M3plus 50R 420ј 207х175х175;6 200 руб.;5 700 руб.при обмене;≈мкость50ѕусковой ток420ѕол€рностьќбратна€“ипоразмер207x175x175√аранти€ производител€48 мес.;https://akb.ru//product/1617-Moll_M3plus_50R_420A_207h175h175.html
Moll Kamina Start 74R 680A (278x175x190);7 450 руб.;6 650 руб.при обмене;≈мкость74ѕусковой ток680ѕол€рностьќбратна€“ипоразмер278x175x190√аранти€ производител€36 мес.;https://akb.ru//product/1266-Moll_Kamina_Start_74R_680A_(278x175x190).html
Moll M3plus 60R 550A 242x175x175;7 600 руб.;6 900 руб.при обмене;≈мкость60ѕусковой ток550ѕол€рностьќбратна€“ипоразмер242x175x175√аранти€ производител€48 мес.;https://akb.ru//product/190-Moll_M3plus_60R_550A_242x175x175.html
Moll Kamina Start 71R низкий 680A (278x175x175);7 700 руб.;6 900 руб.при обмене;≈мкость71ѕусковой ток680ѕол€рностьќбратна€“ипоразмер278x175x175√аранти€ производител€36 мес.;https://akb.ru//product/1213-Moll_Kamina_Start_71R_nizkiy_680A_(278x175x175).html
Moll M3plus 62R 600A 242x175x190;7 900 руб.;7 200 руб.при обмене;≈мкость62ѕусковой ток600ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€48 мес.;https://akb.ru//product/191-Moll_M3plus_62R_600A_242x175x190.html
Moll MG Standard 66R 650A 278x175x175;8 000 руб.;7 200 руб.при обмене;≈мкость66ѕусковой ток650ѕол€рностьќбратна€“ипоразмер278x175x175√аранти€ производител€40 мес.;https://akb.ru//product/200-Moll_MG_Standard_66R_650A_278x175x175.html
Moll MG Standard 75 SR 720A 278x175x175;8 200 руб.;7 400 руб.при обмене;≈мкость75ѕусковой ток720ѕол€рностьќбратна€“ипоразмер278x175x175√аранти€ производител€40 мес.;https://akb.ru//product/201-Moll_MG_Standard_75_SR_720A_278x175x175.html
Moll MG Standard 75R 720A 276x175x190;8 200 руб.;7 400 руб.при обмене;≈мкость75ѕусковой ток720ѕол€рностьќбратна€“ипоразмер276x175x190√аранти€ производител€40 мес.;https://akb.ru//product/202-Moll_MG_Standard_75R_720A_276x175x190.html
Moll MG Standard 75L 720A 276x175x190;8 200 руб.;7 400 руб.при обмене;≈мкость75ѕусковой ток720ѕол€рностьѕр€ма€“ипоразмер276x175x190√аранти€ производител€40 мес.;https://akb.ru//product/338-Moll_MG_Standard_75L_720A_276x175x190.html
Moll Kamina Start 80SR низкий 680A (315x175x175);8 300 руб.;7 400 руб.при обмене;≈мкость80ѕусковой ток680ѕол€рностьќбратна€“ипоразмер315x175x175√аранти€ производител€36 мес.;https://akb.ru//product/1214-Moll_Kamina_Start_80SR_nizkiy_680A_(315x175x175).html
Moll MG Standard 80R 750A 276x175x190;8 600 руб.;7 700 руб.при обмене;≈мкость80ѕусковой ток750ѕол€рностьќбратна€“ипоразмер276x175x190√аранти€ производител€40 мес.;https://akb.ru//product/204-Moll_MG_Standard_80R_750A_276x175x190.html
Moll MG Standard 80 SR 750A 315x175x175;8 600 руб.;7 700 руб.при обмене;≈мкость80ѕусковой ток750ѕол€рностьќбратна€“ипоразмер315x175x175√аранти€ производител€40 мес.;https://akb.ru//product/205-Moll_MG_Standard_80_SR_750A_315x175x175.html
Moll M3plus 71R 620A 278x175x175;8 900 руб.;8 100 руб.при обмене;≈мкость71ѕусковой ток620ѕол€рностьќбратна€“ипоразмер278x175x175√аранти€ производител€48 мес.;https://akb.ru//product/653-Moll_M3plus_71R_620A_278x175x175.html
Moll M3plus 75R 680A 276x175x190;9 300 руб.;8 500 руб.при обмене;≈мкость75ѕусковой ток680ѕол€рностьќбратна€“ипоразмер276x175x190√аранти€ производител€48 мес.;https://akb.ru//product/192-Moll_M3plus_75R_680A_276x175x190.html
Moll MG Standard 90R 800A 315x175x190;9 500 руб.;8 500 руб.при обмене;≈мкость90ѕусковой ток800ѕол€рностьќбратна€“ипоразмер315x175x190√аранти€ производител€40 мес.;https://akb.ru//product/207-Moll_MG_Standard_90R_800A_315x175x190.html
Moll Kamina Start 100R 850A (353x175x190);10 500 руб.;9 500 руб.при обмене;≈мкость100ѕусковой ток850ѕол€рностьќбратна€“ипоразмер353x175x190√аранти€ производител€36 мес.;https://akb.ru//product/1248-Moll_Kamina_Start_100R_850A_(353x175x190).html
Moll M3plus 85R 710A 315x175x190;10 700 руб.;9 800 руб.при обмене;≈мкость85ѕусковой ток710ѕол€рностьќбратна€“ипоразмер315x175x190√аранти€ производител€48 мес.;https://akb.ru//product/193-Moll_M3plus_85R_710A_315x175x190.html
Moll MG Standard Asia 110L 835A 292x170x215;10 900 руб.;9 800 руб.при обмене;≈мкость110ѕусковой ток835ѕол€рностьѕр€ма€“ипоразмер292x170x215√аранти€ производител€24 мес.;https://akb.ru//product/211-Moll_MG_Standard_Asia_110L_835A_292x170x215.html
Moll M3plus 91R 800A 353x175x175;11 800 руб.;10 800 руб.при обмене;≈мкость91ѕусковой ток800ѕол€рностьќбратна€“ипоразмер353x175x175√аранти€ производител€48 мес.;https://akb.ru//product/444-Moll_M3plus_91R_800A_353x175x175.html
Moll AGM 60R Start-Stop 640A 242x175x190;12 500 руб.;11 800 руб.при обмене;≈мкость60ѕусковой ток640ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€48 мес.;https://akb.ru//product/180-Moll_AGM_60R_Start-Stop_640A_242x175x190.html
Moll EFB 70R Start-Stop 760A 276x175x190;12 500 руб.;11 700 руб.при обмене;≈мкость70ѕусковой ток760ѕол€рностьќбратна€“ипоразмер276x175x190√аранти€ производител€48 мес.;https://akb.ru//product/184-Moll_EFB_70R_Start-Stop_760A_276x175x190.html
Moll M3plus 100R 850A 353x175x190;12 500 руб.;11 500 руб.при обмене;≈мкость100ѕусковой ток850ѕол€рностьќбратна€“ипоразмер353x175x190√аранти€ производител€48 мес.;https://akb.ru//product/1323-Moll_M3plus_100R_850A_353x175x190.html
Moll EFB 75R Start-Stop 760A 315x175x175;13 500 руб.;12 700 руб.при обмене;≈мкость75ѕусковой ток760ѕол€рностьќбратна€“ипоразмер315x175x175√аранти€ производител€48 мес.;https://akb.ru//product/185-Moll_EFB_75R_Start-Stop_760A_315x175x175.html
Moll AGM 70R Start-Stop 760A 276x175x190;13 900 руб.;13 100 руб.при обмене;≈мкость70ѕусковой ток760ѕол€рностьќбратна€“ипоразмер276x175x190√аранти€ производител€48 мес.;https://akb.ru//product/181-Moll_AGM_70R_Start-Stop_760A_276x175x190.html
Moll Kamina start 110R (750ј 349x175x235);13 900 руб.;12 800 руб.при обмене;≈мкость110ѕусковой ток750ѕол€рностьќбратна€“ипоразмер349x175x235√аранти€ производител€36 мес.;https://akb.ru//product/610-Moll_Kamina_start_110R_(750A_349x175x235).html
Moll EFB 80R Start-Stop 800A 315x175x190;14 500 руб.;13 600 руб.при обмене;≈мкость80ѕусковой ток800ѕол€рностьќбратна€“ипоразмер315x175x190√аранти€ производител€48 мес.;https://akb.ru//product/186-Moll_EFB_80R_Start-Stop_800A_315x175x190.html
Moll AGM 80R Start-Stop 800A 315x175x190;16 400 руб.;15 500 руб.при обмене;≈мкость80ѕусковой ток800ѕол€рностьќбратна€“ипоразмер315x175x190√аранти€ производител€48 мес.;https://akb.ru//product/2391-Moll_AGM_80R_Start-Stop_800A_315x175x190.html
Moll EFB 95R Start-Stop 900A 353x175x190;16 500 руб.;15 500 руб.при обмене;≈мкость95ѕусковой ток900ѕол€рностьќбратна€“ипоразмер353x175x190√аранти€ производител€48 мес.;https://akb.ru//product/187-Moll_EFB_95R_Start-Stop_900A_353x175x190.html
Moll AGM 95R Start-Stop 850A 353x175x190;17 600 руб.;16 600 руб.при обмене;≈мкость95ѕусковой ток850ѕол€рностьќбратна€“ипоразмер353x175x190√аранти€ производител€48 мес.;https://akb.ru//product/182-Moll_AGM_95R_Start-Stop_850A_353x175x190.html
Moll AGM 105R Start-Stop 900A 393x175x190;20 900 руб.;19 800 руб.при обмене;≈мкость105ѕусковой ток900ѕол€рностьќбратна€“ипоразмер393x175x190√аранти€ производител€48 мес.;https://akb.ru//product/91564-Moll_AGM_105R_Start-Stop_900A_393x175x190.html
MOLL Super Heavy Duty 225 Ah 1150A (518x276x242);22 900 руб.;20 400 руб.при обмене;≈мкость225ѕусковой ток1150ѕол€рностьќбратна€“ипоразмер518x276x242√аранти€ производител€12 мес.;https://akb.ru//product/195-MOLL_Super_Heavy_Duty_225_Ah_1150A_(518x276x242).html
