Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
Tudor High-Tech 53R (540A 207x175x190) TA530;4 850 руб.;4 350 руб.при обмене;≈мкость53ѕусковой ток540ѕол€рностьќбратна€“ипоразмер207x175x190√аранти€ производител€24 мес.;https://akb.ru//product/358-Tudor_High-Tech_53R_(540A_207x175x190)_TA530.html
Tudor High-Tech 64R (640A 242x175x190) TA640;5 650 руб.;4 950 руб.при обмене;≈мкость64ѕусковой ток640ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€24 мес.;https://akb.ru//product/550-Tudor_High-Tech_64R_(640A_242x175x190)_TA640.html
Tudor High-Tech 61R (600A 242x175x175) TA612;5 700 руб.;5 000 руб.при обмене;≈мкость61ѕусковой ток600ѕол€рностьќбратна€“ипоразмер242x175x175√аранти€ производител€24 мес.;https://akb.ru//product/359-Tudor_High-Tech_61R_(600A_242x175x175)_TA612.html
Tudor High-Tech 72R (720A 278x175x175) TA722;6 100 руб.;5 300 руб.при обмене;≈мкость72ѕусковой ток720ѕол€рностьќбратна€“ипоразмер278x175x175√аранти€ производител€24 мес.;https://akb.ru//product/360-Tudor_High-Tech_72R_(720A_278x175x175)_TA722.html
Tudor High-Tech 65R (580A 230x172x222) TA654;6 150 руб.;5 450 руб.при обмене;≈мкость65ѕусковой ток580ѕол€рностьќбратна€“ипоразмер230x172x222√аранти€ производител€24 мес.;https://akb.ru//product/551-Tudor_High-Tech_65R_(580A_230x172x222)_TA654.html
Tudor High-Tech 77R (760A 278x175x190) TA770;6 900 руб.;6 100 руб.при обмене;≈мкость77ѕусковой ток760ѕол€рностьќбратна€“ипоразмер278x175x190√аранти€ производител€24 мес.;https://akb.ru//product/361-Tudor_High-Tech_77R_(760A_278x175x190)_TA770.html
Tudor Start-Stop AGM 60R (680A 242x175x190) TK600;8 700 руб.;8 000 руб.при обмене;≈мкость60ѕусковой ток680ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€24 мес.;https://akb.ru//product/778-Tudor_Start-Stop_AGM_60R_(680A_242x175x190)_TK600.html
Tudor High-Tech 100R (900A 353x175x190) TA1000;8 700 руб.;7 700 руб.при обмене;≈мкость100ѕусковой ток900ѕол€рностьќбратна€“ипоразмер353x175x190√аранти€ производител€24 мес.;https://akb.ru//product/780-Tudor_High-Tech_100R_(900A_353x175x190)_TA1000.html
Tudor Start-Stop AGM 95R (850A 353x175x190) TK950;12 000 руб.;11 000 руб.при обмене;≈мкость95ѕусковой ток850ѕол€рностьќбратна€“ипоразмер353x175x190√аранти€ производител€24 мес.;https://akb.ru//product/357-Tudor_Start-Stop_AGM_95R_(850A_353x175x190)_TK950.html
Tudor Start-Stop AGM 80R (800A 315x175x190) TK800;13 650 руб.;12 750 руб.при обмене;≈мкость80ѕусковой ток800ѕол€рностьќбратна€“ипоразмер315x175x190√аранти€ производител€24 мес.;https://akb.ru//product/547-Tudor_Start-Stop_AGM_80R_(800A_315x175x190)_TK800.html
Tudor Heavy Professional Power 235 јЈч евро 1300ј (518x276x242) TF2353;15 500 руб.;13 000 руб.при обмене;≈мкость235ѕусковой ток1300ѕол€рностьќбратна€“ипоразмер518x276x242√аранти€ производител€12 мес.;https://akb.ru//product/91563-Tudor_Heavy_Professional_Power_235_Ach_evro_1300A_(518x276x242)_TF2353.html
