Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
ZUBR 45R уз.кл. 360A (238x129x227) 545155033;4 200 руб.;3 700 руб.при обмене;≈мкость45ѕусковой ток360ѕол€рностьќбратна€“ипоразмер238x129x225√аранти€ производител€24 мес.;https://akb.ru//product/91499-ZUBR_45R_uzkl_360A_(238x129x227)_545155033.html
ZUBR 45L уз.кл. 360A (238x129x227) 545157033;4 200 руб.;3 700 руб.при обмене;≈мкость45ѕусковой ток360ѕол€рностьѕр€ма€“ипоразмер238x129x225√аранти€ производител€24 мес.;https://akb.ru//product/91500-ZUBR_45L_uzkl_360A_(238x129x227)_545157033.html
ZUBR Ultra 55L 530A (242x175x190);4 300 руб.;3 600 руб.при обмене;≈мкость55ѕусковой ток530ѕол€рностьѕр€ма€“ипоразмер242x175x190√аранти€ производител€24 мес.;https://akb.ru//product/91492-ZUBR_Ultra_55L_530A_(242x175x190).html
ZUBR Ultra 60R 600A (242x175x190);4 400 руб.;3 700 руб.при обмене;≈мкость60ѕусковой ток600ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€24 мес.;https://akb.ru//product/1613-ZUBR_Ultra_60R_600A_(242x175x190).html
ZUBR Ultra 60L 600A (242x175x190);4 400 руб.;3 700 руб.при обмене;≈мкость60ѕусковой ток600ѕол€рностьѕр€ма€“ипоразмер242x175x190√аранти€ производител€24 мес.;https://akb.ru//product/1625-ZUBR_Ultra_60L_600A_(242x175x190).html
ZUBR Ultra 62R 600A (242x175x175);4 850 руб.;4 150 руб.при обмене;≈мкость62ѕусковой ток600ѕол€рностьќбратна€“ипоразмер242x175x175√аранти€ производител€24 мес.;https://akb.ru//product/91495-ZUBR_Ultra_62R_600A_(242x175x175).html
ZUBR 60R 550A (232x173x225) D23L 560412051;4 950 руб.;4 250 руб.при обмене;≈мкость60ѕусковой ток550ѕол€рностьќбратна€“ипоразмер232x173x225√аранти€ производител€24 мес.;https://akb.ru//product/91522-ZUBR_60R_550A_(232x173x225)_D23L_560412051.html
ZUBR Premium 63R 640A (242x175x190);5 250 руб.;4 550 руб.при обмене;≈мкость63ѕусковой ток640ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€24 мес.;https://akb.ru//product/1751-ZUBR_Premium_63R_640A_(242x175x190).html
ZUBR Premium 63L 640A (242x175x190);5 250 руб.;4 550 руб.при обмене;≈мкость63ѕусковой ток640ѕол€рностьѕр€ма€“ипоразмер242x175x190√аранти€ производител€24 мес.;https://akb.ru//product/1752-ZUBR_Premium_63L_640A_(242x175x190).html
ZUBR Premium 65R 650A (242x175x175) низкий;5 300 руб.;4 600 руб.при обмене;≈мкость65ѕусковой ток650ѕол€рностьќбратна€“ипоразмер242x175x175√аранти€ производител€24 мес.;https://akb.ru//product/91490-ZUBR_Premium_65R_650A_(242x175x175)_nizkiy.html
