Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
«верь 75B24R (58L 600A 238x129x223);4 100 руб.;3 400 руб.при обмене;≈мкость58ѕусковой ток600ѕол€рностьѕр€ма€“ипоразмер238x129x223√аранти€ производител€36 мес.;https://akb.ru//product/823-Zver_75B24R_(58L_600A_238x129x223).html
«верь 60L 600A 242x175x190;4 350 руб.;3 650 руб.при обмене;≈мкость60ѕусковой ток600ѕол€рностьѕр€ма€“ипоразмер242x175x190√аранти€ производител€36 мес.;https://akb.ru//product/308-Zver_60L_600A_242x175x190.html
«верь 60R 600A 242x175x190;4 350 руб.;3 650 руб.при обмене;≈мкость60ѕусковой ток600ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€36 мес.;https://akb.ru//product/309-Zver_60R_600A_242x175x190.html
«верь 65R 640A 242x175x190;4 650 руб.;3 950 руб.при обмене;≈мкость65ѕусковой ток640ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€36 мес.;https://akb.ru//product/540-Zver_65R_640A_242x175x190.html
«верь 66L 640A 278x175x190;4 800 руб.;4 000 руб.при обмене;≈мкость66ѕусковой ток640ѕол€рностьѕр€ма€“ипоразмер278x175x190√аранти€ производител€36 мес.;https://akb.ru//product/646-Zver_66L_640A_278x175x190.html
«верь 110D26R (82L 750A 255х171х221);6 000 руб.;5 100 руб.при обмене;≈мкость82ѕусковой ток750ѕол€рностьѕр€ма€“ипоразмер255x171x221√аранти€ производител€36 мес.;https://akb.ru//product/304-Zver_110D26R_(82L_750A_255h171h221).html
«верь 90L 800A 353x175x190;6 300 руб.;5 300 руб.при обмене;≈мкость90ѕусковой ток800ѕол€рностьѕр€ма€“ипоразмер353x175x190√аранти€ производител€36 мес.;https://akb.ru//product/820-Zver_90L_800A_353x175x190.html
«верь 90R 900A 353x175x190;6 500 руб.;5 500 руб.при обмене;≈мкость90ѕусковой ток900ѕол€рностьќбратна€“ипоразмер353x175x190√аранти€ производител€36 мес.;https://akb.ru//product/314-Zver_90R_900A_353x175x190.html
«верь 100L 900A 353x175x190;6 500 руб.;5 500 руб.при обмене;≈мкость100ѕусковой ток900ѕол€рностьѕр€ма€“ипоразмер353x175x190√аранти€ производител€36 мес.;https://akb.ru//product/2224-Zver_100L_900A_353x175x190.html
«верь 110L 950A 353x175x190;6 700 руб.;5 600 руб.при обмене;≈мкость110ѕусковой ток950ѕол€рностьѕр€ма€“ипоразмер353x175x190√аранти€ производител€24 мес.;https://akb.ru//product/2239-Zver_110L_950A_353x175x190.html
«верь 125D31L (95R 930A 306x173x223);6 900 руб.;5 900 руб.при обмене;≈мкость95ѕусковой ток930ѕол€рностьќбратна€“ипоразмер306x173x223√аранти€ производител€36 мес.;https://akb.ru//product/305-Zver_125D31L_(95R_930A_306x173x223).html
«верь 140 рус 1000A 514x175x210;11 500 руб.;10 000 руб.при обмене;≈мкость140ѕусковой ток1000ѕол€рностьѕр€ма€“ипоразмер514x175x210√аранти€ производител€12 мес.;https://akb.ru//product/937-Zver_140_rus_1000A_514x175x210.html
«верь 190 евро 1350A 514x218x210;13 500 руб.;11 300 руб.при обмене;≈мкость190ѕусковой ток1350ѕол€рностьќбратна€“ипоразмер514x218x210√аранти€ производител€12 мес.;https://akb.ru//product/564-Zver_190_evro_1350A_514x218x210.html
