Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
Black Horse 55L 480A 242x175x190;3 250 руб.;2 550 руб.при обмене;≈мкость55ѕусковой ток480ѕол€рностьѕр€ма€“ипоразмер242x175x190√аранти€ производител€24 мес.;https://akb.ru//product/1164-Black_Horse_55L_480A_242x175x190.html
Black Horse 60L 540A 242x175x190;3 550 руб.;2 850 руб.при обмене;≈мкость60ѕусковой ток540ѕол€рностьѕр€ма€“ипоразмер242x175x190√аранти€ производител€24 мес.;https://akb.ru//product/1045-Black_Horse_60L_540A_242x175x190.html
Black Horse 60 јч 540A обр. пол. низкий (242x175x175);3 550 руб.;2 850 руб.при обмене;≈мкость60ѕусковой ток540ѕол€рностьќбратна€“ипоразмер242x175x175√аранти€ производител€24 мес.;https://akb.ru//product/2599-Black_Horse_60_Ach_540A_obr_pol_nizkiy_(242x175x175).html
Black Horse 60R 540A 242x175x190;3 600 руб.;2 900 руб.при обмене;≈мкость60ѕусковой ток540ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€24 мес.;https://akb.ru//product/1048-Black_Horse_60R_540A_242x175x190.html
Black Horse 75R 680A 278x175x190;4 500 руб.;3 700 руб.при обмене;≈мкость75ѕусковой ток680ѕол€рностьќбратна€“ипоразмер278x175x190√аранти€ производител€24 мес.;https://akb.ru//product/1046-Black_Horse_75R_680A_278x175x190.html
Black Horse 75L 680A 278x175x190;4 600 руб.;3 800 руб.при обмене;≈мкость75ѕусковой ток680ѕол€рностьѕр€ма€“ипоразмер278x175x190√аранти€ производител€24 мес.;https://akb.ru//product/1047-Black_Horse_75L_680A_278x175x190.html
Black Horse 75R 700A 278x175x175 (низкий);4 650 руб.;3 850 руб.при обмене;≈мкость75ѕусковой ток700ѕол€рностьќбратна€“ипоразмер278x175x175√аранти€ производител€24 мес.;https://akb.ru//product/2580-Black_Horse_75R_700A_278x175x175_(nizkiy).html
Black Horse 100L 800A 353x175x190;5 950 руб.;4 950 руб.при обмене;≈мкость100ѕусковой ток800ѕол€рностьѕр€ма€“ипоразмер353x175x190√аранти€ производител€24 мес.;https://akb.ru//product/2545-Black_Horse_100L_800A_353x175x190.html
Black Horse 100R 800A 353x175x190;6 200 руб.;5 200 руб.при обмене;≈мкость100ѕусковой ток800ѕол€рностьќбратна€“ипоразмер353x175x190√аранти€ производител€24 мес.;https://akb.ru//product/2544-Black_Horse_100R_800A_353x175x190.html
Black Horse 135 евро 950A 513x190x230;8 250 руб.;6 750 руб.при обмене;≈мкость135ѕусковой ток950ѕол€рностьќбратна€“ипоразмер513х189х230√аранти€ производител€12 мес.;https://akb.ru//product/864-Black_Horse_135_evro_950A_513x190x230.html
Black Horse 135 рус 950A 513x190x230;8 250 руб.;6 750 руб.при обмене;≈мкость135ѕусковой ток950ѕол€рностьѕр€ма€“ипоразмер513х189х230√аранти€ производител€12 мес.;https://akb.ru//product/1044-Black_Horse_135_rus_950A_513x190x230.html
Black Horse 190 рус 1250A 513х223х223;11 050 руб.;8 850 руб.при обмене;≈мкость190ѕусковой ток1250ѕол€рностьѕр€ма€“ипоразмер513x223x223√аранти€ производител€12 мес.;https://akb.ru//product/1043-Black_Horse_190_rus_1250A_513h223h223.html
Black Horse 190 евро 1250A 513х223х223;11 400 руб.;9 200 руб.при обмене;≈мкость190ѕусковой ток1250ѕол€рностьќбратна€“ипоразмер513x223x223√аранти€ производител€12 мес.;https://akb.ru//product/865-Black_Horse_190_evro_1250A_513h223h223.html
Black Horse 225 евро 1350A 518х273х240;12 550 руб.;10 050 руб.при обмене;≈мкость225ѕусковой ток1350ѕол€рностьќбратна€“ипоразмер518x273x240√аранти€ производител€12 мес.;https://akb.ru//product/866-Black_Horse_225_evro_1350A_518h273h240.html
