Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
Hankook 44B19R (40L 370 187x127x227);4 050 руб.;3 550 руб.при обмене;≈мкость40ѕусковой ток370ѕол€рностьѕр€ма€“ипоразмер187x127x227√аранти€ производител€24 мес.;https://akb.ru//product/729-Hankook_44B19R_(40L_370_187x127x227).html
Hankook 46B19R (40L 370 187x127x227);4 250 руб.;3 750 руб.при обмене;≈мкость40ѕусковой ток370ѕол€рностьѕр€ма€“ипоразмер187x127x227√аранти€ производител€24 мес.;https://akb.ru//product/1042-Hankook_46B19R_(40L_370_187x127x227).html
Hankook 46B19L (40R 370 187x127x227);4 250 руб.;3 750 руб.при обмене;≈мкость40ѕусковой ток370ѕол€рностьќбратна€“ипоразмер187x127x227√аранти€ производител€24 мес.;https://akb.ru//product/1274-Hankook_46B19L_(40R_370_187x127x227).html
Hankook 55B24LS (45R 430 238x129x227);4 350 руб.;3 850 руб.при обмене;≈мкость45ѕусковой ток430ѕол€рностьќбратна€“ипоразмер238x129x227√аранти€ производител€24 мес.;https://akb.ru//product/719-Hankook_55B24LS_(45R_430_238x129x227).html
Hankook 55B24RS (45L 430 238x129x227);4 350 руб.;3 850 руб.при обмене;≈мкость45ѕусковой ток430ѕол€рностьѕр€ма€“ипоразмер238x129x227√аранти€ производител€24 мес.;https://akb.ru//product/784-Hankook_55B24RS_(45L_430_238x129x227).html
Hankook 55B24L (45R 430 238x129x227);4 350 руб.;3 850 руб.при обмене;≈мкость45ѕусковой ток430ѕол€рностьќбратна€“ипоразмер238x129x227√аранти€ производител€24 мес.;https://akb.ru//product/17200-Hankook_55B24L_(45R_430_238x129x227).html
Hankook 60B24R (48L 460 238x129x227);4 450 руб.;3 950 руб.при обмене;≈мкость48ѕусковой ток460ѕол€рностьѕр€ма€“ипоразмер238x129x227√аранти€ производител€24 мес.;https://akb.ru//product/714-Hankook_60B24R_(48L_460_238x129x227).html
Hankook 55B24L (45R 430 238x129x227) переходник;4 450 руб.;3 950 руб.при обмене;≈мкость45ѕусковой ток430ѕол€рностьќбратна€“ипоразмер238x129x227√аранти€ производител€24 мес.;https://akb.ru//product/91671-Hankook_55B24L_(45R_430_238x129x227)_perehodnik.html
Hankook 65B24L (52R 480 238x129x227);4 900 руб.;4 400 руб.при обмене;≈мкость52ѕусковой ток480ѕол€рностьќбратна€“ипоразмер238x129x227√аранти€ производител€24 мес.;https://akb.ru//product/2602-Hankook_65B24L_(52R_480_238x129x227).html
Hankook 55565 (55L 480A 242х174х190);5 000 руб.;4 300 руб.при обмене;≈мкость55ѕусковой ток480ѕол€рностьѕр€ма€“ипоразмер242x174x190√аранти€ производител€24 мес.;https://akb.ru//product/26271-Hankook_55565_(55L_480A_242h174h190).html
Hankook 65B24L (52R 480 238x129x227) переходник;5 000 руб.;4 500 руб.при обмене;≈мкость52ѕусковой ток480ѕол€рностьќбратна€“ипоразмер238x129x227√аранти€ производител€24 мес.;https://akb.ru//product/91669-Hankook_65B24L_(52R_480_238x129x227)_perehodnik.html
Hankook 56030 (60R 480A 242х174х190);5 200 руб.;4 500 руб.при обмене;≈мкость60ѕусковой ток480ѕол€рностьќбратна€“ипоразмер242x174x190√аранти€ производител€24 мес.;https://akb.ru//product/429-Hankook_56030_(60R_480A_242h174h190).html
Hankook 56031 (60L 480A 242х174х190);5 200 руб.;4 500 руб.при обмене;≈мкость60ѕусковой ток480ѕол€рностьѕр€ма€“ипоразмер242x174x190√аранти€ производител€24 мес.;https://akb.ru//product/430-Hankook_56031_(60L_480A_242h174h190).html
Hankook 56077 (60R 510A 242х174х174);5 200 руб.;4 500 руб.при обмене;≈мкость60ѕусковой ток510ѕол€рностьќбратна€“ипоразмер242x174x174√аранти€ производител€24 мес.;https://akb.ru//product/431-Hankook_56077_(60R_510A_242h174h174).html
Hankook 50D20R (50L 450A 206x172x205);5 450 руб.;4 950 руб.при обмене;≈мкость50ѕусковой ток450ѕол€рностьѕр€ма€“ипоразмер206x172x205√аранти€ производител€24 мес.;https://akb.ru//product/419-Hankook_50D20R_(50L_450A_206x172x205).html
Hankook 50D20L (50R 450 206x172x205);5 450 руб.;4 950 руб.при обмене;≈мкость50ѕусковой ток450ѕол€рностьќбратна€“ипоразмер206x172x205√аранти€ производител€24 мес.;https://akb.ru//product/420-Hankook_50D20L_(50R_450_206x172x205).html
Hankook 26-550 (60L 550A 206х172х205);5 600 руб.;4 900 руб.при обмене;≈мкость60ѕусковой ток550ѕол€рностьѕр€ма€“ипоразмер206x172x205√аранти€ производител€24 мес.;https://akb.ru//product/428-Hankook_26-550_(60L_550A_206h172h205).html
Hankook 26R-550 (60R 550A 206х172х205);5 600 руб.;4 900 руб.при обмене;≈мкость60ѕусковой ток550ѕол€рностьќбратна€“ипоразмер206x172x205√аранти€ производител€24 мес.;https://akb.ru//product/466-Hankook_26R-550_(60R_550A_206h172h205).html
Hankook 85-550 (60R 550 230x172x204);5 700 руб.;5 000 руб.при обмене;≈мкость60ѕусковой ток550ѕол€рностьќбратна€“ипоразмер230x172x204√аранти€ производител€24 мес.;https://akb.ru//product/771-Hankook_85-550_(60R_550_230x172x204).html
Hankook 85R-550 (60L 550 230x172x204);5 700 руб.;5 000 руб.при обмене;≈мкость60ѕусковой ток550ѕол€рностьѕр€ма€“ипоразмер230x172x204√аранти€ производител€24 мес.;https://akb.ru//product/773-Hankook_85R-550_(60L_550_230x172x204).html
Alphaline Standard 80D26R 70L 600A 262x175x226;5 700 руб.;4 900 руб.при обмене;≈мкость70ѕусковой ток600ѕол€рностьѕр€ма€“ипоразмер262x175x226√аранти€ производител€24 мес.;https://akb.ru//product/91266-Alphaline_Standard_80D26R_70L_600A_262x175x226.html
Hankook 75D23L (65R 580ј 229х172х225);6 000 руб.;5 300 руб.при обмене;≈мкость65ѕусковой ток580ѕол€рностьќбратна€“ипоразмер229x172x225√аранти€ производител€24 мес.;https://akb.ru//product/421-Hankook_75D23L_(65R_580A_229h172h225).html
Hankook 75D23R (65L 580ј 229х172х225);6 000 руб.;5 300 руб.при обмене;≈мкость65ѕусковой ток580ѕол€рностьѕр€ма€“ипоразмер229x172x225√аранти€ производител€24 мес.;https://akb.ru//product/772-Hankook_75D23R_(65L_580A_229h172h225).html
Hankook 85D23L (68R 600ј 229х172х225);6 300 руб.;5 500 руб.при обмене;≈мкость68ѕусковой ток600ѕол€рностьќбратна€“ипоразмер229x172x225√аранти€ производител€24 мес.;https://akb.ru//product/712-Hankook_85D23L_(68R_600A_229h172h225).html
Hankook 80D26L (70R 600A 260х173х225);6 300 руб.;5 500 руб.при обмене;≈мкость70ѕусковой ток600ѕол€рностьќбратна€“ипоразмер260x173x225√аранти€ производител€24 мес.;https://akb.ru//product/727-Hankook_80D26L_(70R_600A_260h173h225).html
Hankook 80D26R (70L 600A 260х173х225);6 300 руб.;5 500 руб.при обмене;≈мкость70ѕусковой ток600ѕол€рностьѕр€ма€“ипоразмер260x173x225√аранти€ производител€24 мес.;https://akb.ru//product/770-Hankook_80D26R_(70L_600A_260h173h225).html
Hankook 57113 (72R 640A 278х175х175);6 400 руб.;5 600 руб.при обмене;≈мкость72ѕусковой ток640ѕол€рностьќбратна€“ипоразмер278x175x175√аранти€ производител€24 мес.;https://akb.ru//product/716-Hankook_57113_(72R_640A_278h175h175).html
Hankook 57412 (74R 680A 278х174х190);6 500 руб.;5 700 руб.при обмене;≈мкость74ѕусковой ток680ѕол€рностьќбратна€“ипоразмер278x174x190√аранти€ производител€24 мес.;https://akb.ru//product/432-Hankook_57412_(74R_680A_278h174h190).html
Hankook 57413 (74L 680A 278х174х190);6 500 руб.;5 700 руб.при обмене;≈мкость74ѕусковой ток680ѕол€рностьѕр€ма€“ипоразмер278x174x190√аранти€ производител€24 мес.;https://akb.ru//product/728-Hankook_57413_(74L_680A_278h174h190).html
Hankook 90D26R (72L 630A 260х173х225);6 800 руб.;6 000 руб.при обмене;≈мкость72ѕусковой ток630ѕол€рностьѕр€ма€“ипоразмер260x173x225√аранти€ производител€24 мес.;https://akb.ru//product/422-Hankook_90D26R_(72L_630A_260h173h225).html
Hankook 90D26L (72R 630A 260х173х225);6 800 руб.;6 000 руб.при обмене;≈мкость72ѕусковой ток630ѕол€рностьќбратна€“ипоразмер260x173x225√аранти€ производител€24 мес.;https://akb.ru//product/423-Hankook_90D26L_(72R_630A_260h173h225).html
Hankook 95D26FL (80R 700A 700х173х225);7 000 руб.;6 100 руб.при обмене;≈мкость80ѕусковой ток700ѕол€рностьќбратна€“ипоразмер260x173x225√аранти€ производител€24 мес.;https://akb.ru//product/27770-Hankook_95D26FL_(80R_700A_700h173h225).html
Hankook 95D26FR (80L 700A 260x173x225);7 000 руб.;6 100 руб.при обмене;≈мкость80ѕусковой ток700ѕол€рностьѕр€ма€“ипоразмер260x173x225√аранти€ производител€24 мес.;https://akb.ru//product/28271-Hankook_95D26FR_(80L_700A_260x173x225).html
Hankook 105D31R (90L 750A 305х172х225);7 700 руб.;6 700 руб.при обмене;≈мкость90ѕусковой ток750ѕол€рностьѕр€ма€“ипоразмер305x172x225√аранти€ производител€24 мес.;https://akb.ru//product/424-Hankook_105D31R_(90L_750A_305h172h225).html
Hankook 105D31L (90R 750A 305х172х225);7 700 руб.;6 700 руб.при обмене;≈мкость90ѕусковой ток750ѕол€рностьќбратна€“ипоразмер305x172x225√аранти€ производител€24 мес.;https://akb.ru//product/425-Hankook_105D31L_(90R_750A_305h172h225).html
Hankook EFB 90D23L (65R 670ј 232x173x225) Start-Stop;8 400 руб.;7 700 руб.при обмене;≈мкость65ѕусковой ток670ѕол€рностьќбратна€“ипоразмер232x173x225√аранти€ производител€24 мес.;https://akb.ru//product/919-Hankook_EFB_90D23L_(65R_670A_232x173x225)_Start-Stop.html
Hankook 115D31L (95R 830A 305х172х225);8 500 руб.;7 500 руб.при обмене;≈мкость95ѕусковой ток830ѕол€рностьќбратна€“ипоразмер305x172x225√аранти€ производител€24 мес.;https://akb.ru//product/426-Hankook_115D31L_(95R_830A_305h172h225).html
Hankook 115D31R (95L 830A 305х172х225);8 500 руб.;7 500 руб.при обмене;≈мкость95ѕусковой ток830ѕол€рностьѕр€ма€“ипоразмер305x172x225√аранти€ производител€24 мес.;https://akb.ru//product/427-Hankook_115D31R_(95L_830A_305h172h225).html
Hankook 58080 (80R 740A 315х175х175);8 600 руб.;7 700 руб.при обмене;≈мкость80ѕусковой ток740ѕол€рностьќбратна€“ипоразмер315x175x175√аранти€ производител€24 мес.;https://akb.ru//product/467-Hankook_58080_(80R_740A_315h175h175).html
Hankook 118D31FR (100L 850A 305х172х225);8 850 руб.;7 850 руб.при обмене;≈мкость100ѕусковой ток850ѕол€рностьѕр€ма€“ипоразмер305x172x225√аранти€ производител€24 мес.;https://akb.ru//product/2600-Hankook_118D31FR_(100L_850A_305h172h225).html
Hankook 118D31FL (100R 850A 305х172х225);8 850 руб.;7 850 руб.при обмене;≈мкость100ѕусковой ток850ѕол€рностьќбратна€“ипоразмер305x172x225√аранти€ производител€24 мес.;https://akb.ru//product/2601-Hankook_118D31FL_(100R_850A_305h172h225).html
Hankook EFB 100D26L (68R 730ј 258x173x225) Start-Stop;9 200 руб.;8 400 руб.при обмене;≈мкость68ѕусковой ток730ѕол€рностьќбратна€“ипоразмер258x173x225√аранти€ производител€24 мес.;https://akb.ru//product/918-Hankook_EFB_100D26L_(68R_730A_258x173x225)_Start-Stop.html
Hankook EFB 100D26R (68L 730ј 258x173x225) Start-Stop;9 200 руб.;8 400 руб.при обмене;≈мкость68ѕусковой ток730ѕол€рностьѕр€ма€“ипоразмер258x173x225√аранти€ производител€24 мес.;https://akb.ru//product/26772-Hankook_EFB_100D26R_(68L_730A_258x173x225)_Start-Stop.html
Hankook AGM 65D26R (75L 750A 260х173х225) Start Stop Plus;10 400 руб.;9 600 руб.при обмене;≈мкость75ѕусковой ток750ѕол€рностьѕр€ма€“ипоразмер260x173x225√аранти€ производител€24 мес.;https://akb.ru//product/26270-Hankook_AGM_65D26R_(75L_750A_260h173h225)_Start_Stop_Plus.html
Hankook 31-1000 (190 min 1000 A 330x173x240);10 450 руб.;9 350 руб.при обмене;≈мкость110ѕусковой ток1000ѕол€рностьѕр€ма€“ипоразмер330x173x240√аранти€ производител€24 мес.;https://akb.ru//product/721-Hankook_31-1000_(190_min_1000_A_330x173x240).html
Hankook 31S-1000 (190 min 1000 A 330x173x240);10 450 руб.;9 350 руб.при обмене;≈мкость110ѕусковой ток1000ѕол€рностьѕр€ма€“ипоразмер330x173x240√аранти€ производител€24 мес.;https://akb.ru//product/724-Hankook_31S-1000_(190_min_1000_A_330x173x240).html
