Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
Solite CMF44AL с бортиком (44R 350ј 187x127x219);3 900 руб.;3 400 руб.при обмене;≈мкость44ѕусковой ток350ѕол€рностьќбратна€“ипоразмер187x127x219√аранти€ производител€24 мес.;https://akb.ru//product/453-Solite_CMF44AL_s_bortikom_(44R_350A_187x127x219).html
Solite CMF44AR с бортиком (44L 350ј 187x127x219);3 900 руб.;3 400 руб.при обмене;≈мкость44ѕусковой ток350ѕол€рностьѕр€ма€“ипоразмер187x127x219√аранти€ производител€24 мес.;https://akb.ru//product/597-Solite_CMF44AR_s_bortikom_(44L_350A_187x127x219).html
Solite Silver 55B19L 12V 50Ah 410ј (187x127x219) о/п;4 000 руб.;3 500 руб.при обмене;≈мкость50ѕусковой ток410ѕол€рностьќбратна€“ипоразмер187x127x219√аранти€ производител€24 мес.;https://akb.ru//product/91681-Solite_Silver_55B19L_12V_50Ah_410A_(187x127x219)_op.html
Solite Silver 55B19R 12V 50Ah 410ј (187x127x219) п/п;4 000 руб.;3 500 руб.при обмене;≈мкость50ѕусковой ток410ѕол€рностьѕр€ма€“ипоразмер187x127x219√аранти€ производител€24 мес.;https://akb.ru//product/91683-Solite_Silver_55B19R_12V_50Ah_410A_(187x127x219)_pp.html
Solite 65B24LS (50R 470A 236x128x220);4 300 руб.;3 800 руб.при обмене;≈мкость50ѕусковой ток470ѕол€рностьќбратна€“ипоразмер236x128x220√аранти€ производител€24 мес.;https://akb.ru//product/238-Solite_65B24LS_(50R_470A_236x128x220).html
Solite 65B24L (50R 470A 236x128x220);4 300 руб.;3 800 руб.при обмене;≈мкость50ѕусковой ток470ѕол€рностьќбратна€“ипоразмер236x128x220√аранти€ производител€24 мес.;https://akb.ru//product/509-Solite_65B24L_(50R_470A_236x128x220).html
Solite 65B24R (50L 470A 236x128x220);4 300 руб.;3 800 руб.при обмене;≈мкость50ѕусковой ток470ѕол€рностьѕр€ма€“ипоразмер236x128x220√аранти€ производител€24 мес.;https://akb.ru//product/91640-Solite_65B24R_(50L_470A_236x128x220).html
Solite CMF 50 AL (50R 470ј 206x172x184);4 700 руб.;4 200 руб.при обмене;≈мкость50ѕусковой ток470ѕол€рностьќбратна€“ипоразмер206x172x184√аранти€ производител€24 мес.;https://akb.ru//product/331-Solite_CMF_50_AL_(50R_470A_206x172x184).html
Solite CMF 50 AR (50L 470ј 206x172x184);4 700 руб.;4 200 руб.при обмене;≈мкость50ѕусковой ток470ѕол€рностьѕр€ма€“ипоразмер206x172x184√аранти€ производител€24 мес.;https://akb.ru//product/332-Solite_CMF_50_AR_(50L_470A_206x172x184).html
Solite Silver 70B24L (59R 520ј 236x128x220);4 900 руб.;4 200 руб.при обмене;≈мкость59ѕусковой ток520ѕол€рностьќбратна€“ипоразмер236x128x220√аранти€ производител€24 мес.;https://akb.ru//product/456-Solite_Silver_70B24L_(59R_520A_236x128x220).html
Solite Silver 70B24R (59L 520ј 236x128x220);4 900 руб.;4 200 руб.при обмене;≈мкость59ѕусковой ток520ѕол€рностьѕр€ма€“ипоразмер236x128x220√аранти€ производител€24 мес.;https://akb.ru//product/457-Solite_Silver_70B24R_(59L_520A_236x128x220).html
Solite Silver 70B24L (59R 520ј 236x128x220) переходник;5 000 руб.;4 300 руб.при обмене;≈мкость59ѕусковой ток520ѕол€рностьќбратна€“ипоразмер236x128x220√аранти€ производител€24 мес.;https://akb.ru//product/91668-Solite_Silver_70B24L_(59R_520A_236x128x220)_perehodnik.html
Solite CMF 26-550 (60L 550ј 206x172x205);5 450 руб.;4 750 руб.при обмене;≈мкость60ѕусковой ток550ѕол€рностьѕр€ма€“ипоразмер206x172x205√аранти€ производител€24 мес.;https://akb.ru//product/788-Solite_CMF_26-550_(60L_550A_206x172x205).html
Solite CMF 26R-550 (60R 550ј 206x172x205);5 450 руб.;4 750 руб.при обмене;≈мкость60ѕусковой ток550ѕол€рностьќбратна€“ипоразмер206x172x205√аранти€ производител€24 мес.;https://akb.ru//product/789-Solite_CMF_26R-550_(60R_550A_206x172x205).html
SOLITE 56219 (62R 600ј 242x174x189);5 600 руб.;4 900 руб.при обмене;≈мкость62ѕусковой ток600ѕол€рностьќбратна€“ипоразмер242x174x189√аранти€ производител€24 мес.;https://akb.ru//product/407-SOLITE_56219_(62R_600A_242x174x189).html
SOLITE 56040 (60R 590ј 242x175x175);5 700 руб.;5 000 руб.при обмене;≈мкость60ѕусковой ток590ѕол€рностьќбратна€“ипоразмер242x175x175√аранти€ производител€24 мес.;https://akb.ru//product/633-SOLITE_56040_(60R_590A_242x175x175).html
Solite 75D23L с бортиком (65R 550A 230x168x210);5 750 руб.;5 050 руб.при обмене;≈мкость65ѕусковой ток550ѕол€рностьќбратна€“ипоразмер230x168x210√аранти€ производител€24 мес.;https://akb.ru//product/1437-Solite_75D23L_s_bortikom_(65R_550A_230x168x210).html
