Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
Space Asia 65B24L (55R 480A 238x129x225);4 400 руб.;3 700 руб.при обмене;≈мкость55ѕусковой ток480ѕол€рностьќбратна€“ипоразмер238x129x225√аранти€ производител€48 мес.;https://akb.ru//product/91234-Space_Asia_65B24L_(55R_480A_238x129x225).html
Space 6—“-55VLA 12V 55Aч о.п. 500A (207x175x190) ca/ca (к);4 600 руб.;3 900 руб.при обмене;≈мкость55ѕусковой ток500ѕол€рностьќбратна€“ипоразмер207x175x190√аранти€ производител€48 мес.;https://akb.ru//product/91740-Space_6ST-55VLA_12V_55Ach_op_500A_(207x175x190)_caca_(k).html
Space Asia 65D23L (60R 530A 232x173x225);5 100 руб.;4 400 руб.при обмене;≈мкость60ѕусковой ток530ѕол€рностьќбратна€“ипоразмер232x173x225√аранти€ производител€48 мес.;https://akb.ru//product/91376-Space_Asia_65D23L_(60R_530A_232x173x225).html
Space 6—“-62VLA 12V 62јч о/п низкий 600ј (242x175x175) ca/ca;5 200 руб.;4 500 руб.при обмене;≈мкость62ѕусковой ток600ѕол€рностьќбратна€“ипоразмер242x175x175√аранти€ производител€48 мес.;https://akb.ru//product/91225-Space_6ST-62VLA_12V_62Ach_op_nizkiy_600A_(242x175x175)_caca.html
Space 6—“-65VLA 12V 65јч п/п 650ј (242x175x190) ca/ca;5 450 руб.;4 750 руб.при обмене;≈мкость65ѕусковой ток650ѕол€рностьѕр€ма€“ипоразмер242x175x190√аранти€ производител€48 мес.;https://akb.ru//product/91649-Space_6ST-65VLA_12V_65Ach_pp_650A_(242x175x190)_caca.html
Space 6—“-65VLA 12V 65јч о/п 650ј (242x175x190) ca/ca;5 450 руб.;4 750 руб.при обмене;≈мкость65ѕусковой ток650ѕол€рностьќбратна€“ипоразмер242x175x190√аранти€ производител€48 мес.;https://akb.ru//product/91652-Space_6ST-65VLA_12V_65Ach_op_650A_(242x175x190)_caca.html
Space Asia 75D23L (65R 590A 232x173x225);5 500 руб.;4 800 руб.при обмене;≈мкость65ѕусковой ток590ѕол€рностьќбратна€“ипоразмер232x173x225√аранти€ производител€48 мес.;https://akb.ru//product/91235-Space_Asia_75D23L_(65R_590A_232x173x225).html
Space Asia 85D26L (70R 650A 261x173x225);5 950 руб.;5 150 руб.при обмене;≈мкость70ѕусковой ток650ѕол€рностьќбратна€“ипоразмер261x173x225√аранти€ производител€48 мес.;https://akb.ru//product/91236-Space_Asia_85D26L_(70R_650A_261x173x225).html
Space Asia 90D26L (75R 700A 261x173x225);5 950 руб.;5 150 руб.при обмене;≈мкость75ѕусковой ток700ѕол€рностьќбратна€“ипоразмер261x173x225√аранти€ производител€48 мес.;https://akb.ru//product/91377-Space_Asia_90D26L_(75R_700A_261x173x225).html
Space Asia 90D26R (75L 700A 261x173x225);5 950 руб.;5 150 руб.при обмене;≈мкость75ѕусковой ток700ѕол€рностьѕр€ма€“ипоразмер261x173x225√аранти€ производител€48 мес.;https://akb.ru//product/91378-Space_Asia_90D26R_(75L_700A_261x173x225).html
Space Asia 105D26L (80R 750A 260x173x225);6 900 руб.;6 000 руб.при обмене;≈мкость80ѕусковой ток750ѕол€рностьќбратна€“ипоразмер260x173x225√аранти€ производител€48 мес.;https://akb.ru//product/91226-Space_Asia_105D26L_(80R_750A_260x173x225).html
Space Asia 105D26R (80L 750A 260x173x225);6 900 руб.;6 000 руб.при обмене;≈мкость80ѕусковой ток750ѕол€рностьѕр€ма€“ипоразмер260x173x225√аранти€ производител€48 мес.;https://akb.ru//product/91227-Space_Asia_105D26R_(80L_750A_260x173x225).html
Space Asia 135D31L (110R 870A 306x173x225);8 900 руб.;7 800 руб.при обмене;≈мкость110ѕусковой ток870ѕол€рностьќбратна€“ипоразмер306x173x225√аранти€ производител€24 мес.;https://akb.ru//product/91230-Space_Asia_135D31L_(110R_870A_306x173x225).html
Space Asia 135D31R (110L 870A 306x173x225);8 900 руб.;7 800 руб.при обмене;≈мкость110ѕусковой ток870ѕол€рностьѕр€ма€“ипоразмер306x173x225√аранти€ производител€24 мес.;https://akb.ru//product/91231-Space_Asia_135D31R_(110L_870A_306x173x225).html
