Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
Storm Gold 62R низкий 640A 242x175x175;5 050 руб.;4 350 руб.при обмене;≈мкость62ѕусковой ток640ѕол€рностьќбратна€“ипоразмер242x175x175√аранти€ производител€24 мес.;https://akb.ru//product/252-Storm_Gold_62R_nizkiy_640A_242x175x175.html
Storm Asia 60R с бортиком 520A 232x173x225;5 200 руб.;4 500 руб.при обмене;≈мкость60ѕусковой ток520ѕол€рностьќбратна€“ипоразмер232x173x225√аранти€ производител€24 мес.;https://akb.ru//product/1442-Storm_Asia_60R_s_bortikom_520A_232x173x225.html
Storm Professional Power 85R низкий 850A 315x175x175;6 700 руб.;5 800 руб.при обмене;≈мкость85ѕусковой ток850ѕол€рностьќбратна€“ипоразмер315x175x175√аранти€ производител€24 мес.;https://akb.ru//product/372-Storm_Professional_Power_85R_nizkiy_850A_315x175x175.html
Storm Gold 78R низкий 750A 278x175x175;6 850 руб.;6 050 руб.при обмене;≈мкость78ѕусковой ток750ѕол€рностьќбратна€“ипоразмер278x175x175√аранти€ производител€24 мес.;https://akb.ru//product/501-Storm_Gold_78R_nizkiy_750A_278x175x175.html
Storm Asia 100R 800A 306x173x225;7 150 руб.;6 150 руб.при обмене;≈мкость100ѕусковой ток800ѕол€рностьќбратна€“ипоразмер306x173x225√аранти€ производител€24 мес.;https://akb.ru//product/614-Storm_Asia_100R_800A_306x173x225.html
Storm Asia 100L 800A 306x173x225;7 150 руб.;6 150 руб.при обмене;≈мкость100ѕусковой ток800ѕол€рностьѕр€ма€“ипоразмер306x173x225√аранти€ производител€24 мес.;https://akb.ru//product/615-Storm_Asia_100L_800A_306x173x225.html
Storm Gold 100R низкий 950A 353x175x175;7 650 руб.;6 650 руб.при обмене;≈мкость100ѕусковой ток950ѕол€рностьќбратна€“ипоразмер353x175x175√аранти€ производител€24 мес.;https://akb.ru//product/249-Storm_Gold_100R_nizkiy_950A_353x175x175.html
Storm Professional Power 110R 1000A 353x175x190;7 650 руб.;6 550 руб.при обмене;≈мкость110ѕусковой ток1000ѕол€рностьќбратна€“ипоразмер353x175x190√аранти€ производител€24 мес.;https://akb.ru//product/2589-Storm_Professional_Power_110R_1000A_353x175x190.html
Storm Gold 110R 1000A 353x175x190;8 600 руб.;7 500 руб.при обмене;≈мкость110ѕусковой ток1000ѕол€рностьќбратна€“ипоразмер353x175x190√аранти€ производител€24 мес.;https://akb.ru//product/337-Storm_Gold_110R_1000A_353x175x190.html
Storm Asia 125L 1100A 350x175x230;8 800 руб.;7 700 руб.при обмене;≈мкость125ѕусковой ток1100ѕол€рностьѕр€ма€“ипоразмер350x175x230√аранти€ производител€24 мес.;https://akb.ru//product/1438-Storm_Asia_125L_1100A_350x175x230.html
Storm Asia 125R 1100A 350x175x230;8 800 руб.;7 700 руб.при обмене;≈мкость125ѕусковой ток1100ѕол€рностьќбратна€“ипоразмер350x175x230√аранти€ производител€24 мес.;https://akb.ru//product/1439-Storm_Asia_125R_1100A_350x175x230.html
Storm Professional Power 190 евро 1250A 513х223х223;14 200 руб.;12 000 руб.при обмене;≈мкость190ѕусковой ток1250ѕол€рностьќбратна€“ипоразмер513x223x223√аранти€ производител€12 мес.;https://akb.ru//product/246-Storm_Professional_Power_190_evro_1250A_513h223h223.html
Storm Professional Power 230 евро 1500A 518x273x240;16 600 руб.;14 100 руб.при обмене;≈мкость230ѕусковой ток1500ѕол€рностьќбратна€“ипоразмер518x273x240√аранти€ производител€12 мес.;https://akb.ru//product/451-Storm_Professional_Power_230_evro_1500A_518x273x240.html
