Название;Цена;При обмене;Характеристика;Ссылка
Скат 60L 500А (242x175x190);2 200 руб.;1 500 руб.при обмене;Емкость60Пусковой ток500ПолярностьПрямаяТипоразмер242x175x190Гарантия производителя6 мес.;https://akb.ru//product/56869-Skat_60L_500A_(242x175x190).html
Скат 60R 500А (242x175x190);2 200 руб.;1 500 руб.при обмене;Емкость60Пусковой ток500ПолярностьОбратнаяТипоразмер242x175x190Гарантия производителя6 мес.;https://akb.ru//product/56870-Skat_60R_500A_(242x175x190).html
Скат 75L 600А (278x175x190);3 100 руб.;2 300 руб.при обмене;Емкость75Пусковой ток600ПолярностьПрямаяТипоразмер278x175x190Гарантия производителя6 мес.;https://akb.ru//product/56871-Skat_75L_600A_(278x175x190).html
Скат 75R 600А (278x175x190);3 100 руб.;2 300 руб.при обмене;Емкость75Пусковой ток600ПолярностьОбратнаяТипоразмер278x175x190Гарантия производителя6 мес.;https://akb.ru//product/56872-Skat_75R_600A_(278x175x190).html
Скат 100L 760А (353x175x190);4 000 руб.;3 000 руб.при обмене;Емкость100Пусковой ток760ПолярностьПрямаяТипоразмер353x175x190Гарантия производителя6 мес.;https://akb.ru//product/56873-Skat_100L_760A_(353x175x190).html
Скат 100R 760А (353x175x190);4 100 руб.;3 100 руб.при обмене;Емкость100Пусковой ток760ПолярностьОбратнаяТипоразмер353x175x190Гарантия производителя6 мес.;https://akb.ru//product/56874-Skat_100R_760A_(353x175x190).html
Скат 132 евро 850А (513x189x217);5 900 руб.;4 400 руб.при обмене;Емкость132Пусковой ток850ПолярностьОбратнаяТипоразмер513x189x217Гарантия производителя6 мес.;https://akb.ru//product/56875-Skat_132_evro_850A_(513x189x217).html
Скат 132 рус 850А (513x189x217);5 900 руб.;4 400 руб.при обмене;Емкость132Пусковой ток850ПолярностьПрямаяТипоразмер513x189x217Гарантия производителя6 мес.;https://akb.ru//product/56876-Skat_132_rus_850A_(513x189x217).html
Скат 190 рус 1200А (524x239x240) униклемма (болт и конус);6 900 руб.;4 700 руб.при обмене;Емкость190Пусковой ток1200ПолярностьПрямаяТипоразмер524x239x240Гарантия производителя6 мес.;https://akb.ru//product/91244-Skat_190_rus_1200A_(524x239x240)_uniklemma_(bolt_i_konus).html
Скат 190 евро 1200А (524x239x240);7 100 руб.;4 900 руб.при обмене;Емкость190Пусковой ток1200ПолярностьОбратнаяТипоразмер524x239x240Гарантия производителя6 мес.;https://akb.ru//product/56877-Skat_190_evro_1200A_(524x239x240).html
Скат 190 рус 1200А (524x239x240) конус;7 300 руб.;5 100 руб.при обмене;Емкость190Пусковой ток1200ПолярностьПрямаяТипоразмер524x239x240Гарантия производителя6 мес.;https://akb.ru//product/91304-Skat_190_rus_1200A_(524x239x240)_konus.html
Скат 225 рус 1500A 518x276x242;10 500 руб.;8 000 руб.при обмене;Емкость225Пусковой ток1500ПолярностьПрямаяТипоразмер518x276x242Гарантия производителя6 мес.;https://akb.ru//product/91243-Skat_225_rus_1500A_518x276x242.html
