Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
јккумул€тор ODYSSEY PC545 12V 13A;7650руб.;7450руб.;≈мкость: 13 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 178x86x131√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-odyssey-pc545-12v-13a-178h86h131.html
јккумул€тор ODYSSEY PC680 12V 16A;8550руб.;8350руб.;≈мкость: 16 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 184x79x192√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-odyssey-pc680-12v-16a-184h79h192.html
јккумул€тор ODYSSEY PC625 12V 18A;10800руб.;10600руб.;≈мкость: 18 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 170x99x176√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-odyssey-pc625-12v-18a-170h99h176.html
јккумул€тор ODYSSEY PC310 12V 8A;11250руб.;11150руб.;≈мкость: 8 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 138x86x99√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-odyssey-pc310-12v-8a-138h86h99.html
јккумул€тор ODYSSEY PC2250 12V 126A;12700руб.29900;11100руб.;≈мкость: 126 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 286x269x233√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-odyssey-pc2250-12v-126a-286h269h233.html
јккумул€тор ODYSSEY PC535 12V 14A;13400руб.;13200руб.;≈мкость: 14 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 99x158x5√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-odyssey-pc535-12v-14a-99h158h5.html
јккумул€тор ODYSSEY PC370 12V 15A;13850руб.;13650руб.;≈мкость: 15 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 200x77x140√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-odyssey-pc370-12v-15a-200h77h140.html
јккумул€тор ODYSSEY PC950 12V 34A;14250руб.;13850руб.;≈мкость: 34 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 250x97x156√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-odyssey-pc950-12v-34a-250h97h156.html
јккумул€тор ODYSSEY PC1100 12V 45A;15400руб.;14900руб.;≈мкость: 45 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 250x97x206√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-odyssey-pc1100-12v-45a-250h97h206.html
јккумул€тор ODYSSEY PC925 12V 28A;15450руб.;15050руб.;≈мкость: 28 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 168x179x148√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-odyssey-pc925-12v-28a-168h179h148.html
