Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
јккумул€тор TROJAN U1-AGM 12V 33A;14300руб.;13900руб.;≈мкость: 33 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 198x138x171√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-u1-agm-12v-33a-198h138h171.html
јккумул€тор TROJAN S-875 8V 165A;15300руб.;14200руб.;≈мкость: 165 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 259x180x272√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-s-875-8v-165a-259h180h272.html
јккумул€тор TROJAN S-105 6V 215A;16300руб.;15300руб.;≈мкость: 215 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 262x181x273√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-s-105-6v-215a-262h181h273.html
јккумул€тор TROJAN DC-8V 8V 160A;16400руб.;15400руб.;≈мкость: 160 јчЌоминальное напр€жение: 8 ¬ѕол€рность:”ниверсальна€√абариты: 259x181x283√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-dc-8v-8v-160a-259h181h283.html
јккумул€тор TROJAN 24TMX 12V 85A;17200руб.;16400руб.;≈мкость: 85 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 277x168x235√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-24tmx-12v-85a-277h168h235.html
јккумул€тор TROJAN T605 6V 210A;17300руб.;16300руб.;≈мкость: 210 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 262x181x281√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-t605-6v-210a-262h181h281.html
јккумул€тор TROJAN SCS150 12V 100A;18000руб.;17200руб.;≈мкость: 100 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 286x171x248√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-scs150-12v-100a-286h171h248.html
јккумул€тор TROJAN T-875 8V 170A;18200руб.;17200руб.;≈мкость: 170 јчЌоминальное напр€жение: 8 ¬ѕол€рность:”ниверсальна€√абариты: 264x181x276√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-t-875-8v-170a-264h181h276.html
јккумул€тор TROJAN 27TMX 12V 105A;19200руб.;18200руб.;≈мкость: 105 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 323x168x235√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-27tmx-12v-105a-323h168h235.html
јккумул€тор TROJAN T105 6V 225A;19600руб.;18600руб.;≈мкость: 225 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 262x181x281√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-t105-6v-225a-262h181h281.html
јккумул€тор TROJAN T105 RE 6V 225A;19600руб.;18400руб.;≈мкость: 225 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 264x181x299√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-t105-re-6v-225a-264h181h299.html
јккумул€тор TROJAN SCS200 12V 115A;20400руб.;19400руб.;≈мкость: 115 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 324x171x248√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-scs200-12v-115a-324h171h248.html
јккумул€тор TROJAN 27TMH 12V 115A;21500руб.;20500руб.;≈мкость: 115 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 323x168x235√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-27tmh-12v-115a-323h168h235.html
јккумул€тор TROJAN SPRE 06 225 6V 225A;21700руб.;20500руб.;≈мкость: 225 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 264x181x299√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-spre-06-225-6v-225a-264h181h299.html
јккумул€тор TROJAN SCS225 12V 130A;21700руб.;20500руб.;≈мкость: 130 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 355x171x251√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-scs225-12v-130a-355h171h251.html
јккумул€тор TROJAN T125 6V 240A;22200руб.;21000руб.;≈мкость: 240 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 262x181x281√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-t125-6v-240a-262h181h281.html
јккумул€тор TROJAN TE35 6V 245A;22200руб.;21000руб.;≈мкость: 245 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 244x191x269√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-te35-6v-245a-244h191h269.html
јккумул€тор TROJAN T-890 8V 190A;22200руб.;21000руб.;≈мкость: 190 јчЌоминальное напр€жение: 8 ¬ѕол€рность:”ниверсальна€√абариты: 264x181x276√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-t-890-8v-190a-264h181h276.html
јккумул€тор TROJAN S-1275 12V 145A;23000руб.;21600руб.;≈мкость: 145 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 329x181x272√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-s-1275-12v-145a-329h181h272.html
јккумул€тор TROJAN Ranger 160 8V 204A;24100руб.;22900руб.;≈мкость: 204 јчЌоминальное напр€жение: 8 ¬ѕол€рность:”ниверсальна€√абариты: 264x181x298√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-ranger-160-8v-204a-264h181h298.html
јккумул€тор TROJAN J250G 6V 235A;24200руб.;23000руб.;≈мкость: 235 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 309x174x290√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-j250g-6v-235a-309h174h290.html
јккумул€тор TROJAN 30XHS 12V 130A;24400руб.;23200руб.;≈мкость: 130 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 355x171x256√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-30xhs-12v-130a-355h171h256.html
јккумул€тор TROJAN 31XHS 12V 130A;24400руб.;23200руб.;≈мкость: 130 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 329x171x243√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-31xhs-12v-130a-329h171h243.html
јккумул€тор TROJAN OverDriveAGM31 12V 102A;24900руб.;23700руб.;≈мкость: 102 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 329x174x237√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-overdriveagm31-12v-102a-329h174h237.html
јккумул€тор TROJAN 22-AGM 12V 50A;25100руб.;24500руб.;≈мкость: 50 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 228x139x204√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-22-agm-12v-50a-228h139h204.html
јккумул€тор TROJAN 6V-AGM 6V 200A;25200руб.;24200руб.;≈мкость: 200 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 260x181x276√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-6v-agm-6v-200a-260h181h274.html
јккумул€тор TROJAN S-305 6V 295A;26400руб.;24900руб.;≈мкость: 295 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 312x174x366√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-s-305-6v-295a-314h174h366.html
