Название;Цена;При обмене;Характеристика;Ссылка
Аккумулятор UNICORN BLACK 60L;2400руб.;1900руб.;Емкость: 60 АчПусковой ток: 500 АПолярность:Прямая [+ -]Габариты: 242x175x190Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-unicorn-black-60l-500a-242x175x190.html
Аккумулятор UNICORN GREY 60L;2900руб.;2400руб.;Емкость: 60 АчПусковой ток: 550 АПолярность:Прямая [+ -]Габариты: 242x175x190Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-unicorn-grey-60l-500a-242x175x190.html
Аккумулятор UNICORN GREY 60R;2900руб.;2400руб.;Емкость: 60 АчПусковой ток: 550 АПолярность:Обратная [- +]Габариты: 242x175x190Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-unicorn-grey-60r-500a-242x175x190.html
Аккумулятор UNICORN BLACK 75R;3400руб.;2800руб.;Емкость: 75 АчПусковой ток: 600 АПолярность:Обратная [- +]Габариты: 278x175x190Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-unicorn-black-75r-600a-278x175x190.html
Аккумулятор UNICORN BLACK 75L;3400руб.;2800руб.;Емкость: 75 АчПусковой ток: 600 АПолярность:Прямая [+ -]Габариты: 278x175x190Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-unicorn-black-75l-600a-278x175x190.html
Аккумулятор UNICORN RED 60R;4100руб.;3600руб.;Емкость: 60 АчПусковой ток: 580 АПолярность:Обратная [- +]Габариты: 242x175x190Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-unicorn-red-60r-580a-242x175x190.html
Аккумулятор UNICORN RED 60L;4100руб.;3600руб.;Емкость: 60 АчПусковой ток: 580 АПолярность:Прямая [+ -]Габариты: 242x175x190Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-unicorn-red-60l-580a-242x175x190.html
Аккумулятор UNICORN GREY 75R;4100руб.;3500руб.;Емкость: 75 АчПусковой ток: 650 АПолярность:Обратная [- +]Габариты: 278x175x190Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-unicorn-grey-75r-600a-278x175x190.html
Аккумулятор UNICORN GREY 75L;4100руб.;3500руб.;Емкость: 75 АчПусковой ток: 650 АПолярность:Прямая [+ -]Габариты: 278x175x190Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-unicorn-grey-75l-600a-278x175x190.html
Аккумулятор UNICORN RED 62L;4300руб.;3800руб.;Емкость: 62 АчПусковой ток: 610 АПолярность:Прямая [+ -]Габариты: 242x175x190Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-unicorn-red-62l-610a-242x175x190.html
Аккумулятор UNICORN RED 62R;4300руб.;3800руб.;Емкость: 62 АчПусковой ток: 610 АПолярность:Обратная [- +]Габариты: 242x175x190Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-unicorn-red-62r-610a-242x175x190.html
Аккумулятор UNICORN GOLD 60R;4500руб.;4000руб.;Емкость: 60 АчПусковой ток: 630 АПолярность:Обратная [- +]Габариты: 242x175x190Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-unicorn-gold-60r-630a-242x175x190.html
Аккумулятор UNICORN GOLD 66R;4800руб.;4300руб.;Емкость: 66 АчПусковой ток: 760 АПолярность:Обратная [- +]Габариты: 242x175x190Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-unicorn-gold-66r-760a-242x175x190.html
Аккумулятор UNICORN RED 75R;5200руб.;4600руб.;Емкость: 75 АчПусковой ток: 710 АПолярность:Обратная [- +]Габариты: 278x175x190Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-unicorn-red-75r-700a-278x175x190.html
Аккумулятор UNICORN RED 75L;5200руб.;4600руб.;Емкость: 75 АчПусковой ток: 710 АПолярность:Прямая [+ -]Габариты: 278x175x190Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-unicorn-red-75l-700a-278x175x190.html
Аккумулятор UNICORN GOLD 77R;6000руб.;5400руб.;Емкость: 77 АчПусковой ток: 850 АПолярность:Обратная [- +]Габариты: 278x175x190Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-unicorn-gold-77r-850a-278x175x190.html
Аккумулятор UNICORN BLACK 132 рус;6300руб.;5300руб.;Емкость: 132 АчПусковой ток: 850 АПолярность:Прямая [- +]Габариты: 513x182x240Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-unicorn-black-132-rus-850a-513x182x240.html
Аккумулятор UNICORN RED 100R;6600руб.;5900руб.;Емкость: 100 АчПусковой ток: 850 АПолярность:Обратная [- +]Габариты: 353x175x190Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-unicorn-red-100r-850a-353x175x190.html
Аккумулятор UNICORN RED 100L;6600руб.;5900руб.;Емкость: 100 АчПусковой ток: 850 АПолярность:Прямая [+ -]Габариты: 353x175x190Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-unicorn-red-100l-850a-353x175x190.html
Аккумулятор UNICORN BLACK 190 рус;7700руб.;6300руб.;Емкость: 190 АчПусковой ток: 1100 АПолярность:Прямая [- +]Габариты: 513x223x217Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-unicorn-black-190-rus-1100a-513h223h217.html
Аккумулятор UNICORN GREY 190 рус;8500руб.;7100руб.;Емкость: 190 АчПусковой ток: 1200 АПолярность:Прямая [- +]Габариты: 513x223x217Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-unicorn-grey-190-rus-1200a-513h223h217.html
Аккумулятор UNICORN RED 190 рус;9900руб.;8500руб.;Емкость: 190 АчПусковой ток: 1300 АПолярность:Прямая [- +]Габариты: 513x223x217Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-unicorn-red-190-rus-1300a-513h223h217.html
Аккумулятор UNICORN RED 190 euro;9900руб.;8500руб.;Емкость: 190 АчПусковой ток: 1300 АПолярность:Обратная [+ -]Габариты: 513x223x217Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-unicorn-red-190-euro-1300a-513h223h217.html
Аккумулятор UNICORN GREY 225 euro;10700руб.;9000руб.;Емкость: 225 АчПусковой ток: 1400 АПолярность:Обратная [+ -]Габариты: 518x278x242Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-unicorn-grey-225-euro-1400a-518x278x242.html
Аккумулятор UNICORN RED 225 euro;11700руб.;10000руб.;Емкость: 225 АчПусковой ток: 1500 АПолярность:Обратная [+ -]Габариты: 518x278x242Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-unicorn-red-225-euro-1500a-518x278x242.html
