Название;Цена;При обмене;Характеристика;Ссылка
Аккумулятор ВОСТОК СК-1205;1000руб.;975руб.;Емкость: 5 АчНоминальное напряжение: 12 ВПолярность:УниверсальнаяГабариты: 90x70x107Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-vostok-sk-1205.html
Аккумулятор ВОСТОК СК-1207;1100руб.;1050руб.;Емкость: 7 АчНоминальное напряжение: 12 ВПолярность:УниверсальнаяГабариты: 151x65x94Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-vostok-sk-1207.html
Аккумулятор ВОСТОК СК-1209;1200руб.;1150руб.;Емкость: 9 АчНоминальное напряжение: 12 ВПолярность:УниверсальнаяГабариты: 151x65x94Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-vostok-sk-1209.html
Аккумулятор ВОСТОК СК-1212;1600руб.;1550руб.;Емкость: 12 АчНоминальное напряжение: 12 ВПолярность:УниверсальнаяГабариты: 151x98x95Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-vostok-sk-1212.html
Аккумулятор ВОСТОК СК-1218;2800руб.;2750руб.;Емкость: 18 АчНоминальное напряжение: 12 ВПолярность:УниверсальнаяГабариты: 181x77x167Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-vostok-sk-1218.html
Аккумулятор ВОСТОК СК-1226;4600руб.;4500руб.;Емкость: 26 АчНоминальное напряжение: 12 ВПолярность:УниверсальнаяГабариты: 175x166x125Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-vostok-sk-1226.html
Аккумулятор ВОСТОК СК-1233;5800руб.;5700руб.;Емкость: 33 АчНоминальное напряжение: 12 ВПолярность:УниверсальнаяГабариты: 195x130x155Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-vostok-sk-1233.html
Аккумулятор ВОСТОК СК-1240;7200руб.;7000руб.;Емкость: 40 АчНоминальное напряжение: 12 ВПолярность:УниверсальнаяГабариты: 198x166x170Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-vostok-sk-1240.html
Аккумулятор ВОСТОК СК-1255;9100руб.;8600руб.;Емкость: 55 АчНоминальное напряжение: 12 ВПолярность:УниверсальнаяГабариты: 239x132x205Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-vostok-sk-1255.html
Аккумулятор ВОСТОК СК-1265;10800руб.;10300руб.;Емкость: 65 АчНоминальное напряжение: 12 ВПолярность:УниверсальнаяГабариты: 350x167x179Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-vostok-sk-1265.html
Аккумулятор ВОСТОК СК-1275;12400руб.;11800руб.;Емкость: 75 АчНоминальное напряжение: 12 ВПолярность:УниверсальнаяГабариты: 258x166x206Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-vostok-sk-1275.html
Аккумулятор ВОСТОК СК-1290;13400руб.;12700руб.;Емкость: 90 АчНоминальное напряжение: 12 ВПолярность:УниверсальнаяГабариты: 306x169x210Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-vostok-sk-1290.html
Аккумулятор ВОСТОК СК-12100;15400руб.;14700руб.;Емкость: 100 АчНоминальное напряжение: 12 ВПолярность:УниверсальнаяГабариты: 330x171x220Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-vostok-sk-12100.html
Аккумулятор ВОСТОК СX-12100 гель;16000руб.;15300руб.;Емкость: 100 АчНоминальное напряжение: 12 ВПолярность:УниверсальнаяГабариты: 330x171x220Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-vostok-sk-12100-gel.html
Аккумулятор ВОСТОК СК-12120;19100руб.;18400руб.;Емкость: 120 АчНоминальное напряжение: 12 ВПолярность:УниверсальнаяГабариты: 410x176x224Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-vostok-sk-12120.html
Аккумулятор ВОСТОК СК-12140;19600руб.;18600руб.;Емкость: 140 АчНоминальное напряжение: 12 ВПолярность:УниверсальнаяГабариты: 342x173x287Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-vostok-sk-12140.html
Аккумулятор ВОСТОК СК-12150;26100руб.;25100руб.;Емкость: 150 АчНоминальное напряжение: 12 ВПолярность:УниверсальнаяГабариты: 482x170x240Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-vostok-sk-12150.html
Аккумулятор ВОСТОК СК-12200;26500руб.;25100руб.;Емкость: 200 АчНоминальное напряжение: 12 ВПолярность:УниверсальнаяГабариты: 522x238x227Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-vostok-sk-12200.html
Аккумулятор ВОСТОК СX-12200 гель;31000руб.;29600руб.;Емкость: 200 АчНоминальное напряжение: 12 ВПолярность:УниверсальнаяГабариты: 522x238x227Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-vostok-sk-12200-gel.html
Аккумулятор ВОСТОК СК-12250;32930руб.;31230руб.;Емкость: 250 АчНоминальное напряжение: 12 ВПолярность:УниверсальнаяГабариты: 520x269x227Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-vostok-sk-12250.html
