Название;Цена;При обмене;Характеристика;Ссылка
Аккумулятор Тюмень Standard 60L;2900руб.;2400руб.;Емкость: 60 АчПусковой ток: 550 АПолярность:Прямая [+ -]Габариты: 242x175x190Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-tyumen-standard-60l-520a-242x175x190.html
Аккумулятор Тюмень Standard 60R;2900руб.;2400руб.;Емкость: 60 АчПусковой ток: 550 АПолярность:Обратная [- +]Габариты: 242x175x190Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-tyumen-standard-60r-520a-242x175x190.html
Аккумулятор Тюмень Standard 62L;3150руб.;2650руб.;Емкость: 62 АчПусковой ток: 580 АПолярность:Прямая [+ -]Габариты: 242x175x190Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-tyumen-standard-62l-550a-242x175x190.html
Аккумулятор Тюмень Standard 62R;3150руб.;2650руб.;Емкость: 62 АчПусковой ток: 580 АПолярность:Обратная [- +]Габариты: 242x175x190Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-tyumen-standard-62r-550a-242x175x190.html
Аккумулятор Тюмень Premium 60R;3200руб.4100;2700руб.;Емкость: 60 АчПусковой ток: 540 АПолярность:Обратная [- +]Габариты: 242x175x175Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-tyumen-premium-60r-510a-242x175x175.html
Аккумулятор Тюмень Premium 64R;3450руб.;2950руб.;Емкость: 64 АчПусковой ток: 620 АПолярность:Обратная [- +]Габариты: 242x175x190Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-tyumen-premium-64r-590a-242x175x190.html
Аккумулятор Тюмень Standard 75L(L3);3700руб.4600;3100руб.;Емкость: 75 АчПусковой ток: 660 АПолярность:Прямая [+ -]Габариты: 278x175x190Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-tyumen-standard-75l-630a-278x175x190.html
Аккумулятор Тюмень Asia 75R;3900руб.4800;3300руб.;Емкость: 75 АчПусковой ток: 630 АПолярность:Обратная [- +]Габариты: 266x173x225Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-tyumen-asia-75r-600a-266x173x225.html
Аккумулятор Тюмень Asia 75L;3900руб.4400;3300руб.;Емкость: 75 АчПусковой ток: 630 АПолярность:Прямая [+ -]Габариты: 266x173x225Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-tyumen-asia-75l-600a-266x173x225.html
Аккумулятор Тюмень Premium 77L;4200руб.;3600руб.;Емкость: 77 АчПусковой ток: 680 АПолярность:Прямая [+ -]Габариты: 278x175x190Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-tyumen-premium-77l-640a-278x175x190.html
Аккумулятор Тюмень Standard 100R;5150руб.;4450руб.;Емкость: 100 АчПусковой ток: 830 АПолярность:Обратная [- +]Габариты: 352x175x192Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-tyumen-standard-100r-790a-352x175x192.html
Аккумулятор Тюмень Standard 100L;5150руб.;4450руб.;Емкость: 100 АчПусковой ток: 830 АПолярность:Прямая [+ -]Габариты: 352x175x192Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-tyumen-standard-100l-790a-352x175x192.html
Аккумулятор Тюмень Asia 95R;5200руб.5800;4500руб.;Емкость: 95 АчПусковой ток: 750 АПолярность:Обратная [- +]Габариты: 302x172x223Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-tyumen-asia-95r-720a-302h172h223.html
Аккумулятор Тюмень Asia 95L;5200руб.5800;4500руб.;Емкость: 95 АчПусковой ток: 750 АПолярность:Прямая [+ -]Габариты: 302x172x223Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-tyumen-asia-95l-720a-302h172h223.html
Аккумулятор Тюмень Standard 132 рус;6850руб.;5850руб.;Емкость: 132 АчПусковой ток: 960 АПолярность:Прямая [- +]Габариты: 514x189x230Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-tyumen-standard-132-rus-920a-514x189x230.html
Аккумулятор Тюмень Standard 190 рус;9450руб.;8050руб.;Емкость: 190 АчПусковой ток: 1320 АПолярность:Прямая [- +]Габариты: 518x228x236Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-tyumen-standard-190-rus-1300a-518x228x236.html
Аккумулятор Тюмень Standard 190 под болт;9600руб.;8200руб.;Емкость: 190 АчПусковой ток: 1320 АПолярность:Прямая [- +]Габариты: 518x228x236Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-tyumen-standard-190-pod-bolt-1300a-518x228x236.html
Аккумулятор Тюмень Standard 225 euro;11800руб.;10100руб.;Емкость: 225 АчПусковой ток: 1500 АПолярность:Обратная [+ -]Габариты: 518x278x242Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-tyumen-standard-225-euro-1450a-518x278x242.html
