Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
јккумул€тор AlphaLINE 44R (46B19L);4200руб.;3900руб.;≈мкость: 44 јчѕусковой ток: 400 јѕол€рность:ќбратна€ [- +]√абариты: 186x126x225√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-alphaline-46b19l-44r-400a-186x126x225.html
јккумул€тор  AlphaLINE Ultra 50L (55B19R);4600руб.;4300руб.;≈мкость: 50 јчѕусковой ток: 440 јѕол€рность:ѕр€ма€ [+ -]√абариты: 187x127x227√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-alphaline-ultra-55b19r-50l-440a-187x127x220.html
јккумул€тор AlphaLINE 52R (65B24L);4700руб.;4400руб.;≈мкость: 52 јчѕусковой ток: 480 јѕол€рность:ќбратна€ [- +]√абариты: 236x128x220√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-alphaline-65b24l-52r-480a-236x128x220.html
јккумул€тор AlphaLINE 52L (65B24R);4700руб.;4400руб.;≈мкость: 52 јчѕусковой ток: 480 јѕол€рность:ѕр€ма€ [+ -]√абариты: 236x128x220√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-alphaline-65b24r-52l-480a-236x128x220.html
јккумул€тор AlphaLINE 55R (70B24L);4900руб.;4400руб.;≈мкость: 55 јчѕусковой ток: 500 јѕол€рность:ќбратна€ [- +]√абариты: 236x128x220√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-alphaline-70b24l-55r-500a-236x128x220.html
јккумул€тор AlphaLINE 55L (70B24R);4900руб.;4400руб.;≈мкость: 55 јчѕусковой ток: 500 јѕол€рность:ѕр€ма€ [+ -]√абариты: 236x128x220√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-alphaline-70b24r-55l-500a-236x128x220.html
јккумул€тор AlphaLINE 50R (50D20L);4950руб.;4650руб.;≈мкость: 50 јчѕусковой ток: 450 јѕол€рность:ќбратна€ [- +]√абариты: 200x170x220√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-alphaline-50d20l-50r-450a-200x170x220.html
јккумул€тор AlphaLINE 58R (26R-550);6000руб.;5500руб.;≈мкость: 58 јчѕусковой ток: 550 јѕол€рность:ќбратна€ [- +]√абариты: 206x172x184√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-alphaline-26r-550-58r-550a-206x172x184.html
јккумул€тор AlphaLINE 58L (26-550);6000руб.;5500руб.;≈мкость: 58 јчѕусковой ток: 550 јѕол€рность:ѕр€ма€ [+ -]√абариты: 206x172x184√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-alphaline-26-550-58l-550a-206x172x184.html
јккумул€тор AlphaLINE Ultra 62R (низкий);6050руб.;5550руб.;≈мкость: 62 јчѕусковой ток: 600 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x175√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-alphaline-ultra-62rs-610a-242x175x175.html
јккумул€тор AlphaLINE STANDARD 65R (75D23L);6250руб.;5750руб.;≈мкость: 65 јчѕусковой ток: 580 јѕол€рность:ќбратна€ [- +]√абариты: 230x168x220√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-alphaline-standard-75d23l-65r-580a-230x168x220.html
јккумул€тор AlphaLINE 70R (85D23L);6400руб.;5900руб.;≈мкость: 70 јчѕусковой ток: 620 јѕол€рность:ќбратна€ [- +]√абариты: 230x168x220√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-alphaline-85d23l-70r-620a-230x168x220.html
јккумул€тор AlphaLINE STANDARD 70L (80D26R);6500руб.;6000руб.;≈мкость: 70 јчѕусковой ток: 600 јѕол€рность:ѕр€ма€ [+ -]√абариты: 260x168x220√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-alphaline-standard-80d26r-70l-600a-260x168x220.html
јккумул€тор AlphaLINE STANDARD 70R (80D26L);6500руб.;6000руб.;≈мкость: 70 јчѕусковой ток: 600 јѕол€рность:ќбратна€ [- +]√абариты: 260x168x220√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-alphaline-standard-80d26l-70r-600a-260x168x220.html
јккумул€тор AlphaLINE Ultra 68R;6600руб.;6100руб.;≈мкость: 68 јчѕусковой ток: 680 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-alphaline-ultra-68r-680a-242x175x190.html
