Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
јккумул€тор BOSCH S3 005 (56R);4600руб.;4100руб.;≈мкость: 56 јчѕусковой ток: 480 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-bosch-s3-005-56r-480a-242x175x190.html
јккумул€тор BOSCH S4 006 (60L);4600руб.;4100руб.;≈мкость: 60 јчѕусковой ток: 540 јѕол€рность:ѕр€ма€ [+ -]√абариты: 242x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-bosch-s4-006-60l-540a-242x175x190.html
јккумул€тор BOSCH S5 001 (52R);4750руб.4800;4450руб.;≈мкость: 52 јчѕусковой ток: 520 јѕол€рность:ќбратна€ [- +]√абариты: 207x175x175√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-bosch-s5-001-52r-520a-207x175x175.html
јккумул€тор BOSCH S4 005 (60R);4800руб.;4300руб.;≈мкость: 60 јчѕусковой ток: 540 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-bosch-s4-005-60r-540a-242x175x190.html
јккумул€тор BOSCH S4 024 (60R);4950руб.;4450руб.;≈мкость: 60 јчѕусковой ток: 540 јѕол€рность:ќбратна€ [- +]√абариты: 232x173x225√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-bosch-s4-024-60r-540a-232x173x225.html
јккумул€тор BOSCH S5 002 (54R);5100руб.5300;4800руб.;≈мкость: 54 јчѕусковой ток: 530 јѕол€рность:ќбратна€ [- +]√абариты: 207x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-bosch-s5-002-54r-530a-207x175x190.html
јккумул€тор BOSCH S4 025 (60L);5300руб.;4800руб.;≈мкость: 60 јчѕусковой ток: 540 јѕол€рность:ѕр€ма€ [+ -]√абариты: 232x173x225√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-bosch-s4-025-60l-540a-232x173x225.html
јккумул€тор BOSCH S4 026 (70R);5650руб.;5150руб.;≈мкость: 70 јчѕусковой ток: 630 јѕол€рность:ќбратна€ [- +]√абариты: 261x175x220√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-bosch-s4-026-70r-630a-261x175x220.html
јккумул€тор BOSCH S4 007 (72R);5700руб.;5100руб.;≈мкость: 72 јчѕусковой ток: 680 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x175√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-bosch-s4-007-72r-680a-278x175x175.html
јккумул€тор BOSCH S4 74R (008);5900руб.;5300руб.;≈мкость: 74 јчѕусковой ток: 680 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-bosch-s4-008-74r-680a-278x175x190.html
јккумул€тор BOSCH S3 007 (70R);6100руб.;5600руб.;≈мкость: 70 јчѕусковой ток: 640 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x175√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-bosch-s3-007-70r-640a-278x175x175.html
јккумул€тор BOSCH S4 009 (74L);6100руб.;5500руб.;≈мкость: 74 јчѕусковой ток: 680 јѕол€рность:ѕр€ма€ [+ -]√абариты: 278x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-bosch-s4-009-74l-680a-278x175x190.html
јккумул€тор BOSCH S3 008 (70R);6400руб.;5900руб.;≈мкость: 70 јчѕусковой ток: 640 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-bosch-s3-008-70r-640a-278x175x190.html
јккумул€тор BOSCH S5 007 (74R);7350руб.;6750руб.;≈мкость: 74 јчѕусковой ток: 750 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x175√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-bosch-s5-007-74r-750a-278x175x175.html
јккумул€тор BOSCH S4 010 (80R);8000руб.;7400руб.;≈мкость: 80 јчѕусковой ток: 740 јѕол€рность:ќбратна€ [- +]√абариты: 315x175x175√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-bosch-s4-010-80r-740a-315x175x175.html
јккумул€тор BOSCH S5 010 (85R);8600руб.;8000руб.;≈мкость: 85 јчѕусковой ток: 800 јѕол€рность:ќбратна€ [- +]√абариты: 315x175x175√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-bosch-s5-010-85r-800a-315x175x175.html
јккумул€тор BOSCH S5 013 (100R);9100руб.9500;8400руб.;≈мкость: 100 јчѕусковой ток: 830 јѕол€рность:ќбратна€ [- +]√абариты: 353x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-bosch-s5-013-100r-830a-353x175x190.html
јккумул€тор BOSCH T4 140R (075);10800руб.;9800руб.;≈мкость: 140 јчѕусковой ток: 800 јѕол€рность:ќбратна€ [+ -]√абариты: 513x189x223√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-bosch-t4-075-140r-800a-513x189x223.html
јккумул€тор BOSCH T5 180R (077);15000руб.;13600руб.;≈мкость: 180 јчѕусковой ток: 1000 јѕол€рность:ќбратна€ [+ -]√абариты: 513x223x223√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-bosch-t5-077-180r-1000a-513x223x223.html
јккумул€тор BOSCH T5 225R (080);17200руб.;15500руб.;≈мкость: 225 јчѕусковой ток: 1150 јѕол€рность:ќбратна€ [+ -]√абариты: 518x276x242√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-bosch-t5-080-225r-1150a-518x276x242.html
