Название;Цена;При обмене;Характеристика;Ссылка
Аккумулятор DELTA DT 12012  1.2A;600руб.;575руб.;Емкость: 1 АчПусковой ток: 19 АПолярность:Обратная [- +]Габариты: 97x44x53Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-dt-12012-1.2a.html
Аккумулятор DELTA CT 1204;1105руб.;1080руб.;Емкость: 4 АчПусковой ток: 50 АПолярность:Обратная [- +]Габариты: 113x70x89Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1204.html
Аккумулятор DELTA CT 12026;1111руб.;1086руб.;Емкость: 3 АчПусковой ток: 45 АПолярность:Обратная [- +]Габариты: 114x49x86Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-12026.html
Аккумулятор DELTA CT 12025;1111руб.;1086руб.;Емкость: 3 АчПусковой ток: 40 АПолярность:Обратная [- +]Габариты: 114x39x87Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-12025.html
Аккумулятор DELTA CT 1205;1300руб.;1275руб.;Емкость: 5 АчПусковой ток: 80 АПолярность:Обратная [- +]Габариты: 114x69x109Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1205.html
Аккумулятор DELTA CT 1205.1;1430руб.;1405руб.;Емкость: 5 АчПусковой ток: 65 АПолярность:Обратная [- +]Габариты: 120x61x129Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1205.1.html
Аккумулятор DELTA CT 1207;1761руб.;1711руб.;Емкость: 7 АчПусковой ток: 105 АПолярность:Прямая [+ -]Габариты: 152x87x95Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1207.html
Аккумулятор DELTA CT 1207.1;1781руб.;1731руб.;Емкость: 7 АчПусковой ток: 100 АПолярность:Обратная [- +]Габариты: 115x71x134Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1207.1.html
Аккумулятор DELTA CT 1207.2;1872руб.;1822руб.;Емкость: 7 АчПусковой ток: 130 АПолярность:Обратная [- +]Габариты: 114x69x109Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1207.2.html
Аккумулятор DELTA CT 1208;1982руб.;1932руб.;Емкость: 8 АчПусковой ток: 130 АПолярность:Прямая [+ -]Габариты: 150x66x95Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1208.html
Аккумулятор DELTA CT 1209;2171руб.;2121руб.;Емкость: 9 АчПусковой ток: 135 АПолярность:Прямая [+ -]Габариты: 150x86x107Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1209.html
Аккумулятор DELTA CT 1210;2333руб.;2283руб.;Емкость: 10 АчПусковой ток: 100 АПолярность:Прямая [+ -]Габариты: 137x77x135Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1210.html
Аккумулятор DELTA CT 1209.1;2411руб.;2361руб.;Емкость: 9 АчПусковой ток: 115 АПолярность:Прямая [+ -]Габариты: 151x71x107Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1209.1.html
Аккумулятор DELTA CT 1210.1;2541руб.;2491руб.;Емкость: 10 АчПусковой ток: 190 АПолярность:Прямая [+ -]Габариты: 150x87x93Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1210.1.html
Аккумулятор DELTA CT 1211;2782руб.;2732руб.;Емкость: 11 АчПусковой ток: 210 АПолярность:Прямая [+ -]Габариты: 150x87x110Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1211.html
Аккумулятор DELTA CT 1212;2827руб.;2777руб.;Емкость: 12 АчПусковой ток: 180 АПолярность:Прямая [+ -]Габариты: 150x87x132Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1212.html
Аккумулятор DELTA CT 1212.1;2873руб.;2823руб.;Емкость: 12 АчПусковой ток: 155 АПолярность:Прямая [+ -]Габариты: 150x71x130Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1212.1.html
Аккумулятор DELTA CT 1212.2;3094руб.;3044руб.;Емкость: 14 АчПусковой ток: 155 АПолярность:Прямая [+ -]Габариты: 152x70x150Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1212.2.html
Аккумулятор DELTA CT 1214;3646руб.;3596руб.;Емкость: 14 АчПусковой ток: 200 АПолярность:Прямая [+ -]Габариты: 150x87x148Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1214.html
Аккумулятор DELTA CT 1214.1;4179руб.;4129руб.;Емкость: 14 АчПусковой ток: 165 АПолярность:Прямая [+ -]Габариты: 132x89x164Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1214.1.html
Аккумулятор DELTA EPS 1214;4329руб.;4279руб.;Емкость: 14 АчПусковой ток: 220 АПолярность:Прямая [+ -]Габариты: 150x87x148Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-eps-1214.html
Аккумулятор DELTA CT 1216.1;4420руб.;4370руб.;Емкость: 16 АчПусковой ток: 230 АПолярность:Прямая [+ -]Габариты: 151x88x164Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1216.1.html
Аккумулятор DELTA CT 1220.1;4706руб.;4606руб.;Емкость: 20 АчПусковой ток: 260 АПолярность:Обратная [- +]Габариты: 181x77x167Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1220.1.html
Аккумулятор DELTA CT 1216;4790руб.;4740руб.;Емкость: 16 АчПусковой ток: 200 АПолярность:Обратная [- +]Габариты: 207x72x164Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1216.html
Аккумулятор DELTA CT 1218;4972руб.;4922руб.;Емкость: 18 АчПусковой ток: 270 АПолярность:Прямая [+ -]Габариты: 177x88x154Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1218.html
Аккумулятор DELTA CT 12201;4972руб.;4872руб.;Емкость: 20 АчПусковой ток: 270 АПолярность:Обратная [- +]Габариты: 177x87x154Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-12201.html
Аккумулятор DELTA EPS 1216;4998руб.;4948руб.;Емкость: 16 АчПусковой ток: 230 АПолярность:Обратная [- +]Габариты: 207x72x164Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-eps-1216.html
Аккумулятор DELTA CT 1220;5531руб.;5431руб.;Емкость: 20 АчПусковой ток: 250 АПолярность:Обратная [- +]Габариты: 205x92x164Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1220.html
Аккумулятор DELTA EPS 1218.1;5544руб.;5444руб.;Емкость: 20 АчПусковой ток: 270 АПолярность:Прямая [+ -]Габариты: 151x87x161Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-eps-1218.1.html
