Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
јккумул€тор Delta DT 401;200руб.;175руб.;≈мкость: 1 јчЌоминальное напр€жение: 4 ¬ѕол€рность:”ниверсальна€√абариты: 35x22x69√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-delta-dt-401.html
јккумул€тор Delta DT 6015;300руб.;275руб.;≈мкость: 2 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 97x24x58√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-delta-dt-6015.html
јккумул€тор Delta DT 6012;300руб.;275руб.;≈мкость: 2 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 97x24x52√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-delta-dt-6012.html
јккумул€тор Delta DTM 6012;400руб.;375руб.;≈мкость: 2 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 97x24x58√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-delta-dtm-6012.html
јккумул€тор Delta DT 6023;400руб.;375руб.;≈мкость: 3 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 44x47x107√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-delta-dt-6023.html
јккумул€тор Delta DT 6045;500руб.;475руб.;≈мкость: 5 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 70x47x107√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-delta-dt-6045.html
јккумул€тор Delta DT 606;500руб.;475руб.;≈мкость: 6 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 70x47x107√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-delta-dt-606.html
јккумул€тор Delta DT 6033;500руб.;475руб.;≈мкость: 4 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 134x34x67√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-delta-dt-6033.html
јккумул€тор Delta DT 6028;500руб.;475руб.;≈мкость: 3 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 66x33x99√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-delta-dt-6028.html
јккумул€тор Delta DT 6033 (125);500руб.;475руб.;≈мкость: 4 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 125x33x67√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-delta-dt-6033-125.html
јккумул€тор Delta DT 4045;500руб.;475руб.;≈мкость: 5 јчЌоминальное напр€жение: 4 ¬ѕол€рность:”ниверсальна€√абариты: 70x47x105√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-delta-dt-4045.html
јккумул€тор Delta DTM 6032;600руб.;575руб.;≈мкость: 4 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 134x34x67√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-delta-dtm-6032.html
јккумул€тор Delta DTM 6045;600руб.;575руб.;≈мкость: 4 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 70x47x107√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-delta-dtm-6045.html
јккумул€тор Delta DT 4035;600руб.;575руб.;≈мкость: 4 јчЌоминальное напр€жение: 4 ¬ѕол€рность:”ниверсальна€√абариты: 90x34x66√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-delta-dt-4035.html
јккумул€тор Delta DTM 12012;700руб.;675руб.;≈мкость: 2 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 97x43x52√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-delta-dtm-12012.html
јккумул€тор Delta DTM 12008;700руб.;675руб.;≈мкость: 1 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 96x25x62√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-delta-dtm-12008.html
јккумул€тор Delta DT 12008;700руб.;675руб.;≈мкость: 1 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 97x25x63√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-delta-dt-12008.html
јккумул€тор Delta DTM 607;800руб.;750руб.;≈мкость: 7 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 151x34x94√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-delta-dtm-607.html
јккумул€тор Delta HR 6-4.5;800руб.;775руб.;≈мкость: 5 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 70x47x107√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-delta-hr-6-4.5.html
јккумул€тор Delta DT 12022;800руб.;775руб.;≈мкость: 2 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 178x35x66√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-delta-dt-12022.html
јккумул€тор Delta DTM 12022;900руб.;875руб.;≈мкость: 3 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 178x35x60√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-delta-dtm-12022.html
јккумул€тор Delta DT 12032;965руб.;940руб.;≈мкость: 4 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 135x67x67√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-delta-dt-12033.html
јккумул€тор Delta DTM 12032;1000руб.;975руб.;≈мкость: 4 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 134x67x67√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-delta-dtm-12032.html
јккумул€тор Delta DT 12045;1000руб.;975руб.;≈мкость: 5 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 90x70x107√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-delta-dt-12045.html
јккумул€тор Delta DT 612;1000руб.;950руб.;≈мкость: 12 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 151x94x100√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-delta-dt-612.html
јккумул€тор Delta DTM 12045;1100руб.;1075руб.;≈мкость: 5 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 90x70x101√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-delta-dtm-12045.html
јккумул€тор Delta DTM 612;1100руб.;1050руб.;≈мкость: 12 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 151x50x94√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-delta-dtm-612.html
јккумул€тор Delta DT 1207;1100руб.;1050руб.;≈мкость: 7 јчЌоминальное напр€жение: 12 ¬ѕол€рность:ќбратна€ [- +]√абариты: 151x65x102√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-delta-dt-1207.html
јккумул€тор Delta HR 6-7.2;1142руб.;1092руб.;≈мкость: 8 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 151x34x100√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-delta-hr-6-7.2.html
јккумул€тор Delta DTM 1205;1300руб.;1275руб.;≈мкость: 5 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 90x70x101√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-delta-dtm-1205.html
јккумул€тор Delta HR 6-9;1300руб.;1250руб.;≈мкость: 9 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 151x34x94√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-delta-hr-6-9.html
јккумул€тор Delta DTM 1207;1400руб.;1350руб.;≈мкость: 7 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 151x65x102√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-delta-dtm-1207.html
јккумул€тор Delta HR 6-12;1400руб.;1350руб.;≈мкость: 12 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 151x50x100√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-delta-hr-6-12.html
јккумул€тор Delta HR 6-15;1500руб.;1450руб.;≈мкость: 15 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 151x50x100√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-delta-hr-6-15.html
јккумул€тор Delta HR 12-4.5;1500руб.;1475руб.;≈мкость: 5 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 90x70x107√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-delta-hr-12-4.5.html
