Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
јккумул€тор CENTRA HD 180 euro;10900руб.;9500руб.;≈мкость: 180 јчѕусковой ток: 1000 јѕол€рность:ќбратна€ [+ -]√абариты: 516x223x223√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-centra-hd-cg1803-180-euro-1000a-516h223h223.html
јккумул€тор EXIDE Excell EB602 (60R) низкий;5800руб.;5300руб.;≈мкость: 60 јчѕусковой ток: 540 јѕол€рность:ќбратна€ [- +]√абариты: 241x175x175√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-exide-excell-60r-eb602-540a-242h175h175.html
јккумул€тор EXIDE Excell EB620 (62R);5900руб.;5400руб.;≈мкость: 62 јчѕусковой ток: 540 јѕол€рность:ќбратна€ [- +]√абариты: 241x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-exide-excell-62r-eb620-540a-242h175h190.html
јккумул€тор EXIDE Excell EB741 (74L);6400руб.;5800руб.;≈мкость: 74 јчѕусковой ток: 680 јѕол€рность:ѕр€ма€ [+ -]√абариты: 276x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-exide-excell-74l-eb741-680a-278h175h190.html
јккумул€тор EXIDE Excell EB704 (70R);6700руб.;6200руб.;≈мкость: 70 јчѕусковой ток: 540 јѕол€рность:ќбратна€ [- +]√абариты: 261x173x222√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-exide-excell-70r-eb704-540a-266h172h223.html
јккумул€тор EXIDE Excell EB740 (74R);6800руб.;6200руб.;≈мкость: 74 јчѕусковой ток: 680 јѕол€рность:ќбратна€ [- +]√абариты: 276x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-exide-excell-74r-eb740-680a-278h175h190.html
јккумул€тор EXIDE Excell EB950 (95R);7900руб.;7200руб.;≈мкость: 95 јчѕусковой ток: 800 јѕол€рность:ќбратна€ [- +]√абариты: 353x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-exide-excell-95r-eb950-800a-353h175h190.html
јккумул€тор EXIDE Premium EA530 (53R);5200руб.;4900руб.;≈мкость: 53 јчѕусковой ток: 540 јѕол€рность:ќбратна€ [- +]√абариты: 207x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-exide-premium-53r-ea530-540a-207h175h190.html
јккумул€тор EXIDE Premium EA601 (60L);5900руб.;5400руб.;≈мкость: 60 јчѕусковой ток: 600 јѕол€рность:ѕр€ма€ [+ -]√абариты: 242x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-exide-premium-60l-ea601-600a-242h175h190.html
јккумул€тор EXIDE Premium EA612 (61R) низкий;6200руб.;5700руб.;≈мкость: 61 јчѕусковой ток: 600 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x175√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-exide-premium-61r-ea612-600a-242h175h175.html
јккумул€тор EXIDE Premium EA640 (64R);6700руб.;6200руб.;≈мкость: 64 јчѕусковой ток: 640 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-exide-premium-64r-ea640-640a-242h175h190.html
јккумул€тор EXIDE Premium EA754 (75R);7400руб.;6800руб.;≈мкость: 75 јчѕусковой ток: 630 јѕол€рность:ќбратна€ [- +]√абариты: 266x173x225√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-exide-premium-75r-ea754-630a-267h172h220.html
јккумул€тор EXIDE Premium EA722 (72R) низкий;7500руб.;6900руб.;≈мкость: 72 јчѕусковой ток: 720 јѕол€рность:ќбратна€ [- +]√абариты: 279x175x175√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-exide-premium-72r-ea722-720a-278h175h175.html
јккумул€тор EXIDE Premium EA770 (77R);7900руб.;7300руб.;≈мкость: 77 јчѕусковой ток: 760 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-exide-premium-77r-ea770-760a-278h175h190.html
јккумул€тор EXIDE Premium EA852 (85R) низкий;8000руб.;7400руб.;≈мкость: 85 јчѕусковой ток: 800 јѕол€рность:ќбратна€ [- +]√абариты: 315x175x175√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-exide-premium-85r-ea852-800a-315x175x175.html
јккумул€тор EXIDE Premium EA900  (90R);8500руб.;7800руб.;≈мкость: 90 јчѕусковой ток: 720 јѕол€рность:ќбратна€ [- +]√абариты: 315x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-exide-premium-90r-ea900-720a-315h175h190.html
јккумул€тор EXIDE Premium EA954 (95R);8900руб.;8200руб.;≈мкость: 95 јчѕусковой ток: 800 јѕол€рность:ќбратна€ [- +]√абариты: 306x173x223√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-exide-premium-95r-ea954-800a-306h173h222.html
јккумул€тор EXIDE Premium EA1000 (100R);9600руб.;8900руб.;≈мкость: 100 јчѕусковой ток: 900 јѕол€рность:ќбратна€ [- +]√абариты: 353x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-exide-premium-100r-ea1000-900a-353h175h190.html
јккумул€тор EXIDE Start-Stop AGM EK600 (60R);10200руб.;9700руб.;≈мкость: 60 јчѕусковой ток: 680 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-exide-start-stop-agm-60r-ek600-680a-242h175h190.html
јккумул€тор EXIDE Start-Stop AGM EK700 (70R);11700руб.;11200руб.;≈мкость: 70 јчѕусковой ток: 760 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-exide-start-stop-agm-70r-ek700-760a-278h175h190.html
јккумул€тор EXIDE Start-Stop AGM EK800 (80R);12900руб.;12300руб.;≈мкость: 80 јчѕусковой ток: 800 јѕол€рность:ќбратна€ [- +]√абариты: 315x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-exide-start-stop-agm-80r-ek800-800a-315h175h190.html
јккумул€тор EXIDE Start-Stop AGM EK950 (95R);13900руб.;13200руб.;≈мкость: 95 јчѕусковой ток: 850 јѕол€рность:ќбратна€ [- +]√абариты: 353x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-exide-start-stop-agm-95r-ek950-850a-353h175h190.html
јккумул€тор EXIDE Start-Stop AGM EK1050 (105R);14900руб.;14200руб.;≈мкость: 105 јчѕусковой ток: 950 јѕол€рность:ќбратна€ [- +]√абариты: 394x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-exide-start-stop-agm-105r-ek1050-950a-392h175h190.html
јккумул€тор EXIDE Start-Stop EFB EL605 (60L);6400руб.;5900руб.;≈мкость: 60 јчѕусковой ток: 520 јѕол€рность:ѕр€ма€ [+ -]√абариты: 232x173x225√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-exide-start-stop-efb-60l-el605-520a-232h175h225.html
јккумул€тор EXIDE Start-Stop EFB EL604 (60R);6950руб.;6450руб.;≈мкость: 60 јчѕусковой ток: 520 јѕол€рность:ќбратна€ [- +]√абариты: 232x173x225√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-exide-start-stop-efb-60r-el604-520a-232h175h225.html
јккумул€тор EXIDE Start-Stop EFB EL600 (60R);7800руб.;7300руб.;≈мкость: 60 јчѕусковой ток: 640 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-exide-start-stop-efb-60r-el600-640a-242h175h190.html
јккумул€тор EXIDE Start-Stop EFB EL652 (65R);7800руб.;7300руб.;≈мкость: 65 јчѕусковой ток: 650 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x175√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-exide-start-stop-efb-65r-el652-650a-278h175h175.html
