Название;Цена;При обмене;Характеристика;Ссылка
Аккумулятор EXIDE ET4B-BS;1500руб.;1475руб.;Емкость: 3 АчПусковой ток: 35 АПолярность:Обратная [- +]Габариты: 113x38x85Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-et4b-bs.html
Аккумулятор EXIDE ETR4A-BS;1500руб.;1475руб.;Емкость: 3 АчПусковой ток: 35 АПолярность:Обратная [- +]Габариты: 113x48x85Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-etr4a-bs.html
Аккумулятор EXIDE ETX5L-BS;1900руб.;1875руб.;Емкость: 4 АчПусковой ток: 70 АПолярность:Обратная [- +]Габариты: 113x70x105Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-etx5l-bs.html
Аккумулятор EXIDE ETX7A-BS;2500руб.;2475руб.;Емкость: 6 АчПусковой ток: 90 АПолярность:Прямая [+ -]Габариты: 150x87x93Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-etx7a-bs.html
Аккумулятор EXIDE ETX7L-BS;2500руб.;2475руб.;Емкость: 6 АчПусковой ток: 100 АПолярность:Обратная [- +]Габариты: 113x70x130Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-etx7l-bs.html
Аккумулятор EXIDE ETZ7-BS;2500руб.;2475руб.;Емкость: 6 АчПусковой ток: 100 АПолярность:Обратная [- +]Габариты: 113x70x105Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-etz7-bs.html
Аккумулятор EXIDE ET7B-BS;2600руб.;2550руб.;Емкость: 7 АчПусковой ток: 85 АПолярность:Прямая [+ -]Габариты: 150x65x93Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-et7b-bs.html
Аккумулятор EXIDE ETX9-BS;2800руб.;2750руб.;Емкость: 8 АчПусковой ток: 120 АПолярность:Прямая [+ -]Габариты: 150x87x105Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-etx9-bs.html
Аккумулятор EXIDE ET12B-BS;2950руб.;2900руб.;Емкость: 10 АчПусковой ток: 160 АПолярность:Прямая [+ -]Габариты: 150x71x130Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-et12b-bs.html
Аккумулятор EXIDE ETX12-BS;2950руб.;2900руб.;Емкость: 10 АчПусковой ток: 150 АПолярность:Прямая [+ -]Габариты: 150x87x130Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-etx12-bs.html
Аккумулятор EXIDE ETZ10-BS;3000руб.;2950руб.;Емкость: 9 АчПусковой ток: 145 АПолярность:Прямая [+ -]Габариты: 150x87x93Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-etz10-bs.html
Аккумулятор EXIDE ET9B-BS;3100руб.;3050руб.;Емкость: 8 АчПусковой ток: 110 АПолярность:Прямая [+ -]Габариты: 150x70x105Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-et9b-bs.html
Аккумулятор EXIDE ETX9C-BS;3100руб.;3050руб.;Емкость: 9 АчПусковой ток: 120 АПолярность:Прямая [+ -]Габариты: 135x75x139Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-etx9c-bs.html
Аккумулятор EXIDE ETZ14-BS;3200руб.;3150руб.;Емкость: 12 АчПусковой ток: 205 АПолярность:Прямая [+ -]Габариты: 150x87x110Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-etz14-bs.html
Аккумулятор EXIDE ET14B-BS;3800руб.;3750руб.;Емкость: 12 АчПусковой ток: 190 АПолярность:Прямая [+ -]Габариты: 150x70x145Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-et14b-bs.html
Аккумулятор EXIDE ETX14-BS;3800руб.;3750руб.;Емкость: 12 АчПусковой ток: 200 АПолярность:Прямая [+ -]Габариты: 150x87x145Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-etx14-bs.html
Аккумулятор EXIDE ETX16-BS;4300руб.;4250руб.;Емкость: 14 АчПусковой ток: 245 АПолярность:Прямая [+ -]Габариты: 150x87x161Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-etx16-bs.html
Аккумулятор EXIDE ETX14AH-BS;4500руб.;4450руб.;Емкость: 12 АчПусковой ток: 210 АПолярность:Прямая [+ -]Габариты: 134x89x164Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-etx14ah-bs.html
Аккумулятор EXIDE ETX20CH-BS;5100руб.;5050руб.;Емкость: 18 АчПусковой ток: 230 АПолярность:Прямая [+ -]Габариты: 150x87x161Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-etx20ch-bs.html
Аккумулятор EXIDE ETX20HL-BS;5200руб.;5150руб.;Емкость: 18 АчПусковой ток: 270 АПолярность:Обратная [- +]Габариты: 175x87x155Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-etx20hl-bs.html
Аккумулятор EXIDE ETX20H-BS;5600руб.;5550руб.;Емкость: 18 АчПусковой ток: 270 АПолярность:Прямая [+ -]Габариты: 175x87x155Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-etx20h-bs.html
Аккумулятор EXIDE ETX24HL-BS;6300руб.;6200руб.;Емкость: 21 АчПусковой ток: 350 АПолярность:Обратная [- +]Габариты: 205x87x162Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-etx24hl-bs.html
Аккумулятор EXIDE AGM 12-4;1700руб.;1675руб.;Емкость: 3 АчПусковой ток: 50 АПолярность:Обратная [- +]Габариты: 113x70x85Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-agm-12-4.html
Аккумулятор EXIDE AGM 12-5;2200руб.;2175руб.;Емкость: 4 АчПусковой ток: 70 АПолярность:Обратная [- +]Габариты: 113x70x105Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-agm-12-5.html
Аккумулятор EXIDE AGM 12-8;2800руб.;2750руб.;Емкость: 9 АчПусковой ток: 145 АПолярность:Прямая [+ -]Габариты: 150x87x93Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-agm-12-8.html
Аккумулятор EXIDE AGM 12-12;3500руб.;3450руб.;Емкость: 12 АчПусковой ток: 200 АПолярность:Прямая [+ -]Габариты: 150x88x145Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-agm-12-12.html
Аккумулятор EXIDE AGM 12-18;5600руб.;5550руб.;Емкость: 18 АчПусковой ток: 250 АПолярность:Обратная [- +]Габариты: 181x77x167Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-agm-12-18.html
Аккумулятор EXIDE AGM 12-23;5900руб.;5800руб.;Емкость: 21 АчПусковой ток: 350 АПолярность:Обратная [- +]Габариты: 205x86x162Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-agm-12-23.html
