Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
јккумул€тор FB SUPER NOVA 55B24L;5300руб.;5000руб.;≈мкость: 45 јчѕусковой ток: 570 јѕол€рность:ќбратна€ [- +]√абариты: 236x126x227√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-fb-super-nova-55b24l-45r-570a-236x126x227.html
јккумул€тор FB9000 46B19L;6300руб.;6000руб.;≈мкость: 43 јчѕусковой ток: 380 јѕол€рность:ќбратна€ [- +]√абариты: 189x129x225√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-fb9000-46b19l-43r-370a-189x129x225.html
јккумул€тор FB7000 60B24L;6400руб.;6100руб.;≈мкость: 48 јчѕусковой ток: 470 јѕол€рность:ќбратна€ [- +]√абариты: 236x126x227√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-fb7000-60b24l-48r-470a-236x126x227.html
јккумул€тор FB SUPER NOVA 55D23L;6600руб.;6100руб.;≈мкость: 60 јчѕусковой ток: 550 јѕол€рность:ќбратна€ [- +]√абариты: 230x169x225√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-fb-super-nova-55d23l-60r-360a-230x169x225.html
јккумул€тор FB SUPER NOVA 75D23L;7500руб.;7000руб.;≈мкость: 65 јчѕусковой ток: 620 јѕол€рность:ќбратна€ [- +]√абариты: 230x169x225√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-fb-super-nova-75d23l-65r-620a-230x169x225.html
јккумул€тор FB9000 70B24L;7700руб.;7200руб.;≈мкость: 55 јчѕусковой ток: 520 јѕол€рность:ќбратна€ [- +]√абариты: 238x129x227√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-fb9000-70b24l-55r-500a-238x129x225.html
јккумул€тор FB SUPER NOVA 80D26L;8000руб.;7500руб.;≈мкость: 68 јчѕусковой ток: 700 јѕол€рность:ќбратна€ [- +]√абариты: 260x169x225√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-fb-super-nova-80d26l-68r-590a-260x169x225.html
јккумул€тор FB SUPER NOVA 80D26R;8000руб.;7500руб.;≈мкость: 68 јчѕусковой ток: 700 јѕол€рность:ѕр€ма€ [+ -]√абариты: 260x169x225√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-fb-super-nova-80d26r-68l-590a-260x169x225.html
јккумул€тор FB7000 80D23L;8100руб.;7600руб.;≈мкость: 68 јчѕусковой ток: 660 јѕол€рность:ќбратна€ [- +]√абариты: 230x169x225√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-fb7000-80d23l-68r-550a-230x169x225.html
јккумул€тор FB7000 90D26L;8900руб.;8300руб.;≈мкость: 73 јчѕусковой ток: 750 јѕол€рность:ќбратна€ [- +]√абариты: 257x170x225√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-fb7000-90d26l-73r-650a-257x170x225.html
јккумул€тор FB7000 90D26R;8900руб.;8300руб.;≈мкость: 73 јчѕусковой ток: 750 јѕол€рность:ѕр€ма€ [+ -]√абариты: 257x170x225√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-fb7000-90d26r-73l-650a-257x170x225.html
јккумул€тор FB9000 110D26R;10500руб.;9900руб.;≈мкость: 80 јчѕусковой ток: 760 јѕол€рность:ѕр€ма€ [+ -]√абариты: 261x173x225√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-fb9000-110d26r-80l-750a-261x173x225.html
јккумул€тор FB9000 110D26L;10500руб.;9900руб.;≈мкость: 80 јчѕусковой ток: 760 јѕол€рность:ќбратна€ [- +]√абариты: 261x173x225√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-fb9000-110d26l-80r-750a-261x173x225.html
јккумул€тор FB7000 115D31R;11500руб.;10800руб.;≈мкость: 90 јчѕусковой ток: 900 јѕол€рность:ѕр€ма€ [+ -]√абариты: 306x173x225√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-fb7000-115d31r-90l-781a-306x173x225.html
јккумул€тор FB9000 125D31L;13100руб.;12400руб.;≈мкость: 92 јчѕусковой ток: 870 јѕол€рность:ќбратна€ [- +]√абариты: 304x171x225√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-fb9000-125d31l-92r-835a-304x171x225.html
јккумул€тор FB9000 125D31R;13100руб.;12400руб.;≈мкость: 92 јчѕусковой ток: 870 јѕол€рность:ѕр€ма€ [+ -]√абариты: 304x171x225√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-fb9000-125d31r-92l-835a-304x171x225.html
