Название;Цена;При обмене;Характеристика;Ссылка
Аккумулятор OPTIMA YELLOWTOP R 2.7 38 А/ч 460А;15500руб.;15300руб.;Емкость: 38 АчПусковой ток: 460 АПолярность:Обратная [- +]Габариты: 238x129x227Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-optima-yellowtop-r-2.7-38-a-ch-460a-238x129x227.html
Аккумулятор OPTIMA YELLOWTOP R 2,7J 38 А/ч 460А узк. клеммы;15500руб.;15300руб.;Емкость: 38 АчПусковой ток: 460 АПолярность:Обратная [- +]Габариты: 238x129x227Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-optima-yellowtop-r-2.7-7j-38-a-ch-460a-238x129x227.html
Аккумулятор OPTIMA REDTOP R 4.2 50 А/ч 815А;18300руб.;18000руб.;Емкость: 50 АчПусковой ток: 815 АПолярность:Обратная [- +]Габариты: 261x175x200Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-optima-redtop-r-4.2-50-a-ch-815a-261x175x200.html
Аккумулятор OPTIMA REDTOP С 4.2 50 А/ч;18300руб.;18000руб.;Емкость: 50 АчПусковой ток: 815 АПолярность:УниверсальнаяГабариты: 261x175x200Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-optima-redtop-s-4.2-50-a-ch-815a-261x175x200.html
Аккумулятор OPTIMA REDTOP U 4.2 50 А/ч боковые клеммы;18400руб.;18100руб.;Емкость: 50 АчПусковой ток: 815 АПолярность:Прямая [+ -]Габариты: 261x175x200Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-optima-redtop-u-4.2-50-a-ch-815a-261x175x200.html
Аккумулятор OPTIMA YELLOWTOP R 3.7 48 А/ч 660А;19500руб.;19200руб.;Емкость: 48 АчПусковой ток: 660 АПолярность:Обратная [- +]Габариты: 229x172x197Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-optima-yellowtop-r-3.7-48-a-ch-660a-229x172x197.html
Аккумулятор OPTIMA YELLOWTOP S 4.2 55 А/ч 765А;20800руб.;20300руб.;Емкость: 55 АчПусковой ток: 765 АПолярность:Прямая [+ -]Габариты: 261x175x200Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-optima-yellowtop-s-4.2-55-a-ch-765a-261x175x200.html
Аккумулятор OPTIMA BLUETOP DC 4.2 55А/ч 765А;20900руб.;20400руб.;Емкость: 55 АчПусковой ток: 765 АПолярность:Прямая [+ -]Габариты: 261x175x200Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-optima-bluetop-dc-4.2-55a-ch-765a-261x175x200.html
Аккумулятор OPTIMA YELLOWTOP U 4.2 55 А/ч 765А боковые клеммы;20900руб.;20400руб.;Емкость: 55 АчПусковой ток: 765 АПолярность:Прямая [+ -]Габариты: 255x171x221Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-optima-yellowtop-u-4.2-55-a-ch-765a-255h171h221.html
Аккумулятор OPTIMA BLUETOP DC 5.0 66А/ч;23000руб.;22500руб.;Емкость: 66 АчПусковой ток: 830 АПолярность:Прямая [+ -]Габариты: 306x173x225Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-optima-bluetop-dc-5.0-66a-ch-830a-306x173x225.html
Аккумулятор OPTIMA YELLOWTOP R 5.0 66 А/ч 830А;23000руб.;22500руб.;Емкость: 66 АчПусковой ток: 830 АПолярность:Обратная [- +]Габариты: 306x173x225Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-optima-yellowtop-r-5.0-66-a-ch-830a-306x173x225.html
Аккумулятор OPTIMA BLUETOP DC 5.5 75А/ч 975А;25000руб.;24400руб.;Емкость: 75 АчПусковой ток: 975 АПолярность:УниверсальнаяГабариты: 325x155x245Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-optima-bluetop-dc-5.5-75a-ch-975a-325x155x245.html
