Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
јккумул€тор TAB MAGIC 54R;5100руб.;4800руб.;≈мкость: 54 јчѕусковой ток: 510 јѕол€рность:ќбратна€ [- +]√абариты: 207x175x175√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-tab-magic-54r-510a-207h175h175.html
јккумул€тор TAB POLAR 60L;5800руб.;5300руб.;≈мкость: 60 јчѕусковой ток: 600 јѕол€рность:ѕр€ма€ [+ -]√абариты: 242x175x190√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-tab-polar-60l-600a-242x175x190.html
јккумул€тор TAB POLAR 60R;5800руб.;5300руб.;≈мкость: 60 јчѕусковой ток: 600 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-tab-polar-60r-600a-242x175x190.html
јккумул€тор TAB POLAR S 60R  (низкий);5800руб.;5300руб.;≈мкость: 60 јчѕусковой ток: 550 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x175√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-tab-polar-s-60rs-550a-242x175x175.html
јккумул€тор TAB POLAR 60R uni;5800руб.;5300руб.;≈мкость: 60 јчѕусковой ток: 560 јѕол€рность:ќбратна€ [- +]√абариты: 207x175x190√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-tab-polar-60r-uni-560a-207h175h190.html
јккумул€тор TAB POLAR S 60R;5950руб.;5450руб.;≈мкость: 60 јчѕусковой ток: 600 јѕол€рность:ќбратна€ [- +]√абариты: 230x168x220√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-tab-polar-s-60r-600a-230x168x220.html
јккумул€тор TAB MAGIC 62R (низкий);6000руб.;5500руб.;≈мкость: 62 јчѕусковой ток: 600 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x175√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-tab-magic-62r-600a-242x175x175.html
јккумул€тор TAB POLAR 66L;6150руб.;5650руб.;≈мкость: 66 јчѕусковой ток: 620 јѕол€рность:ѕр€ма€ [+ -]√абариты: 242x175x190√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-tab-polar-66l-620a-242x175x190.html
јккумул€тор TAB POLAR 66R;6150руб.;5650руб.;≈мкость: 66 јчѕусковой ток: 620 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-tab-polar-66r-620a-242x175x190.html
јккумул€тор TAB POLAR S 65R;6350руб.;5850руб.;≈мкость: 65 јчѕусковой ток: 650 јѕол€рность:ќбратна€ [- +]√абариты: 230x168x220√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-tab-polar-s-65r-650a-230x168x220.html
јккумул€тор TAB POLAR S 70R;7000руб.;6500руб.;≈мкость: 70 јчѕусковой ток: 700 јѕол€рность:ќбратна€ [- +]√абариты: 260x175x220√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-tab-polar-s-70r-700a-260x175x220.html
јккумул€тор TAB MAGIC 75R (низкий);7150руб.;6550руб.;≈мкость: 75 јчѕусковой ток: 700 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x175√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-tab-magic-75r-600a-278x175x175.html
