Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
јккумул€тор Topla Top 55R;5450руб.;4950руб.;≈мкость: 55 јчѕусковой ток: 560 јѕол€рность:ќбратна€ [- +]√абариты: 207x175x190√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-topla-top-55r-560a-207x175x190.html
јккумул€тор Topla Energy 60L;5750руб.;5250руб.;≈мкость: 60 јчѕусковой ток: 600 јѕол€рность:ѕр€ма€ [+ -]√абариты: 242x175x190√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-topla-energy-60l-600a-242x175x190.html
јккумул€тор Topla Energy 60R;5750руб.;5250руб.;≈мкость: 60 јчѕусковой ток: 600 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-topla-energy-60r-600a-242x175x190.html
јккумул€тор Topla Top 62RS;6000руб.;5500руб.;≈мкость: 62 јчѕусковой ток: 600 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x175√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-topla-top-62rs-600a-242x175x175.html
јккумул€тор Topla Energy 66R;6150руб.;5650руб.;≈мкость: 66 јчѕусковой ток: 620 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-topla-energy-66r-620a-242x175x190.html
јккумул€тор Topla Top 65R;6350руб.;5850руб.;≈мкость: 65 јчѕусковой ток: 650 јѕол€рность:ќбратна€ [- +]√абариты: 232x173x225√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-topla-top-65r-650a-230x175x220.html
јккумул€тор Topla Energy 75L;7250руб.;6650руб.;≈мкость: 75 јчѕусковой ток: 750 јѕол€рность:ѕр€ма€ [+ -]√абариты: 278x175x190√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-topla-energy-75l-700a-278x175x190.html
јккумул€тор Topla Energy 75R;7450руб.;6850руб.;≈мкость: 75 јчѕусковой ток: 750 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x190√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-topla-energy-75r-700a-278x175x190.html
јккумул€тор Topla Top 75R;7500руб.;6900руб.;≈мкость: 75 јчѕусковой ток: 720 јѕол€рность:ќбратна€ [- +]√абариты: 279x175x175√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-topla-top-75r-720a-279x175x175.html
јккумул€тор Topla Top 78R;7650руб.;7050руб.;≈мкость: 78 јчѕусковой ток: 750 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x190√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-topla-top-78r-780a-278x175x190.html
јккумул€тор Topla Top 85RS;8550руб.;7950руб.;≈мкость: 85 јчѕусковой ток: 800 јѕол€рность:ќбратна€ [- +]√абариты: 315x175x175√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-topla-top-85rs-800a-315x175x175.html
јккумул€тор Topla Energy 92RS;8600руб.;7900руб.;≈мкость: 92 јчѕусковой ток: 800 јѕол€рность:ќбратна€ [- +]√абариты: 353x175x175√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-topla-energy-92rs-850a-353x175x175.html
јккумул€тор Topla Top 95R;8950руб.;8250руб.;≈мкость: 95 јчѕусковой ток: 850 јѕол€рность:ќбратна€ [- +]√абариты: 306x173x225√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-topla-top-95r-850a-306x175x220.html
јккумул€тор Topla Top 95L;8950руб.;8250руб.;≈мкость: 95 јчѕусковой ток: 850 јѕол€рность:ѕр€ма€ [+ -]√абариты: 306x173x225√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-topla-top-95l-850a-306x175x220.html
јккумул€тор Topla Energy 100R;9850руб.;9150руб.;≈мкость: 100 јчѕусковой ток: 900 јѕол€рность:ќбратна€ [- +]√абариты: 353x175x190√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-topla-energy-100r-920a-353x175x190.html
јккумул€тор Topla Energy 110R;11550руб.;10850руб.;≈мкость: 110 јчѕусковой ток: 1000 јѕол€рность:ќбратна€ [- +]√абариты: 393x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-topla-energy-110r-1000a-393x175x190.html
