Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
јккумул€тор VARTA Blue D24 (60R);4500руб.;4000руб.;≈мкость: 60 јчѕусковой ток: 540 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-blue-d24-60r-540a-242x175x190.html
јккумул€тор VARTA Blue D59 (60R);4800руб.;4300руб.;≈мкость: 60 јчѕусковой ток: 540 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x175√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-blue-d59-60r-540a-242x175x175.html
јккумул€тор VARTA Blue D43 (60L);4800руб.;4300руб.;≈мкость: 60 јчѕусковой ток: 540 јѕол€рность:ѕр€ма€ [+ -]√абариты: 242x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-blue-d43-60l-540a-242x175x190.html
јккумул€тор VARTA Blue D47 (60R);4900руб.;4400руб.;≈мкость: 60 јчѕусковой ток: 540 јѕол€рность:ќбратна€ [- +]√абариты: 232x173x225√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-blue-d47-60r-540a-232x173x225.html
јккумул€тор VARTA Blue C22 (52R);5100руб.;4800руб.;≈мкость: 52 јчѕусковой ток: 470 јѕол€рность:ќбратна€ [- +]√абариты: 207x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-blue-c22-52r-470a-207x175x190.html
јккумул€тор VARTA Silver C30 (54R);5750руб.;5450руб.;≈мкость: 54 јчѕусковой ток: 530 јѕол€рность:ќбратна€ [- +]√абариты: 207x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-silver-c30-54r-530a-207x175x190.html
јккумул€тор VARTA Blue E11 (74R);5900руб.;5300руб.;≈мкость: 74 јчѕусковой ток: 680 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-blue-e11-74r-680a-278x175x190.html
јккумул€тор VARTA Blue E43 (72R);6100руб.;5500руб.;≈мкость: 72 јчѕусковой ток: 680 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x175√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-blue-e43-72r-680a-278x175x175.html
јккумул€тор VARTA Black E9 (70R);6400руб.;5900руб.;≈мкость: 70 јчѕусковой ток: 640 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x175√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-black-e9-70r-640a-278x175x175.html
јккумул€тор VARTA Black E13 (70R);6400руб.;5900руб.;≈мкость: 70 јчѕусковой ток: 640 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-black-e13-70r-640a-278x175x190.html
јккумул€тор VARTA Blue E12 (74L);6400руб.;5800руб.;≈мкость: 74 јчѕусковой ток: 680 јѕол€рность:ѕр€ма€ [+ -]√абариты: 278x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-blue-e12-74l-680a-278x175x190.html
јккумул€тор VARTA Silver D39 (63L);6500руб.;6000руб.;≈мкость: 63 јчѕусковой ток: 610 јѕол€рность:ѕр€ма€ [+ -]√абариты: 242x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-silver-d39-63l-610a-242x175x190.html
јккумул€тор VARTA Silver D15 (63R);6600руб.;6100руб.;≈мкость: 63 јчѕусковой ток: 610 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-silver-d15-63r-610a-242x175x190.html
јккумул€тор VARTA Silver E38 (74R);7500руб.;6900руб.;≈мкость: 74 јчѕусковой ток: 750 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x175√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-silver-e38-74r-750a-278x175x175.html
јккумул€тор VARTA Blue G7 (95R);7900руб.;7200руб.;≈мкость: 95 јчѕусковой ток: 830 јѕол€рность:ќбратна€ [- +]√абариты: 306x173x225√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-blue-g7-95r-830a-306x173x225.html
