Название;Цена;При обмене;Характеристика;Ссылка
Аккумулятор VARTA Powersports AGM YT4L-BS;1900руб.;1875руб.;Емкость: 3 АчПусковой ток: 40 АПолярность:Обратная [- +]Габариты: 114x71x86Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-varta-powersports-agm-yt4l-bs.html
Аккумулятор VARTA Powersports AGM YTX5L-BS;2250руб.;2225руб.;Емкость: 4 АчПусковой ток: 80 АПолярность:Обратная [- +]Габариты: 114x71x106Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-varta-powersports-agm-ytx5l-bs.html
Аккумулятор VARTA Powersports Freshpack 12N9-4B-1/YB9-B;2300руб.;2250руб.;Емкость: 9 АчПусковой ток: 85 АПолярность:Прямая [+ -]Габариты: 137x76x134Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-varta-powersports-freshpack-12n9-4b-1-yb9-b.html
Аккумулятор VARTA Powersports Freshpack YB7-A;2400руб.;2350руб.;Емкость: 8 АчПусковой ток: 110 АПолярность:Прямая [+ -]Габариты: 137x76x134Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-varta-powersports-freshpack-yb7-a.html
Аккумулятор VARTA Powersports Freshpack 12N9-3B/YB9L-B;2400руб.;2350руб.;Емкость: 9 АчПусковой ток: 85 АПолярность:Обратная [- +]Габариты: 136x76x140Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-varta-powersports-freshpack-12n9-3b-yb9l-b.html
Аккумулятор VARTA Powersports AGM YTR4A-BS;2500руб.;2475руб.;Емкость: 3 АчПусковой ток: 30 АПолярность:Прямая [+ -]Габариты: 114x49x86Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-varta-powersports-agm-ytr4a-bs.html
Аккумулятор VARTA Powersports Freshpack 12N5.5A-3B;2500руб.;2475руб.;Емкость: 6 АчПусковой ток: 58 АПолярность:Обратная [- +]Габариты: 103x90x114Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-varta-powersports-freshpack-12n5.5a-3b.html
Аккумулятор VARTA Powersports AGM YTX7A-BS;2600руб.;2575руб.;Емкость: 6 АчПусковой ток: 105 АПолярность:Прямая [+ -]Габариты: 151x88x94Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-varta-powersports-agm-ytx7a-bs.html
Аккумулятор VARTA Powersports AGM YTX9-BS;2650руб.;2600руб.;Емкость: 8 АчПусковой ток: 135 АПолярность:Прямая [+ -]Габариты: 152x88x106Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-varta-powersports-agm-ytx9-bs.html
Аккумулятор VARTA Powersports AGM YTX7L-BS;2750руб.;2725руб.;Емкость: 6 АчПусковой ток: 100 АПолярность:Обратная [- +]Габариты: 114x71x131Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-varta-powersports-agm-ytx7l-bs.html
Аккумулятор VARTA Powersports Freshpack YB7C-A/GM7CZ-3D;2850руб.;2800руб.;Емкость: 8 АчПусковой ток: 110 АПолярность:Обратная [- +]Габариты: 130x90x114Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-varta-powersports-freshpack-yb7c-a-gm7cz-3d.html
Аккумулятор VARTA Powersports Freshpack YB10L-A2;2850руб.;2800руб.;Емкость: 11 АчПусковой ток: 150 АПолярность:Обратная [- +]Габариты: 136x91x146Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-varta-powersports-freshpack-yb10l-a2.html
Аккумулятор VARTA Powersports Freshpack YB10L-B/12N10-3B/YB10L-B2;2900руб.;2850руб.;Емкость: 11 АчПусковой ток: 150 АПолярность:Обратная [- +]Габариты: 136x91x146Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-varta-powersports-freshpack-yb10l-b-12n10-3b-yb10l-b2.html
Аккумулятор VARTA Powersports AGM YT7B-BS;2950руб.;2900руб.;Емкость: 7 АчПусковой ток: 120 АПолярность:Прямая [+ -]Габариты: 150x66x94Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-varta-powersports-agm-yt7b-bs.html
Аккумулятор VARTA Powersports AGM TTZ7S-BS;2950руб.;2925руб.;Емкость: 5 АчПусковой ток: 120 АПолярность:Обратная [- +]Габариты: 113x70x105Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-varta-powersports-agm-ttz7s-bs.html
Аккумулятор VARTA Powersports Freshpack YB14L-A2/12N14-3A;3100руб.;3050руб.;Емкость: 14 АчПусковой ток: 190 АПолярность:Обратная [- +]Габариты: 135x90x167Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-varta-powersports-freshpack-yb14l-a2-12n14-3a.html
Аккумулятор VARTA Powersports AGM YTX12-BS;3200руб.;3150руб.;Емкость: 10 АчПусковой ток: 150 АПолярность:Прямая [+ -]Габариты: 152x88x131Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-varta-powersports-agm-ytx12-bs.html
Аккумулятор VARTA Powersports AGM YT9B-BS;3400руб.;3350руб.;Емкость: 8 АчПусковой ток: 115 АПолярность:Прямая [+ -]Габариты: 149x70x105Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-varta-powersports-agm-yt9b-bs.html
Аккумулятор VARTA Powersports Freshpack YB14-A2;3400руб.;3350руб.;Емкость: 14 АчПусковой ток: 190 АПолярность:Прямая [+ -]Габариты: 136x91x168Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-varta-powersports-freshpack-yb14-a2.html
Аккумулятор VARTA Powersports AGM YTX14-BS;3600руб.;3550руб.;Емкость: 12 АчПусковой ток: 200 АПолярность:Прямая [+ -]Габариты: 152x88x147Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-varta-powersports-agm-ytx14-bs.html
Аккумулятор VARTA Powersports Freshpack YB16AL-A2;3700руб.;3650руб.;Емкость: 16 АчПусковой ток: 180 АПолярность:Обратная [- +]Габариты: 205x72x164Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-varta-powersports-freshpack-yb16al-a2.html
Аккумулятор VARTA Powersports AGM TTZ10S-BS;3900руб.;3850руб.;Емкость: 8 АчПусковой ток: 150 АПолярность:Прямая [+ -]Габариты: 150x87x93Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-varta-powersports-agm-ttz10s-bs.html
Аккумулятор VARTA Powersports AGM YT12A-BS;3950руб.;3900руб.;Емкость: 11 АчПусковой ток: 160 АПолярность:Прямая [+ -]Габариты: 150x88x105Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-varta-powersports-agm-yt12a-bs.html
Аккумулятор VARTA Powersports AGM TTZ12S-BS;4050руб.;4000руб.;Емкость: 9 АчПусковой ток: 200 АПолярность:Прямая [+ -]Габариты: 150x87x110Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-varta-powersports-agm-ttz12s-bs.html
Аккумулятор VARTA Powersports Freshpack 51814;4200руб.;4150руб.;Емкость: 18 АчПусковой ток: 100 АПолярность:Обратная [- +]Габариты: 186x82x171Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-varta-powersports-freshpack-51814.html
Аккумулятор VARTA Powersports Freshpack YB18L-A;4300руб.;4250руб.;Емкость: 18 АчПусковой ток: 200 АПолярность:Обратная [- +]Габариты: 181x92x164Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-varta-powersports-freshpack-yb18l-a.html
Аккумулятор VARTA Powersports AGM YTX20L-BS;4400руб.;4350руб.;Емкость: 18 АчПусковой ток: 250 АПолярность:Обратная [- +]Габариты: 177x88x156Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-varta-powersports-agm-ytx20l-bs.html
Аккумулятор VARTA Powersports Freshpack YB16B-A/YB16B-A1;4400руб.;4350руб.;Емкость: 16 АчПусковой ток: 200 АПолярность:Прямая [+ -]Габариты: 160x90x161Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-varta-powersports-freshpack-yb16b-a-yb16b-a1.html
Аккумулятор VARTA Powersports AGM YTX16-BS-1;4500руб.;4450руб.;Емкость: 14 АчПусковой ток: 210 АПолярность:Прямая [+ -]Габариты: 150x87x161Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-varta-powersports-agm-ytx16-bs-1.html
Аккумулятор VARTA Powersports AGM YTX16-BS;4500руб.;4450руб.;Емкость: 14 АчПусковой ток: 210 АПолярность:Прямая [+ -]Габариты: 150x87x161Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-varta-powersports-agm-ytx16-bs.html
Аккумулятор VARTA Powersports AGM YTX20-BS;4600руб.;4550руб.;Емкость: 18 АчПусковой ток: 250 АПолярность:Прямая [+ -]Габариты: 177x88x156Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-varta-powersports-agm-ytx20-bs.html
Аккумулятор VARTA Powersports AGM TTZ14S-BS;4800руб.;4750руб.;Емкость: 11 АчПусковой ток: 230 АПолярность:Прямая [+ -]Габариты: 150x87x110Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-varta-powersports-agm-ttz14s-bs.html
