Название;Цена;При обмене;Характеристика;Ссылка
Аккумулятор АКОМ 55R;3900руб.;3400руб.;Емкость: 55 АчПусковой ток: 460 АПолярность:Обратная [- +]Габариты: 242x175x190Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-akom-55r-460a-242x175x190.html
Аккумулятор АКОМ 60R;4350руб.;3850руб.;Емкость: 60 АчПусковой ток: 520 АПолярность:Обратная [- +]Габариты: 242x175x190Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-akom-60r-520a-242x175x190.html
Аккумулятор АКОМ 60L;4350руб.;3850руб.;Емкость: 60 АчПусковой ток: 520 АПолярность:Прямая [+ -]Габариты: 242x175x190Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-akom-60l-520a-242x175x190.html
Аккумулятор АКОМ 65R;4600руб.;4100руб.;Емкость: 65 АчПусковой ток: 580 АПолярность:Обратная [- +]Габариты: 242x175x190Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-akom-65r-580a-242x175x190.html
Аккумулятор АКОМ 65L;4600руб.;4100руб.;Емкость: 65 АчПусковой ток: 580 АПолярность:Прямая [+ -]Габариты: 242x175x190Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-akom-65l-580a-242x175x190.html
Аккумулятор АКОМ EFB 60L;4700руб.;4200руб.;Емкость: 60 АчПусковой ток: 560 АПолярность:Прямая [+ -]Габариты: 242x175x190Гарантия: 48 месяцев;https://akbmag.ru//catalog/akkumulator-akom-efb-60l-530a-242x175x190.html
Аккумулятор АКОМ EFB 60R;4700руб.;4200руб.;Емкость: 60 АчПусковой ток: 560 АПолярность:Обратная [- +]Габариты: 242x175x190Гарантия: 48 месяцев;https://akbmag.ru//catalog/akkumulator-akom-efb-60r-530a-242x175x190.html
Аккумулятор АКОМ 60R (низкий);4800руб.;4300руб.;Емкость: 60 АчПусковой ток: 590 АПолярность:Обратная [- +]Габариты: 242x175x175Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-akom-60r-590a-242x175x175-lb.html
Аккумулятор АКОМ ASIA 65R;4900руб.;4400руб.;Емкость: 65 АчПусковой ток: 570 АПолярность:Обратная [- +]Габариты: 232x173x225Гарантия: 24 месяца;https://akbmag.ru//catalog/akkumulator-akom-asia-65r-570a-232x173x225.html
Аккумулятор АКОМ EFB 62R;4950руб.;4450руб.;Емкость: 62 АчПусковой ток: 580 АПолярность:Обратная [- +]Габариты: 242x175x190Гарантия: 48 месяцев;https://akbmag.ru//catalog/akkumulator-akom-efb-62r-550a-242x175x190.html
