Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
јккумул€тор DEKA 75R (624MF);9200руб.;8600руб.;≈мкость: 75 јчѕусковой ток: 650 јѕол€рность:ѕр€ма€ [+ -]√абариты: 260x175x225√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-deka-75l-624mf-650a-260x175x225.html
јккумул€тор DEKA 62R (647MF);9900руб.;9400руб.;≈мкость: 62 јчѕусковой ток: 650 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-deka-62r-647mf-600a-242x175x190.html
јккумул€тор DEKA 91L (565MF);10800руб.;10100руб.;≈мкость: 91 јчѕусковой ток: 675 јѕол€рность:ѕр€ма€ [+ -]√абариты: 306x190x192√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-deka-91l-565mf-675a-306x192x192.html
јккумул€тор DEKA 100R (649MF);13900руб.;13200руб.;≈мкость: 100 јчѕусковой ток: 900 јѕол€рность:ќбратна€ [- +]√абариты: 353x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-deka-100r-649mf-900a-353x175x190.html
јккумул€тор DEKA 140 (1231MF) универсальна€ пол.;14700руб.;13700руб.;≈мкость: 140 јчѕусковой ток: 1000 јѕол€рность:”ниверсальна€√абариты: 330x173x240√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-deka-140-1231mf-1000a-330x171x241.html
јккумул€тор DEKA 140 (1231PMF) универсальна€ пол.;15000руб.;14000руб.;≈мкость: 140 јчѕусковой ток: 1000 јѕол€рность:”ниверсальна€√абариты: 330x173x240√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-deka-140-1231pmf-1000a-330x171x241.html
јккумул€тор DEKA 145 (1231XMF) универсальна€ пол.;15600руб.;14600руб.;≈мкость: 145 јчѕусковой ток: 1125 јѕол€рность:”ниверсальна€√абариты: 330x173x240√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-deka-145-1231xmf-1125a-330x171x241.html
јккумул€тор DEKA INTIMIDATOR AGM 70R (9A48);16600руб.;16100руб.;≈мкость: 70 јчѕусковой ток: 760 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-deka-agm-74r-9agm48-760a-278x175x190.html
јккумул€тор DEKA INTIMIDATOR AGM 80R (9A94R);18500руб.;17900руб.;≈мкость: 80 јчѕусковой ток: 800 јѕол€рность:ќбратна€ [- +]√абариты: 315x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-deka-intimidator-agm-80r-9a94r-800a-315x175x190.html
јккумул€тор DEKA INTIMIDATOR AGM 92R (9A49);19800руб.;19100руб.;≈мкость: 92 јчѕусковой ток: 850 јѕол€рность:ќбратна€ [- +]√абариты: 353x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-deka-agm-92r-9a49-850a-353x175x190-intimidator.html
